# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503693876022233009e+09,0.000000000000000000e+00,1.049872590606921660e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503693876022774935e+09,1.798929827055640890e-06,2.563476562500000000e-03,0.000000000000000000e+00,4.272460937499999051e-05
3.333333333333333287e-02,1.503693876030958891e+09,7.143096105243524524e-06,8.998907919487899448e-03,1.413869948528467420e-06,1.927299725322737791e-04
5.000000000000000278e-02,1.503693876047257900e+09,1.610466661814614789e-05,4.499453959743949724e-03,5.480904621995249357e-06,2.678122202717061790e-04
6.666666666666666574e-02,1.503693876063033104e+09,2.895384448307132715e-05,0.000000000000000000e+00,1.197178372019448439e-05,2.680117500003761141e-04
8.333333333333332871e-02,1.503693876080353975e+09,4.614755680175652706e-05,2.999635973162633439e-03,2.069039208931063465e-05,3.183505227545752091e-04
1.000000000000000056e-01,1.503693876095943928e+09,6.831024298560356336e-05,-2.999635973162633439e-03,3.145911940556328203e-05,2.688809085252906851e-04
1.166666666666666685e-01,1.503693876112930059e+09,9.620762854014538220e-05,-7.499089932906584030e-03,4.410249646159308714e-05,1.446311179178741597e-04
1.333333333333333315e-01,1.503693876128695011e+09,1.307146554978873428e-04,-5.999271946325266877e-03,5.843004229691513073e-05,4.561708618406831207e-05
1.499999999999999944e-01,1.503693876146007061e+09,1.727789801094829173e-04,-5.999271946325266877e-03,7.421922989269736943e-05,-5.313379242314115081e-05
1.666666666666666574e-01,1.503693876162166119e+09,2.233816324214081377e-04,-5.999271946325266877e-03,9.119947392158423295e-05,-1.516016669632025090e-04
1.833333333333333204e-01,1.503693876179102898e+09,2.834965535923031810e-04,-5.999271946325266877e-03,1.090380022054298579e-04,-2.497722326985331244e-04
2.000000000000000111e-01,1.503693876194936037e+09,3.540507801474801052e-04,-4.499453959743949724e-03,1.273283945496202273e-04,-3.226409921184386327e-04
2.166666666666666741e-01,1.503693876211736917e+09,4.358870272687663831e-04,-7.499089932906584030e-03,1.455824612706091144e-04,-4.451994499790381523e-04
2.333333333333333370e-01,1.503693876228353977e+09,5.297303357130522588e-04,-4.499453959743949724e-03,1.632259930194410863e-04,-5.174699160911133428e-04
2.500000000000000000e-01,1.503693876246320963e+09,6.361602917354371124e-04,-4.499453959743949724e-03,1.795987485318640664e-04,-5.894675029446481539e-04
2.666666666666666630e-01,1.503693876263425112e+09,7.555901117132752349e-04,-7.499089932906584030e-03,1.939588637388215840e-04,-7.112196874307775800e-04
2.833333333333333259e-01,1.503693876280316114e+09,8.882536106725638213e-04,-5.999271946325266877e-03,2.054916710143152943e-04,-8.077826920192933760e-04
2.999999999999999889e-01,1.503693876297996044e+09,1.034200756394932025e-03,-8.998907919487899448e-03,2.133227184913829547e-04,-9.542091120359019567e-04
3.166666666666666519e-01,1.503693876315013885e+09,1.193302159824387266e-03,-7.499089932906584030e-03,2.165345838736542565e-04,-1.075585034519784162e-03
3.333333333333333148e-01,1.503693876331183910e+09,1.365262481094094800e-03,-5.999271946325266877e-03,2.141868925491650553e-04,-1.172003118749385779e-03
3.499999999999999778e-01,1.503693876349335909e+09,1.549642352597834774e-03,-7.499089932906584030e-03,2.053387833626603616e-04,-1.293565637908451098e-03
3.666666666666666408e-01,1.503693876365081072e+09,1.745888050533747236e-03,-7.499089932906584030e-03,1.890729239062381717e-04,-1.415399254725123500e-03
3.833333333333333037e-01,1.503693876382069111e+09,1.953367798579231079e-03,-7.499089932906584030e-03,1.645200666847985288e-04,-1.537642085828819834e-03
4.000000000000000222e-01,1.503693876398377895e+09,2.171413275559406532e-03,-7.499089932906584030e-03,1.308830630781853213e-04,-1.660445533659293165e-03
