# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503693925352942944e+09,-0.000000000000000000e+00,5.999271946325266877e-03,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503693925354218006e+09,-2.147917641751685147e-06,1.831054687500000000e-03,0.000000000000000000e+00,3.051757812500000000e-05
3.333333333333333287e-02,1.503693925362761974e+09,-8.764447890478153669e-06,4.499453959743949724e-03,-2.036121991559252359e-06,1.054745420875398279e-04
5.000000000000000278e-02,1.503693925379662037e+09,-2.010613480534787772e-05,5.999271946325266877e-03,-8.870962340705919414e-06,2.053145584872824957e-04
6.666666666666666574e-02,1.503693925396415949e+09,-3.641188470135284743e-05,5.999271946325266877e-03,-2.149838682797131008e-05,3.049441178122374229e-04
8.333333333333332871e-02,1.503693925413670063e+09,-5.788539582759026761e-05,7.499089932906584030e-03,-4.077125756175501819e-05,4.292494290679845751e-04
1.000000000000000056e-01,1.503693925430387020e+09,-8.467853633946515466e-05,7.499089932906584030e-03,-6.738982318432458051e-05,5.531110975633556255e-04
1.166666666666666685e-01,1.503693925448237896e+09,-1.168766158252789247e-04,7.499089932906584030e-03,-1.018961169972662468e-04,6.763976611618442627e-04
1.333333333333333315e-01,1.503693925464905024e+09,-1.544864480217000185e-04,7.499089932906584030e-03,-1.446742750637536659e-04,7.989712554592247285e-04
1.499999999999999944e-01,1.503693925482319117e+09,-1.974280167416706932e-04,7.499089932906584030e-03,-1.959564292923599938e-04,9.206901471861284611e-04
1.666666666666666574e-01,1.503693925499221087e+09,-2.455304358554707901e-04,5.999271946325266877e-03,-2.558335955227125928e-04,1.016414119699504421e-03
1.833333333333333204e-01,1.503693925517087936e+09,-2.985327411237056528e-04,7.499089932906584030e-03,-3.242707734298126373e-04,1.135994439024117170e-03
2.000000000000000111e-01,1.503693925534106016e+09,-3.560898716819140670e-04,5.999271946325266877e-03,-4.011253119695700289e-04,1.229296882930045430e-03
2.166666666666666741e-01,1.503693925550477982e+09,-4.177839979613533336e-04,7.499089932906584030e-03,-4.861674777229892824e-04,1.346178923849772032e-03
2.333333333333333370e-01,1.503693925566142082e+09,-4.831411375935639038e-04,8.998907919487899448e-03,-5.791020985136316728e-04,1.486509020866009882e-03
2.500000000000000000e-01,1.503693925583554983e+09,-5.516527788195227855e-04,5.999271946325266877e-03,-6.795901435750629615e-04,1.575170384245180031e-03
2.666666666666666630e-01,1.503693925600274086e+09,-6.228020099383184969e-04,7.499089932906584030e-03,-7.872691445820033255e-04,1.687034064050589718e-03
2.833333333333333259e-01,1.503693925618031979e+09,-6.960934413600717045e-04,5.999271946325266877e-03,-9.017714570123564486e-04,1.771992405539138307e-03
2.999999999999999889e-01,1.503693925633642912e+09,-7.710860117291568538e-04,7.499089932906584030e-03,-1.022739504360376103e-03,1.879931579348241739e-03
3.166666666666666519e-01,1.503693925650721073e+09,-8.474275988308622738e-04,7.499089932906584030e-03,-1.149837332414372412e-03,1.985752456023111984e-03
3.333333333333333148e-01,1.503693925666337013e+09,-9.248902164255929856e-04,7.499089932906584030e-03,-1.282758019077282667e-03,2.089357987920266880e-03
3.499999999999999778e-01,1.503693925683893919e+09,-1.003404475733901766e-03,7.499089932906584030e-03,-1.421226727474051528e-03,2.190655708010808955e-03
3.666666666666666408e-01,1.503693925700793982e+09,-1.083091929899599381e-03,5.999271946325266877e-03,-1.564999445648408444e-03,2.264560249688756747e-03
3.833333333333333037e-01,1.503693925717617035e+09,-1.164293904993369579e-03,7.499089932906584030e-03,-1.713857713572878791e-03,2.360980786677651776e-03
4.000000000000000222e-01,1.503693925733867884e+09,-1.247595454176688660e-03,7.499089932906584030e-03,-1.867599885772813339e-03,2.454838954129881425e-03
4.166666666666666852e-01,1.503693925751079082e+09,-1.333843153197764074e-03,7.499089932906584030e-03,-2.026029704078251802e-03,2.546056624610353557e-03
4.333333333333333481e-01,1.503693925766753912e+09,-1.424155584535151267e-03,5.999271946325266877e-03,-2.188943148996645802e-03,2.609562104565830553e-03
4.500000000000000111e-01,1.503693925783467054e+09,-1.519925531754505541e-03,7.499089932906584030e-03,-2.356114690170706041e-03,2.695278358611428483e-03
4.666666666666666741e-01,1.503693925799160004e+09,-1.622813120971943043e-03,7.499089932906584030e-03,-2.527284158082283242e-03,2.778141788191833446e-03
4.833333333333333370e-01,1.503693925816679955e+09,-1.734729397244964529e-03,7.499089932906584030e-03,-2.702145504188221969e-03,2.858090862003806205e-03
5.000000000000000000e-01,1.503693925832565069e+09,-1.857810103447041401e-03,8.998907919487899448e-03,-2.880338700798625376e-03,2.960067015648627613e-03
5.166666666666666075e-01,1.503693925848845959e+09,-1.994379729801744761e-03,4.499453959743949724e-03,-3.061445953394117871e-03,2.984033815754457992e-03
5.333333333333333259e-01,1.503693925864466906e+09,-2.146906214923141425e-03,5.999271946325266877e-03,-3.244993257417012455e-03,3.029938460569595732e-03
5.500000000000000444e-01,1.503693925881781101e+09,-2.317946994440602763e-03,5.999271946325266877e-03,-3.430458132126551398e-03,3.072752024139574229e-03
5.666666666666666519e-01,1.503693925897479057e+09,-2.510087401210238465e-03,5.999271946325266877e-03,-3.617284111669306738e-03,3.112451821383840304e-03
5.833333333333333703e-01,1.503693925914936066e+09,-2.725872711783801448e-03,5.999271946325266877e-03,-3.804902276250889549e-03,3.149024649218413238e-03
5.999999999999999778e-01,1.503693925931837082e+09,-2.967735397496824943e-03,7.499089932906584030e-03,-3.992759774512622678e-03,3.207463485191645782e-03
6.166666666666666963e-01,1.503693925949261904e+09,-3.237919366061613874e-03,7.499089932906584030e-03,-4.180354934043660833e-03,3.262775735172694300e-03
6.333333333333333037e-01,1.503693925965512991e+09,-3.538403162546335627e-03,5.999271946325266877e-03,-4.367278193938909682e-03,3.289975631045800354e-03
6.500000000000000222e-01,1.503693925982692003e+09,-3.870824229836991592e-03,7.499089932906584030e-03,-4.553257735942629544e-03,3.339072834328533131e-03
6.666666666666666297e-01,1.503693925998248100e+09,-4.236406402220371445e-03,7.499089932906584030e-03,-4.738208353935717369e-03,3.385087527311380923e-03
6.833333333333333481e-01,1.503693926014940977e+09,-4.635892817275798217e-03,5.999271946325266877e-03,-4.922281800165190756e-03,3.403037363080715482e-03
6.999999999999999556e-01,1.503693926030543089e+09,-5.069486378252292987e-03,5.999271946325266877e-03,-5.105916594851566716e-03,3.417926618938610384e-03
