# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503693976174649954e+09,0.000000000000000000e+00,-2.999635973162633612e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503693976175173998e+09,2.147917641751685147e-06,-6.591796875000000000e-03,0.000000000000000000e+00,-1.098632812500000027e-04
3.333333333333333287e-02,1.503693976184040070e+09,8.764447890478153669e-06,-2.699672375846369834e-02,2.036121991559252359e-06,-5.597747418578689427e-04
5.000000000000000278e-02,1.503693976201612949e+09,2.010613480534787772e-05,-2.699672375846369834e-02,8.870962340705919414e-06,-1.009572288459918959e-03
6.666666666666666574e-02,1.503693976218445063e+09,3.641188470135284743e-05,-2.699672375846369834e-02,2.149838682797131008e-05,-1.459159377987180855e-03
8.333333333333332871e-02,1.503693976235512972e+09,5.788539582759026761e-05,-2.699672375846369834e-02,4.077125756175501819e-05,-1.908425253002213199e-03
1.000000000000000056e-01,1.503693976251177073e+09,8.467853633946515466e-05,-2.849654174504501897e-02,6.738982318432458051e-05,-2.382244451699891408e-03
1.166666666666666685e-01,1.503693976268800974e+09,1.168766158252789247e-04,-2.699672375846369834e-02,1.018961169972662468e-04,-2.830491579057665182e-03
1.333333333333333315e-01,1.503693976285737991e+09,1.544864480217000185e-04,-2.699672375846369834e-02,1.446742750637536659e-04,-3.278025737114330894e-03
1.499999999999999944e-01,1.503693976302633047e+09,1.974280167416706932e-04,-2.849654174504501897e-02,1.959564292923599938e-04,-3.749702159043541948e-03
1.666666666666666574e-01,1.503693976319358110e+09,2.455304358554707901e-04,-2.849654174504501897e-02,2.558335955227125928e-04,-4.220380628202247304e-03
1.833333333333333204e-01,1.503693976336761951e+09,2.985327411237056528e-04,-2.699672375846369834e-02,3.242707734298126373e-04,-4.664921511286145191e-03
2.000000000000000111e-01,1.503693976352344990e+09,3.560898716819140670e-04,-2.549690577188238466e-02,4.011253119695700289e-04,-5.083184518951358588e-03
2.166666666666666741e-01,1.503693976370946884e+09,4.177839979613533336e-04,-2.699672375846369834e-02,4.861674777229892824e-04,-5.525027123630370761e-03
2.333333333333333370e-01,1.503693976387475014e+09,4.831411375935639038e-04,-2.849654174504501897e-02,5.791020985136316728e-04,-5.990317784405893749e-03
2.500000000000000000e-01,1.503693976403979063e+09,5.516527788195227855e-04,-2.549690577188238466e-02,6.795901435750629615e-04,-6.403939711544349468e-03
2.666666666666666630e-01,1.503693976420661926e+09,6.228020099383184969e-04,-2.549690577188238466e-02,7.872691445820033255e-04,-6.815766988666022326e-03
2.833333333333333259e-01,1.503693976437892914e+09,6.960934413600717045e-04,-2.549690577188238466e-02,9.017714570123564486e-04,-7.225685893913856052e-03
2.999999999999999889e-01,1.503693976453490019e+09,7.710860117291568538e-04,-2.549690577188238466e-02,1.022739504360376103e-03,-7.633588665039222655e-03
3.166666666666666519e-01,1.503693976470587015e+09,8.474275988308622738e-04,-2.399708778530106751e-02,1.149837332414372412e-03,-8.014376172587333452e-03
3.333333333333333148e-01,1.503693976487313032e+09,9.248902164255929856e-04,-2.099745181213843320e-02,1.282758019077282667e-03,-8.342954402471685835e-03
3.499999999999999778e-01,1.503693976504942894e+09,1.003404475733901766e-03,-2.549690577188238466e-02,1.421226727474051528e-03,-8.744215719878491513e-03
3.666666666666666408e-01,1.503693976521486998e+09,1.083091929899599381e-03,-2.399708778530106751e-02,1.564999445648408444e-03,-9.118083858872702910e-03
3.833333333333333037e-01,1.503693976538424969e+09,1.164293904993369579e-03,-2.399708778530106751e-02,1.713857713572878791e-03,-9.489471026734839360e-03
4.000000000000000222e-01,1.503693976555402994e+09,1.247595454176688660e-03,-2.549690577188238466e-02,1.867599885772813339e-03,-9.883292791503331745e-03
4.166666666666666852e-01,1.503693976572663069e+09,1.333843153197764074e-03,-2.549690577188238466e-02,2.026029704078251802e-03,-1.027447405930006705e-02
4.333333333333333481e-01,1.503693976588876963e+09,1.424155584535151267e-03,-2.549690577188238466e-02,2.188943148996645802e-03,-1.066294010301482853e-02
4.500000000000000111e-01,1.503693976605217934e+09,1.519925531754505541e-03,-2.849654174504501897e-02,2.356114690170706041e-03,-1.109861388726273400e-02
4.666666666666666741e-01,1.503693976621915102e+09,1.622813120971943043e-03,-2.549690577188238466e-02,2.527284158082283242e-03,-1.148144091415940170e-02
4.833333333333333370e-01,1.503693976638437986e+09,1.734729397244964529e-03,-2.549690577188238466e-02,2.702145504188221969e-03,-1.186135358528763763e-02
5.000000000000000000e-01,1.503693976654563904e+09,1.857810103447041401e-03,-2.699672375846369834e-02,2.880338700798625376e-03,-1.226329333624872134e-02
