# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503694031610045910e+09,0.000000000000000000e+00,-1.199854389265053375e-02,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503694031610546112e+09,1.798929827055640890e-06,-2.929687500000000000e-03,0.000000000000000000e+00,-4.882812499999999593e-05
3.333333333333333287e-02,1.503694031619863033e+09,7.143096105243524524e-06,-1.199854389265053375e-02,-1.413869948528467420e-06,-2.488274210433176915e-04
5.000000000000000278e-02,1.503694031636125088e+09,1.610466661814614789e-05,-1.349836187923184917e-02,-5.480904621995249357e-06,-4.738914674408817307e-04
6.666666666666666574e-02,1.503694031652148962e+09,2.895384448307132715e-05,-1.349836187923184917e-02,-1.197178372019448439e-05,-6.990636951567490978e-04
8.333333333333332871e-02,1.503694031668580055e+09,4.614755680175652706e-05,-1.199854389265053375e-02,-2.069039208931063465e-05,-8.993842665690797780e-04
1.000000000000000056e-01,1.503694031684300900e+09,6.831024298560356336e-05,-1.199854389265053375e-02,-3.145911940556328203e-05,-1.099884316770014707e-03
1.166666666666666685e-01,1.503694031702227116e+09,9.620762854014538220e-05,-1.199854389265053375e-02,-4.410249646159308714e-05,-1.300595089921883401e-03
1.333333333333333315e-01,1.503694031718777895e+09,1.307146554978873428e-04,-1.349836187923184917e-02,-5.843004229691513073e-05,-1.526541621947362934e-03
1.499999999999999944e-01,1.503694031736051083e+09,1.727789801094829173e-04,-1.349836187923184917e-02,-7.421922989269736943e-05,-1.752751307099438636e-03
1.666666666666666574e-01,1.503694031752370119e+09,2.233816324214081377e-04,-1.349836187923184917e-02,-9.119947392158423295e-05,-1.979243996318662442e-03
1.833333333333333204e-01,1.503694031769800901e+09,2.834965535923031810e-04,-1.349836187923184917e-02,-1.090380022054298579e-04,-2.206033994342616964e-03
2.000000000000000111e-01,1.503694031786444902e+09,3.540507801474801052e-04,-1.199854389265053375e-02,-1.273283945496202273e-04,-2.408131865795952713e-03
2.166666666666666741e-01,1.503694031803355932e+09,4.358870272687663831e-04,-1.349836187923184917e-02,-1.455824612706091144e-04,-2.635530938137660515e-03
2.333333333333333370e-01,1.503694031820748091e+09,5.297303357130522588e-04,-1.349836187923184917e-02,-1.632259930194410863e-04,-2.863224069341848820e-03
2.500000000000000000e-01,1.503694031838207960e+09,6.361602917354371124e-04,-1.349836187923184917e-02,-1.795987485318640664e-04,-3.091190079804577179e-03
2.666666666666666630e-01,1.503694031854839087e+09,7.555901117132752349e-04,-1.499817986581316806e-02,-1.939588637388215840e-04,-3.344392391963776825e-03
2.833333333333333259e-01,1.503694031871337891e+09,8.882536106725638213e-04,-1.349836187923184917e-02,-2.054916710143152943e-04,-3.572789951134546383e-03
2.999999999999999889e-01,1.503694031886925936e+09,1.034200756394932025e-03,-1.199854389265053375e-02,-2.133227184913829547e-04,-3.776321061320244907e-03
3.166666666666666519e-01,1.503694031903110981e+09,1.193302159824387266e-03,-1.199854389265053375e-02,-2.165345838736542565e-04,-3.979905702595648055e-03
3.333333333333333148e-01,1.503694031919884920e+09,1.365262481094094800e-03,-1.499817986581316806e-02,-2.141868925491650553e-04,-4.233445148568353543e-03
3.499999999999999778e-01,1.503694031936788082e+09,1.549642352597834774e-03,-1.799781583897579890e-02,-2.053387833626603616e-04,-4.536831058940661229e-03
3.666666666666666408e-01,1.503694031952663898e+09,1.745888050533747236e-03,-1.199854389265053375e-02,-1.890729239062381717e-04,-4.739958005883273748e-03
3.833333333333333037e-01,1.503694031969626904e+09,1.953367798579231079e-03,-1.349836187923184917e-02,-1.645200666847985288e-04,-4.967672704981884735e-03
4.000000000000000222e-01,1.503694031986300945e+09,2.171413275559406532e-03,-1.499817986581316806e-02,-1.308830630781853213e-04,-5.219823753796740476e-03
4.166666666666666852e-01,1.503694032003529072e+09,2.399364635797831668e-03,-1.349836187923184917e-02,-8.745921757750530596e-05,-5.446254105410229356e-03
4.333333333333333481e-01,1.503694032020231962e+09,2.636617147369856289e-03,-1.199854389265053375e-02,-3.365987293033690574e-05,-5.646790834836577094e-03
4.500000000000000111e-01,1.503694032037513018e+09,2.882667418804716816e-03,-1.349836187923184917e-02,3.097383122698587287e-05,-5.871247302303325179e-03
4.666666666666666741e-01,1.503694032053924084e+09,3.137157125635596337e-03,-1.199854389265053375e-02,1.067599882549475742e-04,-6.069443700709917927e-03
4.833333333333333370e-01,1.503694032070792913e+09,3.399912168671761614e-03,-1.199854389265053375e-02,1.938705678647713586e-04,-6.266188256123014083e-03
5.000000000000000000e-01,1.503694032086482048e+09,3.670975297224232138e-03,-1.199854389265053375e-02,2.923323225330992062e-04,-6.461291782291637802e-03
5.166666666666666075e-01,1.503694032103281021e+09,3.950630411085220665e-03,-1.499817986581316806e-02,4.020343976670092464e-04,-6.704560873427406822e-03
5.333333333333333259e-01,1.503694032118856907e+09,4.239417010242936372e-03,-1.499817986581316806e-02,5.227428498253062399e-04,-6.945818157027204912e-03
5.500000000000000444e-01,1.503694032136022091e+09,4.538133583686351606e-03,-1.349836187923184917e-02,6.541220206403078590e-04,-7.159888821337064002e-03
5.666666666666666519e-01,1.503694032152738094e+09,4.847829108185540935e-03,-1.649799785239448521e-02,7.957624452834771798e-04,-7.421592744788913995e-03
5.833333333333333703e-01,1.503694032170233965e+09,5.169782252275831672e-03,-1.349836187923184917e-02,9.472147022102742368e-04,-7.630778531072607285e-03
5.999999999999999778e-01,1.503694032186022043e+09,5.505468335561657794e-03,-1.199854389265053375e-02,1.108028344766271356e-03,-7.812287123537344641e-03
6.166666666666666963e-01,1.503694032202449083e+09,5.856514563162844647e-03,-1.349836187923184917e-02,1.277794804439103069e-03,-8.015963241450556678e-03
6.333333333333333037e-01,1.503694032219161987e+09,6.224644522992122363e-03,-1.199854389265053375e-02,1.456192929342587728e-03,-8.191669090839022449e-03
6.500000000000000222e-01,1.503694032236707926e+09,6.611613382549182995e-03,-1.349836187923184917e-02,1.643035628704314459e-03,-8.389257861681147233e-03
6.666666666666666297e-01,1.503694032253412008e+09,7.019135635237815606e-03,-1.199854389265053375e-02,1.838315942725805060e-03,-8.558594994179892154e-03
6.833333333333333481e-01,1.503694032271864891e+09,7.448807607868692879e-03,-1.349836187923184917e-02,2.042250754190880549e-03,-8.749530179597241747e-03
6.999999999999999556e-01,1.503694032288028002e+09,7.902027236408499383e-03,-1.349836187923184917e-02,2.255320309322456866e-03,-8.936914205762399102e-03
7.166666666666666741e-01,1.503694032304518938e+09,8.379913833522279962e-03,-5.999271946325266877e-03,2.478301724829994664e-03,-8.995597042787319836e-03
7.333333333333332815e-01,1.503694032321177959e+09,8.883230698803886924e-03,-4.499453959743949724e-03,2.712294728359604477e-03,-9.025383029977058699e-03
7.500000000000000000e-01,1.503694032338913918e+09,9.412313453414918735e-03,0.000000000000000000e+00,2.958738011342416842e-03,-8.976070729788019134e-03
7.666666666666666075e-01,1.503694032354815960e+09,9.967006910941903983e-03,5.999271946325266877e-03,3.219414765314491337e-03,-8.822425951260690069e-03
7.833333333333333259e-01,1.503694032372361898e+09,1.054661312481581202e-02,1.049872590606921660e-02,3.496446222001106142e-03,-8.589173082459518674e-03
8.000000000000000444e-01,1.503694032390161037e+09,1.114985298230790171e-02,1.349836187923184917e-02,3.792272318767395470e-03,-8.300995845826197525e-03
8.166666666666666519e-01,1.503694032407695055e+09,1.177484335212272519e-02,1.049872590606921660e-02,4.109618957571251237e-03,-8.057523431432189048e-03
8.333333333333333703e-01,1.503694032424444914e+09,1.241909134653617665e-02,1.499817986581316806e-02,4.451451708786296514e-03,-7.733362905188864538e-03
8.499999999999999778e-01,1.503694032440716028e+09,1.307950674260833362e-02,1.349836187923184917e-02,4.820916221201173441e-03,-7.428041603514980856e-03
8.666666666666666963e-01,1.503694032457431078e+09,1.375243303576303630e-02,1.499817986581316806e-02,5.221266024943145220e-03,-7.091050838669041984e-03
8.833333333333333037e-01,1.503694032474930048e+09,1.443369699083479549e-02,1.499817986581316806e-02,5.655778842898949617e-03,-6.746818193523840095e-03
9.000000000000000222e-01,1.503694032490813971e+09,1.511867593019894374e-02,1.349836187923184917e-02,6.127662945701860438e-03,-6.419717779774945267e-03
9.166666666666666297e-01,1.503694032507884026e+09,1.580238137665665801e-02,1.349836187923184917e-02,6.639955482583589745e-03,-6.084079157078021646e-03
9.333333333333333481e-01,1.503694032524801970e+09,1.647955707167715611e-02,1.349836187923184917e-02,7.195415082552457202e-03,-5.739182874381616381e-03
9.499999999999999556e-01,1.503694032542242050e+09,1.714478883853170696e-02,1.349836187923184917e-02,7.796411335184473546e-03,-5.384269987474678103e-03
9.666666666666666741e-01,1.503694032558918953e+09,1.779262327498734933e-02,1.199854389265053375e-02,8.444814016429913126e-03,-5.043547355656670568e-03
9.833333333333332815e-01,1.503694032575103998e+09,1.841769186012975207e-02,1.499817986581316806e-02,9.141885112139282871e-03,-4.641212939357462937e-03
1.000000000000000000e+00,1.503694032591759920e+09,1.901483676081737115e-02,1.499817986581316806e-02,9.888176801993499646e-03,-4.226440328227352126e-03
1.016666666666666607e+00,1.503694032608354092e+09,1.957923443858328519e-02,1.649799785239448521e-02,1.068343859258093741e-02,-3.773416387477761605e-03
1.033333333333333215e+00,1.503694032625191927e+09,2.010651309740429937e-02,1.499817986581316806e-02,1.152653672604994108e-02,-3.331337777613376655e-03
1.050000000000000044e+00,1.503694032642615080e+09,2.059286008268162993e-02,1.799781583897579890e-02,1.241538883798810715e-02,-2.824451032997311439e-03
1.066666666666666652e+00,1.503694032658639908e+09,2.103511554387744314e-02,1.799781583897579890e-02,1.334691659534156111e-02,-2.302038825758689032e-03
1.083333333333333259e+00,1.503694032675746918e+09,2.143084900500734011e-02,1.649799785239448521e-02,1.431701871525763517e-02,-1.788455216297820359e-03
1.100000000000000089e+00,1.503694032691939116e+09,2.177841594167675976e-02,1.499817986581316806e-02,1.532056635424891913e-02,-1.283142779296785659e-03
1.116666666666666696e+00,1.503694032709290028e+09,2.207699202933811541e-02,1.949763382555711605e-02,1.635142237206552857e-02,-6.856585093364083502e-04
1.133333333333333304e+00,1.503694032725878954e+09,2.232658338963995279e-02,1.949763382555711605e-02,1.740248542650978808e-02,-7.065652180196003475e-05
1.149999999999999911e+00,1.503694032742868900e+09,2.252801190117136379e-02,1.799781583897579890e-02,1.846575925664900933e-02,5.370697297917867256e-04
1.166666666666666741e+00,1.503694032759468079e+09,2.268287543545080207e-02,2.099745181213843320e-02,1.953244687684977179e-02,1.212568041274923389e-03
1.183333333333333348e+00,1.503694032777180910e+09,2.279348370401786464e-02,1.949763382555711605e-02,2.059306874865852316e-02,1.880746417511850593e-03
1.199999999999999956e+00,1.503694032793039083e+09,2.286277123152757537e-02,1.949763382555711605e-02,2.163760333879154868e-02,2.566333703584328454e-03
1.216666666666666563e+00,1.503694032810523987e+09,2.289418977541210834e-02,2.099745181213843320e-02,2.265564782706388017e-02,3.293885364237700199e-03
1.233333333333333393e+00,1.503694032827208996e+09,2.289158326745572777e-02,1.949763382555711605e-02,2.363659611588590781e-02,4.012789196595084075e-03
1.250000000000000000e+00,1.503694032843760014e+09,2.285904902980936959e-02,2.099745181213843320e-02,2.456983073062687234e-02,4.772243905641172096e-03
