# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.501110551836165905e+09,0.000000000000000000e+00,-1.464843750000000000e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.501110551836647034e+09,3.064424563400304484e-06,-1.098632812500000000e-03,0.000000000000000000e+00,-1.831054687499999932e-05
3.333333333333333287e-02,1.501110551845527887e+09,1.242136138634203158e-05,-1.464843750000000000e-03,0.000000000000000000e+00,-4.272460937499999729e-05
5.000000000000000278e-02,1.501110551888659000e+09,2.831491864403582444e-05,-1.464843750000000000e-03,0.000000000000000000e+00,-6.713867187499999187e-05
6.666666666666666574e-02,1.501110551903645039e+09,5.098683832305025667e-05,-1.464843750000000000e-03,0.000000000000000000e+00,-9.155273437499998645e-05
8.333333333333332871e-02,1.501110551944334030e+09,8.067584412892704550e-05,-2.197265625000000000e-03,0.000000000000000000e+00,-1.281738281249999783e-04
1.000000000000000056e-01,1.501110551959358931e+09,1.176169839424733764e-04,-2.197265625000000000e-03,0.000000000000000000e+00,-1.647949218749999837e-04
1.166666666666666685e-01,1.501110552005377054e+09,1.620409677960278475e-04,-2.197265625000000000e-03,0.000000000000000000e+00,-2.014160156249999892e-04
1.333333333333333315e-01,1.501110552020174026e+09,2.141735023508645848e-04,-2.197265625000000000e-03,0.000000000000000000e+00,-2.380371093749999946e-04
1.499999999999999944e-01,1.501110552067356110e+09,2.742346228656065217e-04,-1.464843750000000000e-03,0.000000000000000000e+00,-2.624511718749999892e-04
1.666666666666666574e-01,1.501110552082925081e+09,3.424380236530609857e-04,-1.464843750000000000e-03,0.000000000000000000e+00,-2.868652343750000108e-04
1.833333333333333204e-01,1.501110552129734039e+09,4.189903880292476747e-04,-1.464843750000000000e-03,0.000000000000000000e+00,-3.112792968750000325e-04
2.000000000000000111e-01,1.501110552147237062e+09,5.040907187635682019e-04,-2.197265625000000000e-03,0.000000000000000000e+00,-3.479003906250000108e-04
2.166666666666666741e-01,1.501110552194578886e+09,5.979296700430390384e-04,-1.464843750000000000e-03,0.000000000000000000e+00,-3.723144531250000325e-04
2.333333333333333370e-01,1.501110552209577084e+09,7.006888819662894811e-04,-2.929687500000000000e-03,0.000000000000000000e+00,-4.211425781250000217e-04
2.500000000000000000e-01,1.501110552252266884e+09,8.125403185845960375e-04,-1.464843750000000000e-03,0.000000000000000000e+00,-4.455566406250000434e-04
2.666666666666666630e-01,1.501110552267013073e+09,9.336456105075851154e-04,-1.464843750000000000e-03,0.000000000000000000e+00,-4.699707031250000651e-04
2.833333333333333259e-01,1.501110552314753056e+09,1.064155403090384644e-03,-1.464843750000000000e-03,0.000000000000000000e+00,-4.943847656250000867e-04
