# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.501111010201472044e+09,0.000000000000000000e+00,2.636718750000000000e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.501111010201970100e+09,0.000000000000000000e+00,1.171875000000000000e-02,0.000000000000000000e+00,1.953124999999999837e-04
3.333333333333333287e-02,1.501111010209454060e+09,0.000000000000000000e+00,2.416992187500000000e-02,3.064424563400304484e-06,5.981956049927232783e-04
5.000000000000000278e-02,1.501111010252655983e+09,0.000000000000000000e+00,2.416992187500000000e-02,1.242136138634203158e-05,1.001234658932495525e-03
6.666666666666666574e-02,1.501111010267775059e+09,0.000000000000000000e+00,2.490234375000000000e-02,2.831491864403582444e-05,1.416745636743229394e-03
8.333333333333332871e-02,1.501111010310234070e+09,0.000000000000000000e+00,2.343750000000000000e-02,5.098683832305025667e-05,1.808220417381946853e-03
1.000000000000000056e-01,1.501111010325504065e+09,0.000000000000000000e+00,2.416992187500000000e-02,8.067584412892704550e-05,2.212397046034095434e-03
1.166666666666666685e-01,1.501111010367124081e+09,0.000000000000000000e+00,2.490234375000000000e-02,1.176169839424733764e-04,2.629396391599803356e-03
1.333333333333333315e-01,1.501111010382363081e+09,0.000000000000000000e+00,2.343750000000000000e-02,1.620409677960278475e-04,3.022722074396403790e-03
1.499999999999999944e-01,1.501111010425756931e+09,0.000000000000000000e+00,2.416992187500000000e-02,2.141735023508645848e-04,3.429123664018918043e-03
1.666666666666666574e-01,1.501111010441240072e+09,0.000000000000000000e+00,2.343750000000000000e-02,2.742346228656065217e-04,3.824319241066678407e-03
1.833333333333333204e-01,1.501111010481193066e+09,0.000000000000000000e+00,2.416992187500000000e-02,3.424380236530609857e-04,4.232858572710896002e-03
2.000000000000000111e-01,1.501111010497930050e+09,0.000000000000000000e+00,2.490234375000000000e-02,4.189903880292476747e-04,4.654880808344716812e-03
2.166666666666666741e-01,1.501111010543906927e+09,0.000000000000000000e+00,2.490234375000000000e-02,5.040907187635682019e-04,5.078321382824109442e-03
2.333333333333333370e-01,1.501111010559783936e+09,0.000000000000000000e+00,2.416992187500000000e-02,5.979296700430390384e-04,5.491118908574827047e-03
2.500000000000000000e-01,1.501111010603570938e+09,0.000000000000000000e+00,2.416992187500000000e-02,7.006888819662894811e-04,5.905629087857598714e-03
2.666666666666666630e-01,1.501111010618678093e+09,0.000000000000000000e+00,2.490234375000000000e-02,8.125403185845960375e-04,6.334210489000674862e-03
2.833333333333333259e-01,1.501111010661633968e+09,0.000000000000000000e+00,2.343750000000000000e-02,9.336456105075851154e-04,6.740396249175801581e-03
