# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.501111041191215992e+09,0.000000000000000000e+00,-3.955078125000000000e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.501111041191629887e+09,3.064424563400304484e-06,-1.794433593750000000e-02,0.000000000000000000e+00,-2.990722656249999675e-04
3.333333333333333287e-02,1.501111041201500893e+09,1.242136138634203158e-05,-4.174804687500000000e-02,0.000000000000000000e+00,-9.948730468750000434e-04
5.000000000000000278e-02,1.501111041245552063e+09,2.831491864403582444e-05,-4.907226562500000000e-02,0.000000000000000000e+00,-1.812744140625000173e-03
6.666666666666666574e-02,1.501111041261183023e+09,5.098683832305025667e-05,-4.833984375000000000e-02,0.000000000000000000e+00,-2.618408203125000347e-03
8.333333333333332871e-02,1.501111041304099083e+09,8.067584412892704550e-05,-4.614257812500000000e-02,0.000000000000000000e+00,-3.387451171875000000e-03
1.000000000000000056e-01,1.501111041320084095e+09,1.176169839424733764e-04,-4.760742187500000000e-02,0.000000000000000000e+00,-4.180908203125000000e-03
1.166666666666666685e-01,1.501111041360424995e+09,1.620409677960278475e-04,-4.614257812500000000e-02,0.000000000000000000e+00,-4.949951171874999653e-03
1.333333333333333315e-01,1.501111041376861095e+09,2.141735023508645848e-04,-4.541015625000000000e-02,0.000000000000000000e+00,-5.706787109375000000e-03
1.499999999999999944e-01,1.501111041419964075e+09,2.742346228656065217e-04,-4.174804687500000000e-02,0.000000000000000000e+00,-6.402587890625000347e-03
1.666666666666666574e-01,1.501111041435667038e+09,3.424380236530609857e-04,-4.028320312500000000e-02,0.000000000000000000e+00,-7.073974609375000347e-03
1.833333333333333204e-01,1.501111041476993084e+09,4.189903880292476747e-04,-4.028320312500000000e-02,0.000000000000000000e+00,-7.745361328125000347e-03
2.000000000000000111e-01,1.501111041493835926e+09,5.040907187635682019e-04,-4.174804687500000000e-02,0.000000000000000000e+00,-8.441162109375000694e-03
2.166666666666666741e-01,1.501111041536755085e+09,5.979296700430390384e-04,-4.101562500000000000e-02,0.000000000000000000e+00,-9.124755859375000000e-03
2.333333333333333370e-01,1.501111041553000927e+09,7.006888819662894811e-04,-4.101562500000000000e-02,0.000000000000000000e+00,-9.808349609374999306e-03
2.500000000000000000e-01,1.501111041595161915e+09,8.125403185845960375e-04,-4.028320312500000000e-02,0.000000000000000000e+00,-1.047973632812499931e-02
2.666666666666666630e-01,1.501111041609770060e+09,9.336456105075851154e-04,-4.028320312500000000e-02,0.000000000000000000e+00,-1.115112304687499931e-02
2.833333333333333259e-01,1.501111041654575109e+09,1.064155403090384644e-03,-4.028320312500000000e-02,0.000000000000000000e+00,-1.182250976562499931e-02
2.999999999999999889e-01,1.501111041669645071e+09,1.204208711216932367e-03,-4.101562500000000000e-02,0.000000000000000000e+00,-1.250610351562499861e-02
3.166666666666666519e-01,1.501111041710448980e+09,1.353932281690879138e-03,-4.101562500000000000e-02,0.000000000000000000e+00,-1.318969726562499792e-02
3.333333333333333148e-01,1.501111041725255966e+09,1.513439964241034994e-03,-4.028320312500000000e-02,0.000000000000000000e+00,-1.386108398437499792e-02
3.499999999999999778e-01,1.501111041775415897e+09,1.682832092142574378e-03,-4.101562500000000000e-02,0.000000000000000000e+00,-1.454467773437499722e-02
3.666666666666666408e-01,1.501111041790179968e+09,1.862194873448362858e-03,-4.101562500000000000e-02,0.000000000000000000e+00,-1.522827148437499653e-02
3.833333333333333037e-01,1.501111041842333078e+09,2.051599793816598696e-03,-4.028320312500000000e-02,0.000000000000000000e+00,-1.589965820312499653e-02
4.000000000000000222e-01,1.501111041857863903e+09,2.251103031911712380e-03,-4.101562500000000000e-02,0.000000000000000000e+00,-1.658325195312499584e-02
4.166666666666666852e-01,1.501111041909038067e+09,2.460744888344937494e-03,-4.028320312500000000e-02,0.000000000000000000e+00,-1.725463867187499584e-02
4.333333333333333481e-01,1.501111041924705982e+09,2.680549229109329985e-03,-4.174804687500000000e-02,0.000000000000000000e+00,-1.795043945312499445e-02
4.500000000000000111e-01,1.501111041969979048e+09,2.910522944451159229e-03,-4.101562500000000000e-02,0.000000000000000000e+00,-1.863403320312499375e-02
4.666666666666666741e-01,1.501111041980596066e+09,3.150655424105610041e-03,-3.955078125000000000e-02,0.000000000000000000e+00,-1.929321289062499445e-02
4.833333333333333370e-01,1.501111042025656939e+09,3.400918049809599757e-03,-4.101562500000000000e-02,0.000000000000000000e+00,-1.997680664062499375e-02
5.000000000000000000e-01,1.501111042041894913e+09,3.661263705988271853e-03,-4.028320312500000000e-02,0.000000000000000000e+00,-2.064819335937499375e-02
5.166666666666666075e-01,1.501111042084989071e+09,3.931626309494295340e-03,-1.245117187500000000e-02,0.000000000000000000e+00,-2.085571289062499237e-02
5.333333333333333259e-01,1.501111042101824999e+09,4.211920359260731481e-03,-5.126953125000000000e-03,0.000000000000000000e+00,-2.094116210937499098e-02
5.500000000000000444e-01,1.501111042146106958e+09,4.502040506708497765e-03,6.591796875000000000e-03,0.000000000000000000e+00,-2.083129882812499029e-02
5.666666666666666519e-01,1.501111042161094904e+09,4.801861147729066109e-03,6.591796875000000000e-03,0.000000000000000000e+00,-2.072143554687498959e-02
5.833333333333333703e-01,1.501111042204397917e+09,5.111236037041185128e-03,8.056640625000000000e-03,0.000000000000000000e+00,-2.058715820312499029e-02
5.999999999999999778e-01,1.501111042219185114e+09,5.429997925697829797e-03,7.324218750000000000e-03,0.000000000000000000e+00,-2.046508789062499029e-02
6.166666666666666963e-01,1.501111042276695013e+09,5.757958222495866002e-03,6.591796875000000000e-03,0.000000000000000000e+00,-2.035522460937498959e-02
6.333333333333333037e-01,1.501111042291522980e+09,6.094906680016302578e-03,7.324218750000000000e-03,0.000000000000000000e+00,-2.023315429687498959e-02
6.500000000000000222e-01,1.501111042348604918e+09,6.440611105997368600e-03,8.789062500000000000e-03,0.000000000000000000e+00,-2.008666992187499098e-02
6.666666666666666297e-01,1.501111042362543106e+09,6.794817100716088118e-03,8.056640625000000000e-03,0.000000000000000000e+00,-1.995239257812499167e-02
6.833333333333333481e-01,1.501111042406793118e+09,7.157247821026667053e-03,1.391601562500000000e-02,0.000000000000000000e+00,-1.972045898437499098e-02
6.999999999999999556e-01,1.501111042424252987e+09,7.527603771675659902e-03,2.197265625000000000e-02,0.000000000000000000e+00,-1.935424804687499098e-02
7.166666666666666741e-01,1.501111042469506025e+09,7.905562624484665027e-03,3.955078125000000000e-02,0.000000000000000000e+00,-1.869506835937499029e-02
7.333333333333332815e-01,1.501111042480099916e+09,8.290779065961494804e-03,3.808593750000000000e-02,0.000000000000000000e+00,-1.806030273437499167e-02
