# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.516843388775485039e+09,0.000000000000000000e+00,1.949763382555711605e-02,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.516843388775985003e+09,0.000000000000000000e+00,5.126953125000000000e-03,0.000000000000000000e+00,8.544921874999998103e-05
3.333333333333333287e-02,1.516843388785033941e+09,0.000000000000000000e+00,2.249726979871975036e-02,-3.817254851680025241e-07,4.603973533039096505e-04
5.000000000000000278e-02,1.516843388802822113e+09,0.000000000000000000e+00,2.099745181213843320e-02,-1.300879160145474001e-06,8.103332021868810565e-04
6.666666666666666574e-02,1.516843388818871021e+09,0.000000000000000000e+00,2.249726979871975036e-02,-2.492678168490824970e-06,1.185246154196068716e-03
8.333333333333332871e-02,1.516843388837714911e+09,0.000000000000000000e+00,2.249726979871975036e-02,-3.823260550326531765e-06,1.560136929832225700e-03
1.000000000000000056e-01,1.516843388854521990e+09,0.000000000000000000e+00,3.149617771820764633e-02,-5.328717903556420757e-06,2.084984413170626848e-03
1.166666666666666685e-01,1.516843388872596025e+09,0.000000000000000000e+00,7.199126335590319559e-02,-7.251277399833045257e-06,3.284717947812349371e-03
1.333333333333333315e-01,1.516843388889748096e+09,0.000000000000000000e+00,8.248998926197241566e-02,-1.007052534532055656e-05,4.659383260089467772e-03
1.499999999999999944e-01,1.516843388906796932e+09,0.000000000000000000e+00,8.099017127539109850e-02,-1.452765292379677706e-05,6.008977320463923175e-03
1.666666666666666574e-01,1.516843388923010111e+09,0.000000000000000000e+00,7.799053530222846420e-02,-2.164088504001222748e-05,7.308458894083730978e-03
1.833333333333333204e-01,1.516843388939560890e+09,0.000000000000000000e+00,8.099017127539109850e-02,-3.271052087503867475e-05,8.657749906658998920e-03
2.000000000000000111e-01,1.516843388955180883e+09,0.000000000000000000e+00,7.949035328880978135e-02,-4.931236195258694631e-05,9.981767255439952941e-03
2.166666666666666741e-01,1.516843388972889900e+09,0.000000000000000000e+00,7.049144536932187843e-02,-7.327871900694729536e-05,1.115540336627853478e-02
2.333333333333333370e-01,1.516843388989840984e+09,0.000000000000000000e+00,7.499089932906582989e-02,-1.066666586335454062e-04,1.240347391078574016e-02
2.500000000000000000e-01,1.516843389008610964e+09,0.000000000000000000e+00,7.349108134248452662e-02,-1.517136580324148691e-04,1.362579670552660840e-02
2.666666666666666630e-01,1.516843389026643038e+09,0.000000000000000000e+00,7.499089932906582989e-02,-2.107813626672053490e-04,1.487213200496658588e-02
2.833333333333333259e-01,1.516843389044393063e+09,0.000000000000000000e+00,7.499089932906582989e-02,-2.862886676406794974e-04,1.611720884932367134e-02
2.999999999999999889e-01,1.516843389061193943e+09,0.000000000000000000e+00,7.649071731564716092e-02,-3.806358487452030700e-04,1.738571020710536971e-02
3.166666666666666519e-01,1.516843389079030991e+09,0.000000000000000000e+00,7.649071731564716092e-02,-4.961219333511698729e-04,1.865228679681030233e-02
3.333333333333333148e-01,1.516843389096709013e+09,0.000000000000000000e+00,7.199126335590319559e-02,-6.348579053024532926e-04,1.984156022098697986e-02
3.499999999999999778e-01,1.516843389115485907e+09,0.000000000000000000e+00,7.799053530222846420e-02,-7.986786641540012579e-04,2.112809116495488818e-02
3.666666666666666408e-01,1.516843389133194923e+09,0.000000000000000000e+00,7.649071731564716092e-02,-9.890568920481997237e-04,2.238645217201487223e-02
3.833333333333333037e-01,1.516843389151048899e+09,0.000000000000000000e+00,7.649071731564716092e-02,-1.207022108805681131e-03,2.364118042546222917e-02
4.000000000000000222e-01,1.516843389167869091e+09,0.000000000000000000e+00,7.649071731564716092e-02,-1.453088208332495518e-03,2.489180757725080809e-02
4.166666666666666852e-01,1.516843389186616898e+09,0.000000000000000000e+00,7.499089932906582989e-02,-1.727192661970529180e-03,2.611286935503573034e-02
4.333333333333333481e-01,1.516843389204580069e+09,0.000000000000000000e+00,7.499089932906582989e-02,-2.028650345806020869e-03,2.732890683809005919e-02
4.500000000000000111e-01,1.516843389223419905e+09,0.000000000000000000e+00,7.799053530222846420e-02,-2.356124602335528048e-03,2.858948034975494074e-02
4.666666666666666741e-01,1.516843389241105080e+09,0.000000000000000000e+00,7.649071731564716092e-02,-2.707617689683810766e-03,2.981919867685433115e-02
4.833333333333333370e-01,1.516843389259443045e+09,0.000000000000000000e+00,7.199126335590319559e-02,-3.080482215335874838e-03,3.096771169586378519e-02
5.000000000000000000e-01,1.516843389275132895e+09,0.000000000000000000e+00,7.499089932906582989e-02,-3.471454511515277737e-03,3.215970244282296414e-02
5.166666666666666075e-01,1.516843389292855978e+09,0.000000000000000000e+00,7.799053530222846420e-02,-3.876710204793388636e-03,3.339493286111355069e-02
5.333333333333333259e-01,1.516843389309645891e+09,0.000000000000000000e+00,7.799053530222846420e-02,-4.291941485034087185e-03,3.462324275806678842e-02
5.500000000000000444e-01,1.516843389327393055e+09,0.000000000000000000e+00,7.649071731564716092e-02,-4.712454812399590777e-03,3.581954713312091726e-02
5.666666666666666519e-01,1.516843389344737053e+09,0.000000000000000000e+00,7.649071731564716092e-02,-5.133287041395441161e-03,3.700883763769177714e-02
5.833333333333333703e-01,1.516843389363065958e+09,0.000000000000000000e+00,7.649071731564716092e-02,-5.549337214026433401e-03,3.819119397271879268e-02
5.999999999999999778e-01,1.516843389380743980e+09,0.000000000000000000e+00,7.649071731564716092e-02,-5.955510606094106124e-03,3.936678075121134712e-02
