# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.516843947139928102e+09,0.000000000000000000e+00,-2.999635973162633612e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.516843947140408039e+09,0.000000000000000000e+00,-6.591796875000000000e-03,0.000000000000000000e+00,-1.098632812500000027e-04
3.333333333333333287e-02,1.516843947148542881e+09,0.000000000000000000e+00,-2.999635973162633612e-02,3.817254851680025241e-07,-6.097962480190195073e-04
5.000000000000000278e-02,1.516843947165354967e+09,0.000000000000000000e+00,-2.549690577188238466e-02,1.300879160145474001e-06,-1.034722996231056706e-03
6.666666666666666574e-02,1.516843947182955980e+09,0.000000000000000000e+00,-2.999635973162633612e-02,2.492678168490824970e-06,-1.534620780455353984e-03
8.333333333333332871e-02,1.516843947200802088e+09,0.000000000000000000e+00,-2.699672375846369834e-02,3.823260550326531765e-06,-1.984502455420576652e-03
1.000000000000000056e-01,1.516843947217622995e+09,0.000000000000000000e+00,-2.999635973162633612e-02,5.328717903556420757e-06,-2.484352972315956483e-03
1.166666666666666685e-01,1.516843947234956980e+09,0.000000000000000000e+00,-2.699672375846369834e-02,7.251277399833045257e-06,-2.934177513667020863e-03
1.333333333333333315e-01,1.516843947251569033e+09,0.000000000000000000e+00,-2.999635973162633612e-02,1.007052534532055656e-05,-3.433949000438371070e-03
1.499999999999999944e-01,1.516843947270338058e+09,0.000000000000000000e+00,-2.699672375846369834e-02,1.452765292379677706e-05,-3.883652268864036094e-03
1.666666666666666574e-01,1.516843947287384987e+09,0.000000000000000000e+00,-2.849654174504501897e-02,2.164088504001222748e-05,-4.358233949864119203e-03
1.833333333333333204e-01,1.516843947306296110e+09,0.000000000000000000e+00,-2.849654174504501897e-02,3.271052087503867475e-05,-4.832631136933618517e-03
2.000000000000000111e-01,1.516843947323256969e+09,0.000000000000000000e+00,-2.999635973162633612e-02,4.931236195258694631e-05,-5.331748593094847409e-03
2.166666666666666741e-01,1.516843947340965033e+09,0.000000000000000000e+00,-2.699672375846369834e-02,7.327871900694729536e-05,-5.780472677085792856e-03
2.333333333333333370e-01,1.516843947357867002e+09,0.000000000000000000e+00,-2.699672375846369834e-02,1.066666586335454062e-04,-6.228640295416295290e-03
2.500000000000000000e-01,1.516843947376669884e+09,0.000000000000000000e+00,-2.999635973162633612e-02,1.517136580324148691e-04,-6.726051063309527143e-03
2.666666666666666630e-01,1.516843947395296097e+09,0.000000000000000000e+00,-2.849654174504501897e-02,2.107813626672053490e-04,-7.197480403015823862e-03
2.833333333333333259e-01,1.516843947412769079e+09,0.000000000000000000e+00,-2.699672375846369834e-02,2.862886676406794974e-04,-7.642654321196207245e-03
2.999999999999999889e-01,1.516843947429567099e+09,0.000000000000000000e+00,-2.699672375846369834e-02,3.806358487452030700e-04,-8.086255786358182221e-03
3.166666666666666519e-01,1.516843947448426962e+09,0.000000000000000000e+00,-2.849654174504501897e-02,4.961219333511698729e-04,-8.552929449886413626e-03
3.333333333333333148e-01,1.516843947464874029e+09,0.000000000000000000e+00,-2.849654174504501897e-02,6.348579053024532926e-04,-9.017290847215456498e-03
3.499999999999999778e-01,1.516843947483674049e+09,0.000000000000000000e+00,-2.549690577188238466e-02,7.986786641540012579e-04,-9.428927965677597056e-03
3.666666666666666408e-01,1.516843947500626087e+09,0.000000000000000000e+00,-2.849654174504501897e-02,9.890568920481997237e-04,-9.887386046560878161e-03
3.833333333333333037e-01,1.516843947518702030e+09,0.000000000000000000e+00,-2.999635973162633612e-02,1.207022108805681131e-03,-1.036720834027455608e-02
4.000000000000000222e-01,1.516843947537307024e+09,0.000000000000000000e+00,-2.699672375846369834e-02,1.453088208332495518e-03,-1.079293559944340987e-02
4.166666666666666852e-01,1.516843947554908037e+09,0.000000000000000000e+00,-2.849654174504501897e-02,1.727192661970529180e-03,-1.123909141749465136e-02
4.333333333333333481e-01,1.516843947571727037e+09,0.000000000000000000e+00,-2.699672375846369834e-02,2.028650345806020869e-03,-1.165522597437227900e-02
4.500000000000000111e-01,1.516843947589366913e+09,0.000000000000000000e+00,-2.699672375846369834e-02,2.356124602335528048e-03,-1.206590262697441497e-02
4.666666666666666741e-01,1.516843947605663061e+09,0.000000000000000000e+00,-2.699672375846369834e-02,2.707617689683810766e-03,-1.247072106145408026e-02
4.833333333333333370e-01,1.516843947623482943e+09,0.000000000000000000e+00,-2.999635973162633612e-02,3.080482215335874838e-03,-1.291931902005892183e-02
5.000000000000000000e-01,1.516843947641316891e+09,0.000000000000000000e+00,-2.549690577188238466e-02,3.471454511515277737e-03,-1.328640987439837391e-02
5.166666666666666075e-01,1.516843947657659054e+09,0.000000000000000000e+00,-2.699672375846369834e-02,3.876710204793388636e-03,-1.367174343362621315e-02
5.333333333333333259e-01,1.516843947676270962e+09,0.000000000000000000e+00,-2.699672375846369834e-02,4.291941485034087185e-03,-1.405015647151670703e-02
5.500000000000000444e-01,1.516843947692399025e+09,0.000000000000000000e+00,-2.849654174504501897e-02,4.712454812399590777e-03,-1.444655792039413120e-02
5.666666666666666519e-01,1.516843947710058928e+09,0.000000000000000000e+00,-2.699672375846369834e-02,5.133287041395441161e-03,-1.481094853234526942e-02
5.833333333333333703e-01,1.516843947728434086e+09,0.000000000000000000e+00,-2.849654174504501897e-02,5.549337214026433401e-03,-1.519340194119557855e-02
5.999999999999999778e-01,1.516843947744847059e+09,0.000000000000000000e+00,-2.999635973162633612e-02,5.955510606094106124e-03,-1.559408275995444876e-02
6.166666666666666963e-01,1.516843947762562037e+09,0.000000000000000000e+00,-2.999635973162633612e-02,6.346871026449030055e-03,-1.598824090504073758e-02
6.333333333333333037e-01,1.516843947781192064e+09,0.000000000000000000e+00,-2.849654174504501897e-02,6.718796891643532415e-03,-1.635120331926409598e-02
6.500000000000000222e-01,1.516843947798124075e+09,0.000000000000000000e+00,-2.849654174504501897e-02,7.067136248177731742e-03,-1.670836007754521874e-02
6.666666666666666297e-01,1.516843947815808058e+09,0.000000000000000000e+00,-2.849654174504501897e-02,7.388355708141601010e-03,-1.706016317816027444e-02
6.833333333333333481e-01,1.516843947834150076e+09,0.000000000000000000e+00,-2.699672375846369834e-02,7.679678214094950647e-03,-1.738211393723308740e-02
6.999999999999999556e-01,1.516843947851555109e+09,0.000000000000000000e+00,-2.849654174504501897e-02,7.939204663339093776e-03,-1.772473622192818551e-02
7.166666666666666741e-01,1.516843947869910955e+09,0.000000000000000000e+00,-2.999635973162633612e-02,8.166014703034185640e-03,-1.808857530573805550e-02
7.333333333333332815e-01,1.516843947886683941e+09,0.000000000000000000e+00,-2.849654174504501897e-02,8.360242453246961164e-03,-1.842418029393469089e-02
7.500000000000000000e-01,1.516843947905464888e+09,0.000000000000000000e+00,-2.849654174504501897e-02,8.523123516861340690e-03,-1.875707059773775234e-02
7.666666666666666075e-01,1.516843947922354937e+09,0.000000000000000000e+00,-2.699672375846369834e-02,8.657010379878772241e-03,-1.906273248738083598e-02
7.833333333333333259e-01,1.516843947940521955e+09,0.000000000000000000e+00,-2.849654174504501897e-02,8.765354174416400967e-03,-1.939158561355797811e-02
8.000000000000000444e-01,1.516843947958348989e+09,0.000000000000000000e+00,-2.699672375846369834e-02,8.852651746473177985e-03,-1.969398681375782167e-02
8.166666666666666519e-01,1.516843947973968983e+09,0.000000000000000000e+00,-2.849654174504501897e-02,8.924358014029961511e-03,-2.002018987594140695e-02
8.333333333333333703e-01,1.516843947991569996e+09,0.000000000000000000e+00,-2.849654174504501897e-02,8.986764687736407270e-03,-2.034535282689655181e-02
