# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.516844215277420044e+09,0.000000000000000000e+00,1.049872590606921660e-02,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.516844215277934074e+09,2.147917641751685147e-06,2.929687500000000000e-03,0.000000000000000000e+00,4.882812499999999593e-05
3.333333333333333287e-02,1.516844215288661003e+09,8.764447890478153669e-06,1.349836187923184917e-02,-2.036121991559252359e-06,2.737668876206714565e-04
5.000000000000000278e-02,1.516844215307641029e+09,2.010613480534787772e-05,1.199854389265053375e-02,-8.870962340705919414e-06,4.735947697925019110e-04
6.666666666666666574e-02,1.516844215324500084e+09,3.641188470135284743e-05,8.998907919487899448e-03,-2.149838682797131008e-05,6.232182620035007451e-04
8.333333333333332871e-02,1.516844215342304945e+09,5.788539582759026761e-05,1.199854389265053375e-02,-4.077125756175501819e-05,8.225144725883136356e-04
1.000000000000000056e-01,1.516844215359961033e+09,8.467853633946515466e-05,1.199854389265053375e-02,-6.738982318432458051e-05,1.021367040412750424e-03
1.166666666666666685e-01,1.516844215376462936e+09,1.168766158252789247e-04,1.049872590606921660e-02,-1.018961169972662468e-04,1.194647536897282996e-03
1.333333333333333315e-01,1.516844215394145966e+09,1.544864480217000185e-04,1.049872590606921660e-02,-1.446742750637536659e-04,1.367215064080707287e-03
1.499999999999999944e-01,1.516844215411883116e+09,1.974280167416706932e-04,1.199854389265053375e-02,-1.959564292923599938e-04,1.563924855136676921e-03
1.666666666666666574e-01,1.516844215428215981e+09,2.455304358554707901e-04,1.049872590606921660e-02,-2.558335955227125928e-04,1.734639726979118673e-03
1.833333333333333204e-01,1.516844215446146965e+09,2.985327411237056528e-04,1.049872590606921660e-02,-3.242707734298126373e-04,1.904213979189775356e-03
2.000000000000000111e-01,1.516844215462017059e+09,3.560898716819140670e-04,1.199854389265053375e-02,-4.011253119695700289e-04,2.097504288867791267e-03
2.166666666666666741e-01,1.516844215479617119e+09,4.177839979613533336e-04,1.049872590606921660e-02,-4.861674777229892824e-04,2.264380262673561586e-03
2.333333333333333370e-01,1.516844215498203039e+09,4.831411375935639038e-04,1.199854389265053375e-02,-5.791020985136316728e-04,2.454704292575843154e-03
2.500000000000000000e-01,1.516844215516117096e+09,5.516527788195227855e-04,1.049872590606921660e-02,-6.795901435750629615e-04,2.618356555284079203e-03
2.666666666666666630e-01,1.516844215532170057e+09,6.228020099383184969e-04,1.199854389265053375e-02,-7.872691445820033255e-04,2.805211134418554575e-03
2.833333333333333259e-01,1.516844215548794985e+09,6.960934413600717045e-04,1.199854389265053375e-02,-9.017714570123564486e-04,2.990157341679190815e-03
