# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.516844266292696953e+09,-0.000000000000000000e+00,-7.499089932906584030e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.516844266293195963e+09,-2.147917641751685147e-06,-1.831054687500000000e-03,0.000000000000000000e+00,-3.051757812500000000e-05
3.333333333333333287e-02,1.516844266300323009e+09,-8.764447890478153669e-06,-5.999271946325266877e-03,2.036121991559252359e-06,-1.304715085305617678e-04
5.000000000000000278e-02,1.516844266318221092e+09,-2.010613480534787772e-05,-5.999271946325266877e-03,8.870962340705919414e-06,-2.303115249303044356e-04
6.666666666666666574e-02,1.516844266335956097e+09,-3.641188470135284743e-05,-5.999271946325266877e-03,2.149838682797131008e-05,-3.299410842552593357e-04
8.333333333333332871e-02,1.516844266353877068e+09,-5.788539582759026761e-05,-8.998907919487899448e-03,4.077125756175501819e-05,-4.792433619540284006e-04
1.000000000000000056e-01,1.516844266370904922e+09,-8.467853633946515466e-05,-5.999271946325266877e-03,6.738982318432458051e-05,-5.781080640063773757e-04
1.166666666666666685e-01,1.516844266387706995e+09,-1.168766158252789247e-04,-1.049872590606921660e-02,1.018961169972662468e-04,-7.513885604909098384e-04
1.333333333333333315e-01,1.516844266405610085e+09,-1.544864480217000185e-04,-5.999271946325266877e-03,1.446742750637536659e-04,-8.489651883452683373e-04
1.499999999999999944e-01,1.516844266422996998e+09,-1.974280167416706932e-04,-5.999271946325266877e-03,1.959564292923599938e-04,-9.456871136291501029e-04
1.666666666666666574e-01,1.516844266438636065e+09,-2.455304358554707901e-04,-1.499817986581316719e-03,2.558335955227125928e-04,-9.664201868134601617e-04
1.833333333333333204e-01,1.516844266457568884e+09,-2.985327411237056528e-04,-5.999271946325266877e-03,3.242707734298126373e-04,-1.061003539695051052e-03
2.000000000000000111e-01,1.516844266475214005e+09,-3.560898716819140670e-04,-4.499453959743949724e-03,4.011253119695700289e-04,-1.129309017157957345e-03
2.166666666666666741e-01,1.516844266492666006e+09,-4.177839979613533336e-04,-5.999271946325266877e-03,4.861674777229892824e-04,-1.221194091634661980e-03
2.333333333333333370e-01,1.516844266511046886e+09,-4.831411375935639038e-04,-2.999635973162633439e-03,5.791020985136316728e-04,-1.261536322878811962e-03
2.500000000000000000e-01,1.516844266528429985e+09,-5.516527788195227855e-04,-5.999271946325266877e-03,6.795901435750629615e-04,-1.350197686257982111e-03
2.666666666666666630e-01,1.516844266545085907e+09,-6.228020099383184969e-04,-2.999635973162633439e-03,7.872691445820033255e-04,-1.387070466734325897e-03
2.833333333333333259e-01,1.516844266563057899e+09,-6.960934413600717045e-04,-5.999271946325266877e-03,9.017714570123564486e-04,-1.472028808222874486e-03
2.999999999999999889e-01,1.516844266580777884e+09,-7.710860117291568538e-04,-4.499453959743949724e-03,1.022739504360376103e-03,-1.529974049145933985e-03
3.166666666666666519e-01,1.516844266598758936e+09,-8.474275988308622738e-04,-4.499453959743949724e-03,1.149837332414372412e-03,-1.585800992934760295e-03
3.333333333333333148e-01,1.516844266614578962e+09,-9.248902164255929856e-04,-5.999271946325266877e-03,1.282758019077282667e-03,-1.664409558388893441e-03
3.499999999999999778e-01,1.516844266633569956e+09,-1.003404475733901766e-03,-5.999271946325266877e-03,1.421226727474051528e-03,-1.740710312036413765e-03
3.666666666666666408e-01,1.516844266650068998e+09,-1.083091929899599381e-03,-4.499453959743949724e-03,1.564999445648408444e-03,-1.789617887271339374e-03
3.833333333333333037e-01,1.516844266666225910e+09,-1.164293904993369579e-03,-7.499089932906584030e-03,1.713857713572878791e-03,-1.886038424260234403e-03
4.000000000000000222e-01,1.516844266682904005e+09,-1.247595454176688660e-03,-4.499453959743949724e-03,1.867599885772813339e-03,-1.929902658826419901e-03
