# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.516844546709412098e+09,-0.000000000000000000e+00,-3.599563167795159779e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.516844546709872007e+09,-9.035247014785260355e-08,-8.422851562500000000e-03,0.000000000000000000e+00,-1.403808593749999892e-04
3.333333333333333287e-02,1.516844546721465111e+09,-6.158594877866561234e-08,-3.449581369137028758e-02,0.000000000000000000e+00,-7.153110875645048508e-04
5.000000000000000278e-02,1.516844546739790916e+09,5.100377451749107210e-07,-3.449581369137028758e-02,0.000000000000000000e+00,-1.290241315754009658e-03
6.666666666666666574e-02,1.516844546756541014e+09,1.994648274121536016e-06,-3.299599570478897043e-02,0.000000000000000000e+00,-1.840174577500492499e-03
8.333333333333332871e-02,1.516844546776012897e+09,4.691205138388199306e-06,-3.749544966453291495e-02,0.000000000000000000e+00,-2.465098738576041240e-03
1.000000000000000056e-01,1.516844546791659117e+09,8.818200971931082271e-06,-3.299599570478897043e-02,0.000000000000000000e+00,-3.015032000322524081e-03
1.166666666666666685e-01,1.516844546809665918e+09,1.451334062605906637e-05,-3.299599570478897043e-02,0.000000000000000000e+00,-3.564965262069006921e-03
1.333333333333333315e-01,1.516844546827589989e+09,2.184245933675090187e-05,-3.449581369137028758e-02,0.000000000000000000e+00,-4.139895490258511945e-03
1.499999999999999944e-01,1.516844546844338894e+09,3.081747699355461261e-05,-3.449581369137028758e-02,0.000000000000000000e+00,-4.714825718448016970e-03
1.666666666666666574e-01,1.516844546861953974e+09,4.142271947649717591e-05,-2.849654174504501897e-02,0.000000000000000000e+00,-5.189768080865434126e-03
1.833333333333333204e-01,1.516844546879878044e+09,5.364849134855939253e-05,-2.549690577188238466e-02,0.000000000000000000e+00,-5.614716510396806914e-03
2.000000000000000111e-01,1.516844546896363974e+09,6.753037552224476850e-05,-2.549690577188238466e-02,0.000000000000000000e+00,-6.039664939928179703e-03
2.166666666666666741e-01,1.516844546914201975e+09,8.319238229435474104e-05,-2.399708778530106751e-02,0.000000000000000000e+00,-6.439616403016531175e-03
2.333333333333333370e-01,1.516844546930202961e+09,1.008917879401751631e-04,-2.249726979871975036e-02,0.000000000000000000e+00,-6.814570899661860463e-03
2.500000000000000000e-01,1.516844546948029041e+09,1.210633050002973734e-04,-2.249726979871975036e-02,0.000000000000000000e+00,-7.189525396307189752e-03
2.666666666666666630e-01,1.516844546963967085e+09,1.443601226359816176e-04,-2.399708778530106751e-02,0.000000000000000000e+00,-7.589476859395541224e-03
2.833333333333333259e-01,1.516844546982341051e+09,1.716893527455437551e-04,-2.399708778530106751e-02,0.000000000000000000e+00,-7.989428322483891828e-03
2.999999999999999889e-01,1.516844547000174046e+09,2.042395190156062572e-04,-2.549690577188238466e-02,0.000000000000000000e+00,-8.414376752015265484e-03
3.166666666666666519e-01,1.516844547016499043e+09,2.434979309616407746e-04,-2.399708778530106751e-02,0.000000000000000000e+00,-8.814328215103616956e-03
3.333333333333333148e-01,1.516844547035044909e+09,2.912560886301888453e-04,-2.699672375846369834e-02,0.000000000000000000e+00,-9.264273611078011061e-03
3.499999999999999778e-01,1.516844547052242041e+09,3.496016575272619699e-04,-2.399708778530106751e-02,0.000000000000000000e+00,-9.664225074166362534e-03
3.666666666666666408e-01,1.516844547068583012e+09,4.208960254705205800e-04,-2.399708778530106751e-02,0.000000000000000000e+00,-1.006417653725471401e-02
3.833333333333333037e-01,1.516844547085788012e+09,5.077369881911939723e-04,-2.399708778530106751e-02,0.000000000000000000e+00,-1.046412800034306548e-02
4.000000000000000222e-01,1.516844547103343964e+09,6.129066906540876075e-04,-3.149617771820764633e-02,0.000000000000000000e+00,-1.098906429564652613e-02
4.166666666666666852e-01,1.516844547121490955e+09,7.393055560820595198e-04,-2.549690577188238466e-02,0.000000000000000000e+00,-1.141401272517789979e-02
4.333333333333333481e-01,1.516844547139331102e+09,8.898735429339312214e-04,-2.249726979871975036e-02,0.000000000000000000e+00,-1.178896722182322908e-02
4.500000000000000111e-01,1.516844547155539036e+09,1.067500659194303616e-03,-2.549690577188238466e-02,0.000000000000000000e+00,-1.221391565135460273e-02
4.666666666666666741e-01,1.516844547173372984e+09,1.274929210894515559e-03,-2.699672375846369834e-02,0.000000000000000000e+00,-1.266386104732899684e-02
4.833333333333333370e-01,1.516844547190238953e+09,1.514650746181578529e-03,-2.399708778530106751e-02,0.000000000000000000e+00,-1.306381251041734831e-02
5.000000000000000000e-01,1.516844547206383944e+09,1.788801057425762732e-03,-2.699672375846369834e-02,0.000000000000000000e+00,-1.351375790639174415e-02
5.166666666666666075e-01,1.516844547223381042e+09,2.099056904030863376e-03,-2.399708778530106751e-02,0.000000000000000000e+00,-1.391370936948009562e-02
5.333333333333333259e-01,1.516844547240964890e+09,2.446538302962865136e-03,-2.549690577188238466e-02,0.000000000000000000e+00,-1.433865779901146928e-02
5.500000000000000444e-01,1.516844547258152008e+09,2.831720291260549777e-03,-2.399708778530106751e-02,0.000000000000000000e+00,-1.473860926209982075e-02
5.666666666666666519e-01,1.516844547275288105e+09,3.254357987668876195e-03,-2.249726979871975036e-02,0.000000000000000000e+00,-1.511356375874515004e-02
5.833333333333333703e-01,1.516844547291517973e+09,3.713428566145969036e-03,-2.399708778530106751e-02,0.000000000000000000e+00,-1.551351522183350151e-02
5.999999999999999778e-01,1.516844547308193922e+09,4.207093404022396559e-03,-2.549690577188238466e-02,0.000000000000000000e+00,-1.593846365136487517e-02
6.166666666666666963e-01,1.516844547326666117e+09,4.732683188373959342e-03,-2.549690577188238466e-02,0.000000000000000000e+00,-1.636341208089624882e-02
6.333333333333333037e-01,1.516844547343638897e+09,5.286708166604601848e-03,-2.399708778530106751e-02,0.000000000000000000e+00,-1.676336354398460030e-02
6.500000000000000222e-01,1.516844547362056971e+09,5.864895026550029714e-03,-2.399708778530106751e-02,0.000000000000000000e+00,-1.716331500707295177e-02
6.666666666666666297e-01,1.516844547379735947e+09,6.462251106765999273e-03,-2.399708778530106751e-02,0.000000000000000000e+00,-1.756326647016130324e-02
6.833333333333333481e-01,1.516844547396210909e+09,7.073155791636227298e-03,-2.249726979871975036e-02,0.000000000000000000e+00,-1.793822096680663253e-02
