# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.516846426684753895e+09,0.000000000000000000e+00,1.364834367788998193e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.516846426685589075e+09,5.533874176911749648e-06,3.369140625000000000e-02,0.000000000000000000e+00,5.615234374999999566e-04
3.333333333333333287e-02,1.516846426696010113e+09,2.246585738844798167e-05,1.379832547654811503e-01,0.000000000000000000e+00,2.861244350258019403e-03
5.000000000000000278e-02,1.516846426712115049e+09,5.127754235841473405e-05,1.379832547654811503e-01,0.000000000000000000e+00,5.160965263016038633e-03
6.666666666666666574e-02,1.516846426728425026e+09,9.238118567068819714e-05,1.379832547654811503e-01,0.000000000000000000e+00,7.460686175774057863e-03
8.333333333333332871e-02,1.516846426748133898e+09,1.460559333900881445e-04,1.379832547654811503e-01,0.000000000000000000e+00,9.760407088532076225e-03
1.000000000000000056e-01,1.516846426762202978e+09,2.123860144856160579e-04,1.364834367788998193e-01,0.000000000000000000e+00,1.203513103484707414e-02
1.166666666666666685e-01,1.516846426780818939e+09,2.912036602790000106e-04,1.379832547654811503e-01,0.000000000000000000e+00,1.433485194760509424e-02
1.333333333333333315e-01,1.516846426798415899e+09,3.820393804546372827e-04,1.364834367788998193e-01,0.000000000000000000e+00,1.660957589392009215e-02
1.499999999999999944e-01,1.516846426816243887e+09,4.840819961801292475e-04,1.379832547654811503e-01,0.000000000000000000e+00,1.890929680667811225e-02
1.666666666666666574e-01,1.516846426832906961e+09,5.961505058324608137e-04,1.379832547654811503e-01,0.000000000000000000e+00,2.120901771943613234e-02
1.833333333333333204e-01,1.516846426850114107e+09,7.166794494368970009e-04,1.364834367788998193e-01,0.000000000000000000e+00,2.348374166575113026e-02
2.000000000000000111e-01,1.516846426866480112e+09,8.437189580923983067e-04,1.379832547654811503e-01,0.000000000000000000e+00,2.578346257850915035e-02
2.166666666666666741e-01,1.516846426885462046e+09,9.749501409648655753e-04,1.379832547654811503e-01,0.000000000000000000e+00,2.808318349126717045e-02
2.333333333333333370e-01,1.516846426903031111e+09,1.107715893606488287e-03,1.349836187923185160e-01,0.000000000000000000e+00,3.033291047113914618e-02
2.500000000000000000e-01,1.516846426920922041e+09,1.239066627642610883e-03,1.364834367788998193e-01,0.000000000000000000e+00,3.260763441745414409e-02
2.666666666666666630e-01,1.516846426937226057e+09,1.365819844308707254e-03,1.379832547654811503e-01,0.000000000000000000e+00,3.490735533021216419e-02
2.833333333333333259e-01,1.516846426955282927e+09,1.484631924057535930e-03,1.379832547654811503e-01,0.000000000000000000e+00,3.720707624297018429e-02
2.999999999999999889e-01,1.516846426972935915e+09,1.592080001974978832e-03,1.379832547654811503e-01,0.000000000000000000e+00,3.950679715572820438e-02
3.166666666666666519e-01,1.516846426990886927e+09,1.684751363147112815e-03,1.379832547654811503e-01,0.000000000000000000e+00,4.180651806848622448e-02
3.333333333333333148e-01,1.516846427008507967e+09,1.759337440447660906e-03,1.379832547654811503e-01,0.000000000000000000e+00,4.410623898124424458e-02
3.499999999999999778e-01,1.516846427027321100e+09,1.812729243806999449e-03,1.394830727520624536e-01,0.000000000000000000e+00,4.643095686044528686e-02
3.666666666666666408e-01,1.516846427044858932e+09,1.842110905989324029e-03,1.394830727520624536e-01,0.000000000000000000e+00,4.875567473964632914e-02
3.833333333333333037e-01,1.516846427062691927e+09,1.845048002676580919e-03,1.364834367788998193e-01,0.000000000000000000e+00,5.103039868596132705e-02
4.000000000000000222e-01,1.516846427080064058e+09,1.819567397677700248e-03,1.379832547654811503e-01,0.000000000000000000e+00,5.333011959871934715e-02
4.166666666666666852e-01,1.516846427097687960e+09,1.764225576610288504e-03,1.424827087252250879e-01,0.000000000000000000e+00,5.570483141080643380e-02
4.333333333333333481e-01,1.516846427115314007e+09,1.678162759473531343e-03,1.379832547654811503e-01,0.000000000000000000e+00,5.800455232356445390e-02
4.500000000000000111e-01,1.516846427132303953e+09,1.561140515049872684e-03,1.409828907386437569e-01,0.000000000000000000e+00,6.035426716920851836e-02
4.666666666666666741e-01,1.516846427149154902e+09,1.413561125051614057e-03,1.364834367788998193e-01,0.000000000000000000e+00,6.262899111552351628e-02
4.833333333333333370e-01,1.516846427166887045e+09,1.236467546864621070e-03,1.379832547654811503e-01,0.000000000000000000e+00,6.492871202828152943e-02
5.000000000000000000e-01,1.516846427183964968e+09,1.031523481118459861e-03,1.379832547654811503e-01,0.000000000000000000e+00,6.722843294103954259e-02
5.166666666666666075e-01,1.516846427202608109e+09,8.009737422133024996e-04,1.379832547654811503e-01,0.000000000000000000e+00,6.952815385379755575e-02
5.333333333333333259e-01,1.516846427218362093e+09,5.475858327473990964e-04,1.394830727520624536e-01,0.000000000000000000e+00,7.185287173299859109e-02
5.500000000000000444e-01,1.516846427236839056e+09,2.745743119843295152e-04,1.379832547654811503e-01,0.000000000000000000e+00,7.415259264575660425e-02
5.666666666666666519e-01,1.516846427253321886e+09,-1.448980055016158534e-05,1.364834367788998193e-01,0.000000000000000000e+00,7.642731659207159522e-02
5.833333333333333703e-01,1.516846427271040916e+09,-3.157817564270085997e-04,1.379832547654811503e-01,0.000000000000000000e+00,7.872703750482960838e-02
5.999999999999999778e-01,1.516846427288774014e+09,-6.253346103176369913e-04,1.379832547654811503e-01,0.000000000000000000e+00,8.102675841758762154e-02
6.166666666666666963e-01,1.516846427305305004e+09,-9.391558182922498266e-04,1.379832547654811503e-01,0.000000000000000000e+00,8.332647933034563470e-02
6.333333333333333037e-01,1.516846427321476936e+09,-1.253344889196387297e-03,1.379832547654811503e-01,0.000000000000000000e+00,8.562620024310364786e-02
6.500000000000000222e-01,1.516846427339932919e+09,-1.564207931263541509e-03,1.409828907386437569e-01,0.000000000000000000e+00,8.797591508874770538e-02
6.666666666666666297e-01,1.516846427357566118e+09,-1.868364934512109585e-03,1.394830727520624536e-01,0.000000000000000000e+00,9.030063296794874073e-02
6.833333333333333481e-01,1.516846427374871969e+09,-2.162845774974126584e-03,1.379832547654811503e-01,0.000000000000000000e+00,9.260035388070675388e-02
6.999999999999999556e-01,1.516846427391833067e+09,-2.445171218560044952e-03,1.379832547654811503e-01,0.000000000000000000e+00,9.490007479346476704e-02
7.166666666666666741e-01,1.516846427408606052e+09,-2.713415634493829710e-03,1.394830727520624536e-01,0.000000000000000000e+00,9.722479267266580238e-02
7.333333333333332815e-01,1.516846427427212000e+09,-2.966248689908270592e-03,1.364834367788998193e-01,0.000000000000000000e+00,9.949951661898079336e-02
7.500000000000000000e-01,1.516846427443403959e+09,-3.202953972796256012e-03,1.379832547654811503e-01,0.000000000000000000e+00,1.017992375317388065e-01
7.666666666666666075e-01,1.516846427459731102e+09,-3.423423260171674660e-03,1.379832547654811503e-01,0.000000000000000000e+00,1.040989584444968197e-01
7.833333333333333259e-01,1.516846427478142977e+09,-3.628125988331018428e-03,1.379832547654811503e-01,0.000000000000000000e+00,1.063986793572548328e-01
8.000000000000000444e-01,1.516846427495806932e+09,-3.818054365771248338e-03,1.379832547654811503e-01,0.000000000000000000e+00,1.086984002700128460e-01
8.166666666666666519e-01,1.516846427514306068e+09,-3.994645467586950723e-03,1.364834367788998193e-01,0.000000000000000000e+00,1.109731242163278370e-01
8.333333333333333703e-01,1.516846427531857014e+09,-4.159682532650255983e-03,1.394830727520624536e-01,0.000000000000000000e+00,1.132978420955288723e-01
8.499999999999999778e-01,1.516846427550283909e+09,-4.315178520785480087e-03,1.304841648325745507e-01,0.000000000000000000e+00,1.154725781760717884e-01
8.666666666666666963e-01,1.516846427567902088e+09,-4.463245746321983613e-03,1.139861669801800759e-01,0.000000000000000000e+00,1.173723476257414605e-01
8.833333333333333037e-01,1.516846427586565971e+09,-4.605956058306192799e-03,9.748816912778557331e-02,0.000000000000000000e+00,1.189971504445378886e-01
9.000000000000000222e-01,1.516846427604419947e+09,-4.745196560368790568e-03,8.099017127539109850e-02,0.000000000000000000e+00,1.203469866324610726e-01
9.166666666666666297e-01,1.516846427621263027e+09,-4.882526232414131223e-03,5.999271946325267224e-02,0.000000000000000000e+00,1.213468652901819461e-01
9.333333333333333481e-01,1.516846427638885975e+09,-5.019039013962309920e-03,3.299599570478897043e-02,0.000000000000000000e+00,1.218967985519284342e-01
9.499999999999999556e-01,1.516846427657280922e+09,-5.155238922272869541e-03,-1.349836187923184917e-02,0.000000000000000000e+00,1.216718258539412345e-01
9.666666666666666741e-01,1.516846427674375057e+09,-5.290932600146764676e-03,-3.149617771820764633e-02,0.000000000000000000e+00,1.211468895586377686e-01
9.833333333333332815e-01,1.516846427692171097e+09,-5.425144317459010268e-03,-4.049508563769554925e-02,0.000000000000000000e+00,1.204719714646761697e-01
1.000000000000000000e+00,1.516846427709109068e+09,-5.556057892255280607e-03,-2.999635973162633612e-02,0.000000000000000000e+00,1.199720321358157260e-01
1.016666666666666607e+00,1.516846427726371050e+09,-5.680989263219857373e-03,-2.999635973162633612e-02,0.000000000000000000e+00,1.194720928069552823e-01
1.033333333333333215e+00,1.516846427742074966e+09,-5.796392553215560205e-03,-2.999635973162633612e-02,0.000000000000000000e+00,1.189721534780948387e-01
1.050000000000000044e+00,1.516846427757749081e+09,-5.897901436913617797e-03,-4.649435758402081786e-02,0.000000000000000000e+00,1.181972475183611648e-01
1.066666666666666652e+00,1.516846427775341034e+09,-5.980406492971828032e-03,-6.149253744983398939e-02,0.000000000000000000e+00,1.171723718941972692e-01
1.083333333333333259e+00,1.516846427793669939e+09,-6.038168015929929258e-03,-7.649071731564716092e-02,0.000000000000000000e+00,1.158975266056031517e-01
1.100000000000000089e+00,1.516846427810414076e+09,-6.064962521635169218e-03,-7.949035328880978135e-02,0.000000000000000000e+00,1.145726873841229898e-01
1.116666666666666696e+00,1.516846427827550888e+09,-6.054259941713214556e-03,-7.949035328880978135e-02,0.000000000000000000e+00,1.132478481626428279e-01
1.133333333333333304e+00,1.516846427844844103e+09,-5.999427307781755696e-03,-8.099017127539109850e-02,0.000000000000000000e+00,1.118980119747196439e-01
1.149999999999999911e+00,1.516846427866265059e+09,-5.893953615232778304e-03,-1.004878051009482215e-01,0.000000000000000000e+00,1.102232152230371715e-01
1.166666666666666741e+00,1.516846427879336119e+09,-5.731689568724562985e-03,-1.394830727520624536e-01,0.000000000000000000e+00,1.078984973438361361e-01
1.183333333333333348e+00,1.516846427898571968e+09,-5.507095083754636085e-03,-1.964761562421524776e-01,0.000000000000000000e+00,1.046238947398002578e-01
1.199999999999999956e+00,1.516846427916138887e+09,-5.215486783805338422e-03,-2.354714238932667236e-01,0.000000000000000000e+00,1.006993710082458166e-01
1.216666666666666563e+00,1.516846427933430910e+09,-4.853277318638382631e-03,-2.354714238932667236e-01,0.000000000000000000e+00,9.677484727669137532e-02
1.233333333333333393e+00,1.516846427950212955e+09,-4.418198158477932951e-03,-2.354714238932667236e-01,0.000000000000000000e+00,9.285032354513693409e-02
1.250000000000000000e+00,1.516846427967999935e+09,-3.909497606352741947e-03,-2.339716059066853926e-01,0.000000000000000000e+00,8.895079678002551504e-02
1.266666666666666607e+00,1.516846427984956980e+09,-3.328106124509364570e-03,-2.339716059066853926e-01,0.000000000000000000e+00,8.505127001491409600e-02
1.283333333333333215e+00,1.516846428003321886e+09,-2.676761690284681135e-03,-2.354714238932667236e-01,0.000000000000000000e+00,8.112674628335965477e-02
1.300000000000000044e+00,1.516846428019865990e+09,-1.960088773571966921e-03,-2.324717879201040893e-01,0.000000000000000000e+00,7.725221648469125790e-02
1.316666666666666652e+00,1.516846428038248062e+09,-1.184625645178302841e-03,-2.324717879201040893e-01,0.000000000000000000e+00,7.337768668602286104e-02
1.333333333333333259e+00,1.516846428055888891e+09,-3.587960580516324962e-04,-2.339716059066853926e-01,0.000000000000000000e+00,6.947815992091144199e-02
1.350000000000000089e+00,1.516846428073137045e+09,5.071771408981383573e-04,-2.324717879201040893e-01,0.000000000000000000e+00,6.560363012224304513e-02
1.366666666666666696e+00,1.516846428090044022e+09,1.401417251099273606e-03,-2.339716059066853926e-01,0.000000000000000000e+00,6.170410335713161915e-02
1.383333333333333304e+00,1.516846428107726097e+09,2.310596835167042559e-03,-2.324717879201040893e-01,0.000000000000000000e+00,5.782957355846321534e-02
1.399999999999999911e+00,1.516846428124962091e+09,3.220195929448183697e-03,-2.309719699335227583e-01,0.000000000000000000e+00,5.398004072623783373e-02
1.416666666666666741e+00,1.516846428143320084e+09,4.114810762164859866e-03,-2.324717879201040893e-01,0.000000000000000000e+00,5.010551092756942992e-02
1.433333333333333348e+00,1.516846428160042048e+09,4.978506648684142590e-03,-2.294721519469414273e-01,0.000000000000000000e+00,4.628097506178707049e-02
1.449999999999999956e+00,1.516846428178451061e+09,5.795207102955107249e-03,-2.294721519469414273e-01,0.000000000000000000e+00,4.245643919600471106e-02
1.466666666666666563e+00,1.516846428194772959e+09,6.549109741147618978e-03,-2.309719699335227583e-01,0.000000000000000000e+00,3.860690636377932944e-02
1.483333333333333393e+00,1.516846428212804079e+09,7.225118308470185151e-03,-2.309719699335227583e-01,0.000000000000000000e+00,3.475737353155394782e-02
1.500000000000000000e+00,1.516846428229592085e+09,7.809279178798450571e-03,-2.324717879201040893e-01,0.000000000000000000e+00,3.088284373288554749e-02
1.516666666666666607e+00,1.516846428247793913e+09,8.289209998635133428e-03,-2.324717879201040893e-01,0.000000000000000000e+00,2.700831393421714716e-02
1.533333333333333215e+00,1.516846428273958921e+09,8.654507803952238634e-03,-2.339716059066853926e-01,0.000000000000000000e+00,2.310878716910572464e-02
1.550000000000000044e+00,1.516846428280533075e+09,8.897123953732526819e-03,-2.324717879201040893e-01,0.000000000000000000e+00,1.923425737043732431e-02
1.566666666666666652e+00,1.516846428298156023e+09,9.011693610849302871e-03,-2.264725159737788207e-01,0.000000000000000000e+00,1.545971543754101098e-02
1.583333333333333259e+00,1.516846428315278053e+09,8.995808262130229951e-03,-2.249726979871974897e-01,0.000000000000000000e+00,1.171017047108771983e-02
1.600000000000000089e+00,1.516846428332082987e+09,8.850220896967212966e-03,-2.264725159737788207e-01,0.000000000000000000e+00,7.935628538191406497e-03
1.616666666666666696e+00,1.516846428349730015e+09,8.578974938570731179e-03,-2.264725159737788207e-01,0.000000000000000000e+00,4.161086605295093166e-03
1.633333333333333304e+00,1.516846428367424011e+09,8.189449814018340268e-03,-2.249726979871974897e-01,0.000000000000000000e+00,4.115416388418015846e-04
1.649999999999999911e+00,1.516846428385272980e+09,7.692318118448227861e-03,-2.234728800006162142e-01,0.000000000000000000e+00,-3.313006361168468247e-03
1.666666666666666741e+00,1.516846428402647972e+09,7.101411625486090187e-03,-2.324717879201040893e-01,0.000000000000000000e+00,-7.187536159836869012e-03
1.683333333333333348e+00,1.516846428422772884e+09,6.433495862401436734e-03,-2.309719699335227583e-01,0.000000000000000000e+00,-1.103706899206224890e-02
1.699999999999999956e+00,1.516846428434469938e+09,5.707955539813123688e-03,-2.279723339603601517e-01,0.000000000000000000e+00,-1.483660789140158441e-02
1.716666666666666563e+00,1.516846428452893019e+09,4.946395732082009729e-03,-2.294721519469414273e-01,0.000000000000000000e+00,-1.866114375718394211e-02
1.733333333333333393e+00,1.516846428469937086e+09,4.172166272559668133e-03,-2.294721519469414273e-01,0.000000000000000000e+00,-2.248567962296629807e-02
1.750000000000000000e+00,1.516846428488368034e+09,3.409819283006585312e-03,-2.189734260408722488e-01,0.000000000000000000e+00,-2.613523672364750222e-02
1.766666666666666607e+00,1.516846428505182028e+09,2.684512024927659338e-03,-2.054750641616404083e-01,0.000000000000000000e+00,-2.955982112634151018e-02
1.783333333333333215e+00,1.516846428524573088e+09,2.021369271380914993e-03,-1.814779763763393339e-01,0.000000000000000000e+00,-3.258445406594716320e-02
1.800000000000000044e+00,1.516846428541496992e+09,1.444821085121879159e-03,-1.604805245642008660e-01,0.000000000000000000e+00,-3.525912947535050912e-02
1.816666666666666652e+00,1.516846428559271097e+09,9.779331939306140295e-04,-1.574808885910382594e-01,0.000000000000000000e+00,-3.788381095186781067e-02
1.833333333333333259e+00,1.516846428575615883e+09,6.417480267670576822e-04,-1.559810706044569284e-01,0.000000000000000000e+00,-4.048349546194209003e-02
1.849999999999999867e+00,1.516846428594055891e+09,4.546548757697427235e-04,-1.634801605373635280e-01,0.000000000000000000e+00,-4.320816480423148032e-02
1.866666666666666696e+00,1.516846428611706972e+09,4.318075518726794261e-04,-1.709792504702701277e-01,0.000000000000000000e+00,-4.605781897873598152e-02
1.883333333333333304e+00,1.516846428630048990e+09,5.846072919509159253e-04,-2.024754281884777740e-01,0.000000000000000000e+00,-4.943240944854394164e-02
1.899999999999999911e+00,1.516846428646605015e+09,9.202675528660545900e-04,-2.309719699335227583e-01,0.000000000000000000e+00,-5.328194228076932326e-02
1.916666666666666741e+00,1.516846428664539099e+09,1.441475706851763107e-03,-2.399708778530106890e-01,0.000000000000000000e+00,-5.728145691165283104e-02
1.933333333333333348e+00,1.516846428682214975e+09,2.146164562025839381e-03,-2.399708778530106890e-01,0.000000000000000000e+00,-6.128097154253633883e-02
1.949999999999999956e+00,1.516846428700175047e+09,3.027404114047437325e-03,-2.399708778530106890e-01,0.000000000000000000e+00,-6.528048617341984661e-02
1.966666666666666563e+00,1.516846428717912912e+09,4.073421045837719717e-03,-2.309719699335227583e-01,0.000000000000000000e+00,-6.913001900564522129e-02
1.983333333333333393e+00,1.516846428736109018e+09,5.267750299602645507e-03,-2.369712418798480547e-01,0.000000000000000000e+00,-7.307953970364268470e-02
2.000000000000000000e+00,1.516846428752367020e+09,6.589519627287009941e-03,-2.339716059066853926e-01,0.000000000000000000e+00,-7.697906646875410375e-02
2.016666666666666607e+00,1.516846428768779993e+09,8.013864468727082205e-03,-2.369712418798480547e-01,0.000000000000000000e+00,-8.092858716675156716e-02
2.033333333333333215e+00,1.516846428785620928e+09,9.512466904174092172e-03,-2.129741540945469525e-01,0.000000000000000000e+00,-8.447815640166068951e-02
2.049999999999999822e+00,1.516846428803308010e+09,1.105420887647112944e-02,-1.574808885910382594e-01,0.000000000000000000e+00,-8.710283787817799106e-02
2.066666666666666430e+00,1.516846428820086956e+09,1.260592647628650149e-02,-9.748816912778557331e-02,0.000000000000000000e+00,-8.872764069697441913e-02
2.083333333333333481e+00,1.516846428837503910e+09,1.413324892840380972e-02,-4.049508563769554925e-02,0.000000000000000000e+00,-8.940255879093601810e-02
2.100000000000000089e+00,1.516846428856151104e+09,1.560150310106640272e-02,5.999271946325266877e-03,0.000000000000000000e+00,-8.930257092516392936e-02
2.116666666666666696e+00,1.516846428874058962e+09,1.697666197001387184e-02,3.299599570478897043e-02,0.000000000000000000e+00,-8.875263766341744132e-02
2.133333333333333304e+00,1.516846428891604900e+09,1.822631358107925856e-02,6.299235543641529267e-02,0.000000000000000000e+00,-8.770276507281052347e-02
2.149999999999999911e+00,1.516846428910052061e+09,1.932062573546196663e-02,8.398980724855373281e-02,0.000000000000000000e+00,-8.630293495200129505e-02
2.166666666666666519e+00,1.516846428925647974e+09,2.023328092171329876e-02,9.598835114120427003e-02,0.000000000000000000e+00,-8.470312909964788917e-02
2.183333333333333126e+00,1.516846428943404913e+09,2.094235597437391072e-02,1.064870770472734762e-01,0.000000000000000000e+00,-8.292834448219332799e-02
2.200000000000000178e+00,1.516846428961044073e+09,2.143112157051987529e-02,1.244848928862492821e-01,0.000000000000000000e+00,-8.085359626742250061e-02
2.216666666666666785e+00,1.516846428977231979e+09,2.168873798393720562e-02,1.574808885910382594e-01,0.000000000000000000e+00,-7.822891479090519906e-02
2.233333333333333393e+00,1.516846428994467020e+09,2.171082548571691764e-02,1.829777943629206372e-01,0.000000000000000000e+00,-7.517928488485652039e-02
2.250000000000000000e+00,1.516846429011913061e+09,2.149989037504258099e-02,2.039752461750590773e-01,0.000000000000000000e+00,-7.177969744860553114e-02
2.266666666666666607e+00,1.516846429029593945e+09,2.106559079237035892e-02,2.129741540945469525e-01,0.000000000000000000e+00,-6.823012821369640879e-02
2.283333333333333215e+00,1.516846429047677994e+09,2.042483013997782940e-02,2.189734260408722488e-01,0.000000000000000000e+00,-6.458057111301521158e-02
2.299999999999999822e+00,1.516846429063955069e+09,1.960167002762783564e-02,2.159737900677095868e-01,0.000000000000000000e+00,-6.098100794522005180e-02
2.316666666666666430e+00,1.516846429082026958e+09,1.862705907625511817e-02,2.144739720811282835e-01,0.000000000000000000e+00,-5.740644174386791421e-02
2.333333333333333481e+00,1.516846429098125935e+09,1.753837854156987952e-02,2.144739720811282835e-01,0.000000000000000000e+00,-5.383187554251577661e-02
2.350000000000000089e+00,1.516846429116127014e+09,1.637881044547270792e-02,2.249726979871974897e-01,0.000000000000000000e+00,-5.008233057606248373e-02
2.366666666666666696e+00,1.516846429133035898e+09,1.519653860405894945e-02,2.234728800006162142e-01,0.000000000000000000e+00,-4.635778257605221303e-02
2.383333333333333304e+00,1.516846429151011944e+09,1.404379749253299552e-02,2.234728800006162142e-01,0.000000000000000000e+00,-4.263323457604194233e-02
2.399999999999999911e+00,1.516846429167757988e+09,1.297578816644604470e-02,2.234728800006162142e-01,0.000000000000000000e+00,-3.890868657603167163e-02
2.416666666666666519e+00,1.516846429186222076e+09,1.204948434673831954e-02,2.249726979871974897e-01,0.000000000000000000e+00,-3.515914160957837875e-02
2.433333333333333126e+00,1.516846429203846931e+09,1.132235516228435185e-02,2.279723339603601517e-01,0.000000000000000000e+00,-3.135960271023904150e-02
2.450000000000000178e+00,1.516846429221187115e+09,1.085103382803948198e-02,2.369712418798480547e-01,0.000000000000000000e+00,-2.741008201224157462e-02
