# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.516846544465579033e+09,-0.000000000000000000e+00,-1.319839828191558817e-01,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.516846544466121912e+09,-1.798929827055640890e-06,-3.222656250000000000e-02,0.000000000000000000e+00,-5.371093749999999349e-04
3.333333333333333287e-02,1.516846544476818085e+09,-7.143096105243524524e-06,-1.319839828191558817e-01,-1.413869948528467420e-06,-2.736865986485073100e-03
5.000000000000000278e-02,1.516846544492902040e+09,-1.610466661814614789e-05,-1.349836187923185160e-01,-5.480904621995249357e-06,-4.986684314767414299e-03
6.666666666666666574e-02,1.516846544509448051e+09,-2.895384448307132715e-05,-1.319839828191558817e-01,-1.197178372019448439e-05,-7.186616891482015650e-03
8.333333333333332871e-02,1.516846544527091026e+09,-4.614755680175652706e-05,-1.259847108728305853e-01,-2.069039208931063465e-05,-9.286706912564012678e-03
1.000000000000000056e-01,1.516846544543956995e+09,-6.831024298560356336e-05,-1.169858029533426963e-01,-3.145911940556328203e-05,-1.123699461377648465e-02
1.166666666666666685e-01,1.516846544559988976e+09,-9.620762854014538220e-05,-8.998907919487900142e-02,-4.410249646159308714e-05,-1.273754764196549476e-02
1.333333333333333315e-01,1.516846544577667952e+09,-1.307146554978873428e-04,-5.099381154376476932e-02,-5.843004229691513073e-05,-1.358841833506652282e-02
1.499999999999999944e-01,1.516846544595808029e+09,-1.727789801094829173e-04,-4.499453959743949724e-03,-7.421922989269736943e-05,-1.366464622156046693e-02
1.666666666666666574e-01,1.516846544613528967e+09,-2.233816324214081377e-04,3.749544966453291495e-02,-9.119947392158423295e-05,-1.304124205171694473e-02
1.833333333333333204e-01,1.516846544632464886e+09,-2.834965535923031810e-04,7.049144536932187843e-02,-1.090380022054298579e-04,-1.186820192893167127e-02
2.000000000000000111e-01,1.516846544649336100e+09,-3.540507801474801052e-04,8.099017127539109850e-02,-1.273283945496202273e-04,-1.052048788091764636e-02
2.166666666666666741e-01,1.516846544667195082e+09,-4.358870272687663831e-04,8.398980724855373281e-02,-1.455824612706091144e-04,-9.123084134462926958e-03
2.333333333333333370e-01,1.516846544684196949e+09,-5.297303357130522588e-04,8.548962523513506384e-02,-1.632259930194410863e-04,-7.700977480427666742e-03
2.500000000000000000e-01,1.516846544702505112e+09,-6.361602917354371124e-04,8.698944322171636712e-02,-1.795987485318640664e-04,-6.254146739207925264e-03
2.666666666666666630e-01,1.516846544720519066e+09,-7.555901117132752349e-04,8.548962523513506384e-02,-1.939588637388215840e-04,-4.832552299684654204e-03
