# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.516846601284815073e+09,0.000000000000000000e+00,8.848926120829768427e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.516846601285356998e+09,1.798929827055640890e-06,2.124023437500000000e-02,0.000000000000000000e+00,3.540039062499999349e-04
3.333333333333333287e-02,1.516846601294996977e+09,7.143096105243524524e-06,8.548962523513506384e-02,1.413869948528467420e-06,1.778854558001392774e-03
5.000000000000000278e-02,1.516846601312772989e+09,1.610466661814614789e-05,8.848926120829768427e-02,5.480904621995249357e-06,3.253766926550054079e-03
6.666666666666666574e-02,1.516846601330324888e+09,2.895384448307132715e-05,8.848926120829768427e-02,1.197178372019448439e-05,4.728787476417018604e-03
8.333333333333332871e-02,1.516846601349268913e+09,4.614755680175652706e-05,8.698944322171636712e-02,2.069039208931063465e-05,6.178956369980446658e-03
1.000000000000000056e-01,1.516846601366910934e+09,6.831024298560356336e-05,8.848926120829768427e-02,3.145911940556328203e-05,7.654301708775500604e-03
1.166666666666666685e-01,1.516846601384490967e+09,9.620762854014538220e-05,8.698944322171636712e-02,4.410249646159308714e-05,9.104860804078466346e-03
1.333333333333333315e-01,1.516846601401696920e+09,1.307146554978873428e-04,8.848926120829768427e-02,5.843004229691513073e-05,1.058065565825504206e-02
1.499999999999999944e-01,1.516846601417860031e+09,1.727789801094829173e-04,8.848926120829768427e-02,7.421922989269736943e-05,1.205671366555821460e-02
1.666666666666666574e-01,1.516846601435534954e+09,2.233816324214081377e-04,8.698944322171636712e-02,9.119947392158423295e-05,1.350805771048551457e-02
1.833333333333333204e-01,1.516846601454416990e+09,2.834965535923031810e-04,8.698944322171636712e-02,1.090380022054298579e-04,1.495969906421754439e-02
2.000000000000000111e-01,1.516846601470355988e+09,3.540507801474801052e-04,8.698944322171636712e-02,1.273283945496202273e-04,1.641164525782197806e-02
2.166666666666666741e-01,1.516846601486222982e+09,4.358870272687663831e-04,8.698944322171636712e-02,1.455824612706091144e-04,1.786389568587175986e-02
2.333333333333333370e-01,1.516846601503021955e+09,5.297303357130522588e-04,8.998907919487900142e-02,1.632259930194410863e-04,1.936643410567006826e-02
2.500000000000000000e-01,1.516846601521017075e+09,6.361602917354371124e-04,8.848926120829768427e-02,1.795987485318640664e-04,2.084424843828389454e-02
2.666666666666666630e-01,1.516846601537236929e+09,7.555901117132752349e-04,8.698944322171636712e-02,1.939588637388215840e-04,2.229730513970814773e-02
2.833333333333333259e-01,1.516846601553797960e+09,8.882536106725638213e-04,8.548962523513506384e-02,2.054916710143152943e-04,2.372555708814396910e-02
2.999999999999999889e-01,1.516846601570823908e+09,1.034200756394932025e-03,7.349108134248452662e-02,2.133227184913829547e-04,2.495396382249356892e-02
