# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.516846650722928047e+09,-0.000000000000000000e+00,-1.799781583897579890e-02,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.516846650723423004e+09,-2.147917641751685147e-06,-3.295898437500000000e-03,0.000000000000000000e+00,-5.493164062500000136e-05
3.333333333333333287e-02,1.516846650735125065e+09,-8.764447890478153669e-06,-1.349836187923184917e-02,-2.036121991559252359e-06,-2.799382739787234725e-04
5.000000000000000278e-02,1.516846650751084089e+09,-2.010613480534787772e-05,-1.949763382555711605e-02,-8.870962340705919414e-06,-6.050466871103537831e-04
6.666666666666666574e-02,1.516846650766944885e+09,-3.641188470135284743e-05,-1.349836187923184917e-02,-2.149838682797131008e-05,-8.303776915446841288e-04
8.333333333333332871e-02,1.516846650784025908e+09,-5.788539582759026761e-05,-1.799781583897579890e-02,-4.077125756175501819e-05,-1.131020809820310145e-03
1.000000000000000056e-01,1.516846650801860094e+09,-8.467853633946515466e-05,-2.099745181213843320e-02,-6.738982318432458051e-05,-1.482101503742355979e-03
1.166666666666666685e-01,1.516846650818212032e+09,-1.168766158252789247e-04,-4.649435758402081786e-02,-1.018961169972662468e-04,-2.258705732092657070e-03
1.333333333333333315e-01,1.516846650835902929e+09,-1.544864480217000185e-04,-1.334838008057371850e-01,-1.446742750637536659e-04,-4.485846983439338576e-03
1.499999999999999944e-01,1.516846650851872921e+09,-1.974280167416706932e-04,-2.444703318127546265e-01,-1.959564292923599938e-04,-8.563618454140121614e-03
1.666666666666666574e-01,1.516846650868593931e+09,-2.455304358554707901e-04,-3.629559527526786677e-01,-2.558335955227125928e-04,-1.461714822661014379e-02
1.833333333333333204e-01,1.516846650886092901e+09,-2.985327411237056528e-04,-4.379468520817444976e-01,-3.242707734298126373e-04,-2.192166694086304657e-02
2.000000000000000111e-01,1.516846650904042959e+09,-3.560898716819140670e-04,-4.754423017462774403e-01,-4.011253119695700289e-04,-2.985239072516716191e-02
2.166666666666666741e-01,1.516846650920660019e+09,-4.177839979613533336e-04,-5.234364773168795892e-01,-4.861674777229892824e-04,-3.858443480507720014e-02
2.333333333333333370e-01,1.516846650939665079e+09,-4.831411375935639038e-04,-5.684310169143190761e-01,-5.791020985136316728e-04,-4.806793678862441438e-02
2.500000000000000000e-01,1.516846650958162069e+09,-5.516527788195227855e-04,-5.819293787935508888e-01,-6.795901435750629615e-04,-5.777808627090984250e-02
2.666666666666666630e-01,1.516846650975013018e+09,-6.228020099383184969e-04,-5.819293787935508888e-01,-7.872691445820033255e-04,-6.749003040321205349e-02
2.833333333333333259e-01,1.516846650992921114e+09,-6.960934413600717045e-04,-5.819293787935508888e-01,-9.017714570123564486e-04,-7.720388290738811055e-02
2.999999999999999889e-01,1.516846651010566950e+09,-7.710860117291568538e-04,-5.774299248338069512e-01,-1.022739504360376103e-03,-8.684476064635757164e-02
3.166666666666666519e-01,1.516846651029557943e+09,-8.474275988308622738e-04,-5.789297428203883378e-01,-1.149837332414372412e-03,-9.651275364890428421e-02
