# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.516846707270252943e+09,0.000000000000000000e+00,-2.399708778530106751e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.516846707270996094e+09,2.147917641751685147e-06,-6.225585937500000000e-03,0.000000000000000000e+00,-1.037597656249999837e-04
3.333333333333333287e-02,1.516846707274172068e+09,8.764447890478153669e-06,-2.999635973162633612e-02,2.036121991559252359e-06,-6.036651591189128984e-04
5.000000000000000278e-02,1.516846707290225983e+09,2.010613480534787772e-05,-2.399708778530106751e-02,8.870962340705919414e-06,-1.003468772834918872e-03
6.666666666666666574e-02,1.516846707306822062e+09,3.641188470135284743e-05,-1.949763382555711605e-02,2.149838682797131008e-05,-1.328071030147071367e-03
8.333333333333332871e-02,1.516846707324556112e+09,5.788539582759026761e-05,-2.249726979871975036e-02,4.077125756175501819e-05,-1.702346005833038026e-03
1.000000000000000056e-01,1.516846707341276884e+09,8.467853633946515466e-05,-2.099745181213843320e-02,6.738982318432458051e-05,-2.051180372315606400e-03
1.166666666666666685e-01,1.516846707359211922e+09,1.168766158252789247e-04,-2.099745181213843320e-02,1.018961169972662468e-04,-2.399439633901292307e-03
1.333333333333333315e-01,1.516846707376903057e+09,1.544864480217000185e-04,-1.949763382555711605e-02,1.446742750637536659e-04,-2.721988959742848400e-03
1.499999999999999944e-01,1.516846707392875910e+09,1.974280167416706932e-04,-2.099745181213843320e-02,1.959564292923599938e-04,-3.068680549456949402e-03
1.666666666666666574e-01,1.516846707408823967e+09,2.455304358554707901e-04,-1.949763382555711605e-02,2.558335955227125928e-04,-3.389377219957522523e-03
1.833333333333333204e-01,1.516846707426842928e+09,2.985327411237056528e-04,-2.099745181213843320e-02,3.242707734298126373e-04,-3.733930237269332975e-03
2.000000000000000111e-01,1.516846707444539070e+09,3.560898716819140670e-04,-2.249726979871975036e-02,4.011253119695700289e-04,-4.102199312048502439e-03
2.166666666666666741e-01,1.516846707462338924e+09,4.177839979613533336e-04,-2.249726979871975036e-02,4.861674777229892824e-04,-4.469051017398448060e-03
2.333333333333333370e-01,1.516846707479244947e+09,4.831411375935639038e-04,-2.249726979871975036e-02,5.791020985136316728e-04,-4.834353812401883180e-03
2.500000000000000000e-01,1.516846707495332956e+09,5.516527788195227855e-04,-1.949763382555711605e-02,6.795901435750629615e-04,-5.147987873768251031e-03
2.666666666666666630e-01,1.516846707512445927e+09,6.228020099383184969e-04,-1.949763382555711605e-02,7.872691445820033255e-04,-5.459827285117836021e-03
2.833333333333333259e-01,1.516846707531601906e+09,6.960934413600717045e-04,-2.099745181213843320e-02,9.017714570123564486e-04,-5.794755291036604063e-03
2.999999999999999889e-01,1.516846707548330069e+09,7.710860117291568538e-04,-1.949763382555711605e-02,1.022739504360376103e-03,-6.102670196389882798e-03
3.166666666666666519e-01,1.516846707565835953e+09,8.474275988308622738e-04,-1.949763382555711605e-02,1.149837332414372412e-03,-6.408466804608928778e-03
3.333333333333333148e-01,1.516846707583544970e+09,9.248902164255929856e-04,-2.099745181213843320e-02,1.282758019077282667e-03,-6.737045034493281161e-03
3.499999999999999778e-01,1.516846707601541042e+09,1.003404475733901766e-03,-1.949763382555711605e-02,1.421226727474051528e-03,-7.038318486127998971e-03
3.666666666666666408e-01,1.516846707619061947e+09,1.083091929899599381e-03,-2.249726979871975036e-02,1.564999445648408444e-03,-7.387189658679188184e-03
3.833333333333333037e-01,1.516846707635659933e+09,1.164293904993369579e-03,-2.399708778530106751e-02,1.713857713572878791e-03,-7.758576826541324634e-03
4.000000000000000222e-01,1.516846707653650999e+09,1.247595454176688660e-03,-1.949763382555711605e-02,1.867599885772813339e-03,-8.052410725537730019e-03
4.166666666666666852e-01,1.516846707671401978e+09,1.333843153197764074e-03,-1.949763382555711605e-02,2.026029704078251802e-03,-8.343604127562378320e-03
4.333333333333333481e-01,1.516846707689097881e+09,1.424155584535151267e-03,-2.099745181213843320e-02,2.188943148996645802e-03,-8.657079271948074986e-03
4.500000000000000111e-01,1.516846707706984997e+09,1.519925531754505541e-03,-1.949763382555711605e-02,2.356114690170706041e-03,-8.942771257537849086e-03
4.666666666666666741e-01,1.516846707723824024e+09,1.622813120971943043e-03,-2.099745181213843320e-02,2.527284158082283242e-03,-9.250607385105451969e-03
4.833333333333333370e-01,1.516846707740534067e+09,1.734729397244964529e-03,-1.799781583897579890e-02,2.702145504188221969e-03,-9.505535224018578713e-03
