# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.516847265251046896e+09,0.000000000000000000e+00,-5.399344751692739669e-02,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.516847265261080980e+09,1.798929827055640890e-06,-5.126953125000000000e-03,0.000000000000000000e+00,-8.544921874999998103e-05
3.333333333333333287e-02,1.516847265261636972e+09,7.143096105243524524e-06,-5.849290147667134815e-02,-1.413869948528467420e-06,-1.060354474526998105e-03
5.000000000000000278e-02,1.516847265279174089e+09,1.610466661814614789e-05,-5.999271946325267224e-02,-5.480904621995249357e-06,-2.060324480658242471e-03
6.666666666666666574e-02,1.516847265295586109e+09,2.895384448307132715e-05,-5.699308349009003793e-02,-1.197178372019448439e-05,-3.010408735221746339e-03
8.333333333333332871e-02,1.516847265314587116e+09,4.614755680175652706e-05,-5.999271946325267224e-02,-2.069039208931063465e-05,-4.010632232810779421e-03
1.000000000000000056e-01,1.516847265330492973e+09,6.831024298560356336e-05,-5.849290147667134815e-02,-3.145911940556328203e-05,-4.986038242745394894e-03
1.166666666666666685e-01,1.516847265348427057e+09,9.620762854014538220e-05,-5.849290147667134815e-02,-4.410249646159308714e-05,-5.961654975630944348e-03
1.333333333333333315e-01,1.516847265366117954e+09,1.307146554978873428e-04,-5.849290147667134815e-02,-5.843004229691513073e-05,-6.937510500947081590e-03
1.499999999999999944e-01,1.516847265383516073e+09,1.727789801094829173e-04,-5.849290147667134815e-02,-7.421922989269736943e-05,-7.913629179389815652e-03
1.666666666666666574e-01,1.516847265401168108e+09,2.233816324214081377e-04,-5.849290147667134815e-02,-9.119947392158423295e-05,-8.890030861899697601e-03
1.833333333333333204e-01,1.516847265417279005e+09,2.834965535923031810e-04,-5.849290147667134815e-02,-1.090380022054298579e-04,-9.866729853214309398e-03
2.000000000000000111e-01,1.516847265434866905e+09,3.540507801474801052e-04,-5.999271946325267224e-02,-1.273283945496202273e-04,-1.086873065084434722e-02
2.166666666666666741e-01,1.516847265450752974e+09,4.358870272687663831e-04,-5.999271946325267224e-02,-1.455824612706091144e-04,-1.187103568291973492e-02
2.333333333333333370e-01,1.516847265467644930e+09,5.297303357130522588e-04,-5.999271946325267224e-02,-1.632259930194410863e-04,-1.287363477385760312e-02
