# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.516847319418416977e+09,-0.000000000000000000e+00,1.799781583897579890e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.516847319419043064e+09,-1.798929827055640890e-06,4.028320312500000000e-03,0.000000000000000000e+00,6.713867187499999187e-05
3.333333333333333287e-02,1.516847319425997019e+09,-7.143096105243524524e-06,1.949763382555711605e-02,1.413869948528467420e-06,3.921228001334274072e-04
5.000000000000000278e-02,1.516847319443188906e+09,-1.610466661814614789e-05,1.649799785239448521e-02,5.480904621995249357e-06,6.671807794170353263e-04
6.666666666666666574e-02,1.516847319460838079e+09,-2.895384448307132715e-05,2.249726979871975036e-02,1.197178372019448439e-05,1.042334805791034387e-03
8.333333333333332871e-02,1.516847319477226973e+09,-4.614755680175652706e-05,1.799781583897579890e-02,2.069039208931063465e-05,1.342643242975452827e-03
1.000000000000000056e-01,1.516847319494935036e+09,-6.831024298560356336e-05,1.799781583897579890e-02,3.145911940556328203e-05,1.643131158948475407e-03
1.166666666666666685e-01,1.516847319511457920e+09,-9.620762854014538220e-05,1.799781583897579890e-02,4.410249646159308714e-05,1.943829797872431969e-03
1.333333333333333315e-01,1.516847319529297113e+09,-1.307146554978873428e-04,1.799781583897579890e-02,5.843004229691513073e-05,2.244767229226977186e-03
1.499999999999999944e-01,1.516847319547611952e+09,-1.727789801094829173e-04,1.799781583897579890e-02,7.421922989269736943e-05,2.545967813708118789e-03
1.666666666666666574e-01,1.516847319564414978e+09,-2.233816324214081377e-04,1.649799785239448521e-02,9.119947392158423295e-05,2.822454435813386529e-03
1.833333333333333204e-01,1.516847319582714081e+09,-2.834965535923031810e-04,1.799781583897579890e-02,1.090380022054298579e-04,3.124235333166407169e-03
2.000000000000000111e-01,1.516847319598362923e+09,-3.540507801474801052e-04,1.799781583897579890e-02,1.273283945496202273e-04,3.426321070391830786e-03
2.166666666666666741e-01,1.516847319617317915e+09,-4.358870272687663831e-04,1.799781583897579890e-02,1.455824612706091144e-04,3.728711042062604272e-03
2.333333333333333370e-01,1.516847319632946014e+09,-5.297303357130522588e-04,2.099745181213843320e-02,1.632259930194410863e-04,4.081389005481901762e-03
2.500000000000000000e-01,1.516847319649010897e+09,-6.361602917354371124e-04,1.799781583897579890e-02,1.795987485318640664e-04,4.384345915273695805e-03
2.666666666666666630e-01,1.516847319665399075e+09,-7.555901117132752349e-04,1.649799785239448521e-02,1.939588637388215840e-04,4.662545193875917635e-03
2.833333333333333259e-01,1.516847319683670044e+09,-8.882536106725638213e-04,1.949763382555711605e-02,2.054916710143152943e-04,4.990930618818775061e-03
2.999999999999999889e-01,1.516847319701709986e+09,-1.034200756394932025e-03,1.799781583897579890e-02,2.133227184913829547e-04,5.294449594776561019e-03
3.166666666666666519e-01,1.516847319720695972e+09,-1.193302159824387266e-03,1.799781583897579890e-02,2.165345838736542565e-04,5.598022101824052035e-03
3.333333333333333148e-01,1.516847319738894939e+09,-1.365262481094094800e-03,1.799781583897579890e-02,2.141868925491650553e-04,5.901555480682801023e-03
3.499999999999999778e-01,1.516847319756815910e+09,-1.549642352597834774e-03,2.099745181213843320e-02,2.053387833626603616e-04,6.254935323941152210e-03
3.666666666666666408e-01,1.516847319773617983e+09,-1.745888050533747236e-03,1.649799785239448521e-02,1.890729239062381717e-04,6.533053170212831280e-03
3.833333333333333037e-01,1.516847319791002035e+09,-1.953367798579231079e-03,1.949763382555711605e-02,1.645200666847985288e-04,6.860755735083530135e-03
4.000000000000000222e-01,1.516847319808038950e+09,-2.171413275559406532e-03,1.799781583897579890e-02,1.308830630781853213e-04,7.162900716784430244e-03
4.166666666666666852e-01,1.516847319825598001e+09,-2.399364635797831668e-03,2.249726979871975036e-02,8.745921757750530596e-05,7.539312867056051359e-03
4.333333333333333481e-01,1.516847319842071056e+09,-2.636617147369856289e-03,1.499817986581316806e-02,3.365987293033690574e-05,7.789843529368443466e-03
4.500000000000000111e-01,1.516847319860153913e+09,-2.882667418804716816e-03,1.949763382555711605e-02,-3.097383122698587287e-05,8.114287862607278551e-03
4.666666666666666741e-01,1.516847319877655983e+09,-3.137157125635596337e-03,1.949763382555711605e-02,-1.067599882549475742e-04,8.437469093228981351e-03
4.833333333333333370e-01,1.516847319895802021e+09,-3.399912168671761614e-03,1.649799785239448521e-02,-1.938705678647713586e-04,8.709204547971144059e-03
5.000000000000000000e-01,1.516847319912849903e+09,-3.670975297224232138e-03,1.649799785239448521e-02,-2.923323225330992062e-04,8.979298973468833461e-03
5.166666666666666075e-01,1.516847319931134939e+09,-3.950630411085220665e-03,1.799781583897579890e-02,-4.020343976670092464e-04,9.272561997490645982e-03
5.333333333333333259e-01,1.516847319948220968e+09,-4.239417010242936372e-03,1.649799785239448521e-02,-5.227428498253062399e-04,9.538816247533466255e-03
5.500000000000000444e-01,1.516847319964755058e+09,-4.538133583686351606e-03,1.199854389265053375e-02,-6.541220206403078590e-04,9.727889945400303162e-03
5.666666666666666519e-01,1.516847319982400894e+09,-4.847829108185540935e-03,1.349836187923184917e-02,-7.957624452834771798e-04,9.939599935966108787e-03
5.833333333333333703e-01,1.516847319999042034e+09,-5.169782252275831672e-03,1.199854389265053375e-02,-9.472147022102742368e-04,1.012378875580677989e-02
5.999999999999999778e-01,1.516847320015398979e+09,-5.505468335561657794e-03,1.049872590606921660e-02,-1.108028344766271356e-03,1.028030038182849507e-02
6.166666666666666963e-01,1.516847320033165932e+09,-5.856514563162844647e-03,1.499817986581316719e-03,-1.277794804439103069e-03,1.028400076819753137e-02
6.333333333333333037e-01,1.516847320050828934e+09,-6.224644522992122363e-03,-7.499089932906584030e-03,-1.456192929342587728e-03,1.013474605382671222e-02
6.500000000000000222e-01,1.516847320067375898e+09,-6.611613382549182995e-03,-1.499817986581316806e-02,-1.643035628704314459e-03,9.857392462251420712e-03
