# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.510608865300865889e+09,0.000000000000000000e+00,2.561767024868186193e-02,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.510608865301332951e+09,0.000000000000000000e+00,5.493164062500000000e-03,0.000000000000000000e+00,9.155273437500000000e-05
3.333333333333333287e-02,1.510608865309833050e+09,0.000000000000000000e+00,2.411074846934763150e-02,-5.391265672770685147e-06,4.933086877695808982e-04
5.000000000000000278e-02,1.510608865326462984e+09,0.000000000000000000e+00,2.411074846934763150e-02,-2.194905221947812389e-05,8.947886780550500267e-04
6.666666666666666574e-02,1.510608865342639923e+09,0.000000000000000000e+00,2.712459202801608543e-02,-5.020323937177221418e-05,1.346028491199121940e-03
8.333333333333332871e-02,1.510608865358930111e+09,0.000000000000000000e+00,2.561767024868186193e-02,-9.063083738137279750e-05,1.771479148054130003e-03
1.000000000000000056e-01,1.510608865375545025e+09,0.000000000000000000e+00,2.863151380735031587e-02,-1.436726200108794050e-04,2.246276501176453812e-03
1.166666666666666685e-01,1.510608865392306089e+09,0.000000000000000000e+00,2.712459202801608543e-02,-2.097548454895689933e-04,2.694857120885229065e-03
1.333333333333333315e-01,1.510608865408474922e+09,0.000000000000000000e+00,2.712459202801608543e-02,-2.893134222500395392e-04,3.142111764314663158e-03
1.499999999999999944e-01,1.510608865425438881e+09,0.000000000000000000e+00,2.712459202801608543e-02,-3.828176309704987542e-04,3.587808004265422707e-03
1.666666666666666574e-01,1.510608865441006899e+09,0.000000000000000000e+00,2.712459202801608543e-02,-4.907904544690996776e-04,4.031704697157872767e-03
1.833333333333333204e-01,1.510608865457964897e+09,0.000000000000000000e+00,2.712459202801608543e-02,-6.138226973719036923e-04,4.473550852668609079e-03
2.000000000000000111e-01,1.510608865474585056e+09,0.000000000000000000e+00,2.561767024868186193e-02,-7.525783927292049001e-04,4.887969050267820109e-03
2.166666666666666741e-01,1.510608865491869926e+09,0.000000000000000000e+00,2.863151380735031587e-02,-9.077894771651081988e-04,5.350031122437573852e-03
2.333333333333333370e-01,1.510608865507678032e+09,0.000000000000000000e+00,2.712459202801608543e-02,-1.080238344545564029e-03,5.784103683828749343e-03
2.500000000000000000e-01,1.510608865525003910e+09,0.000000000000000000e+00,2.712459202801608543e-02,-1.270727627215375698e-03,6.215001423842094613e-03
2.666666666666666630e-01,1.510608865541829109e+09,0.000000000000000000e+00,2.561767024868186193e-02,-1.480037363813141525e-03,6.617295305256573092e-03
2.833333333333333259e-01,1.510608865558548927e+09,0.000000000000000000e+00,2.863151380735031587e-02,-1.708870549354885070e-03,7.066006026223163941e-03
2.999999999999999889e-01,1.510608865575031042e+09,0.000000000000000000e+00,2.561767024868186193e-02,-1.957788880400722614e-03,7.460337382361182691e-03
3.166666666666666519e-01,1.510608865591986895e+09,0.000000000000000000e+00,2.411074846934763150e-02,-2.227141259696943393e-03,7.825064169188693936e-03
3.333333333333333148e-01,1.510608865608302116e+09,0.000000000000000000e+00,2.712459202801608543e-02,-2.516988267433965549e-03,8.235190898531729795e-03
3.499999999999999778e-01,1.510608865625730038e+09,0.000000000000000000e+00,2.561767024868186193e-02,-2.827026301884722360e-03,8.615034964311681434e-03
