# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.510609316055455923e+09,0.000000000000000000e+00,4.972841871802949343e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.510609316055906057e+09,0.000000000000000000e+00,1.171875000000000000e-02,0.000000000000000000e+00,1.953124999999999837e-04
3.333333333333333287e-02,1.510609316065759897e+09,0.000000000000000000e+00,4.671457515936103949e-02,7.293372196643528105e-08,9.738899682180499236e-04
5.000000000000000278e-02,1.510609316081737041e+09,0.000000000000000000e+00,4.822149693869526299e-02,4.408715953815983669e-07,1.777588931722894018e-03
6.666666666666666574e-02,1.510609316097292900e+09,0.000000000000000000e+00,4.671457515936103949e-02,1.115799682514089585e-06,2.556183781040286332e-03
8.333333333333332871e-02,1.510609316114474058e+09,0.000000000000000000e+00,4.822149693869526299e-02,1.815194416513972679e-06,3.359905649925482626e-03
1.000000000000000056e-01,1.510609316132091999e+09,0.000000000000000000e+00,4.822149693869526299e-02,1.960236004500244998e-06,4.163629936170478232e-03
1.166666666666666685e-01,1.510609316149547100e+09,0.000000000000000000e+00,4.671457515936103949e-02,6.901533591993885693e-07,4.942217691382482132e-03
1.333333333333333315e-01,1.510609316165710926e+09,0.000000000000000000e+00,4.671457515936103949e-02,-3.108112019039827511e-06,5.720742142171515027e-03
1.499999999999999944e-01,1.510609316182742119e+09,0.000000000000000000e+00,4.822149693869526299e-02,-1.075656335765464425e-05,6.524254481760475427e-03
1.666666666666666574e-01,1.510609316198883057e+09,0.000000000000000000e+00,4.822149693869526299e-02,-2.373151762974394567e-05,7.327550572111567705e-03
1.833333333333333204e-01,1.510609316215543985e+09,0.000000000000000000e+00,4.671457515936103949e-02,-4.360070869313118684e-05,8.105400146289366489e-03
2.000000000000000111e-01,1.510609316232273102e+09,0.000000000000000000e+00,4.822149693869526299e-02,-7.195562473115066620e-05,8.907892501522102213e-03
2.166666666666666741e-01,1.510609316248466015e+09,0.000000000000000000e+00,4.671457515936103949e-02,-1.103428755513085328e-04,9.684629706252265158e-03
2.333333333333333370e-01,1.510609316266192913e+09,0.000000000000000000e+00,4.520765338002681599e-02,-1.601984791270041170e-04,1.043542062126726240e-02
2.500000000000000000e-01,1.510609316283998013e+09,0.000000000000000000e+00,4.671457515936103949e-02,-2.227888401274377467e-04,1.121028372658782260e-02
2.666666666666666630e-01,1.510609316299513102e+09,0.000000000000000000e+00,4.520765338002681599e-02,-2.991618680487389994e-04,1.195875858512079025e-02
2.833333333333333259e-01,1.510609316315773964e+09,0.000000000000000000e+00,4.671457515936103949e-02,-3.901111619303948802e-04,1.273083298507796807e-02
2.999999999999999889e-01,1.510609316331433058e+09,0.000000000000000000e+00,4.671457515936103949e-02,-4.961554960881020982e-04,1.350113997946585098e-02
3.166666666666666519e-01,1.510609316348531008e+09,0.000000000000000000e+00,4.671457515936103949e-02,-6.175350099814330002e-04,1.426942398195551152e-02
3.333333333333333148e-01,1.510609316366142988e+09,0.000000000000000000e+00,4.671457515936103949e-02,-7.542245765228288877e-04,1.503542982500281552e-02
3.499999999999999778e-01,1.510609316383441925e+09,0.000000000000000000e+00,4.671457515936103949e-02,-9.059638442449404220e-04,1.579890668025474981e-02
3.666666666666666408e-01,1.510609316399144888e+09,0.000000000000000000e+00,4.520765338002681599e-02,-1.072302471066340036e-03,1.653449586207075828e-02
3.833333333333333037e-01,1.510609316417434931e+09,0.000000000000000000e+00,4.822149693869526299e-02,-1.252658143551169025e-03,1.731730984198982803e-02
4.000000000000000222e-01,1.510609316432945013e+09,0.000000000000000000e+00,4.822149693869526299e-02,-1.446384156829973481e-03,1.809689505502091664e-02
