# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.510609365660242081e+09,0.000000000000000000e+00,-2.411074846934763150e-02,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.510609365660749912e+09,3.970736386958076861e-06,-5.126953125000000000e-03,0.000000000000000000e+00,-8.544921874999998103e-05
3.333333333333333287e-02,1.510609365669651985e+09,1.582749839799627728e-05,-2.260382669001340800e-02,-7.293372196643528105e-08,-4.621808791455895215e-04
5.000000000000000278e-02,1.510609365686975956e+09,3.566801381332968272e-05,-2.411074846934763150e-02,-4.408715953815983669e-07,-8.640340348279730402e-04
6.666666666666666574e-02,1.510609365703171968e+09,6.383793325909563300e-05,-2.260382669001340800e-02,-1.115799682514089585e-06,-1.240783076322905104e-03
8.333333333333332871e-02,1.510609365721055984e+09,1.009276648656752827e-04,-2.260382669001340800e-02,-1.815194416513972679e-06,-1.617543774396736989e-03
1.000000000000000056e-01,1.510609365736733913e+09,1.477548607947966027e-04,-2.260382669001340800e-02,-1.960236004500244998e-06,-1.994306889830368620e-03
1.166666666666666685e-01,1.510609365753761053e+09,2.053327132441804242e-04,-2.411074846934763150e-02,-6.901533591993885693e-07,-2.396164200208815778e-03
1.333333333333333315e-01,1.510609365769686937e+09,2.748250470061263393e-04,-2.411074846934763150e-02,3.108112019039827511e-06,-2.797958206164292364e-03
1.499999999999999944e-01,1.510609365785918951e+09,3.574900218526588097e-04,-2.260382669001340800e-02,1.075656335765464425e-05,-3.174509374941888139e-03
1.666666666666666574e-01,1.510609365802072048e+09,4.546150347942686594e-04,-2.109690491067917756e-02,2.373151762974394567e-05,-3.525728931492712066e-03
1.833333333333333204e-01,1.510609365819226027e+09,5.674460938933620401e-04,-2.260382669001340800e-02,4.360070869313118684e-05,-3.901732697848049949e-03
2.000000000000000111e-01,1.510609365836163044e+09,6.971154789650542459e-04,-2.411074846934763150e-02,7.195562473115066620e-05,-4.302379245258324339e-03
2.166666666666666741e-01,1.510609365853713989e+09,8.445718725802721588e-04,-2.109690491067917756e-02,1.103428755513085328e-04,-4.652155279177122224e-03
2.333333333333333370e-01,1.510609365870613098e+09,1.010517307159176838e-03,-2.411074846934763150e-02,1.601984791270041170e-04,-5.051331112347465582e-03
2.500000000000000000e-01,1.510609365888238907e+09,1.195355209800165464e-03,-2.260382669001340800e-02,2.227888401274377467e-04,-5.424348409845565315e-03
2.666666666666666630e-01,1.510609365905878067e+09,1.399153525836916313e-03,-2.109690491067917756e-02,2.991618680487389994e-04,-5.770977460556072497e-03
2.833333333333333259e-01,1.510609365924127102e+09,1.621626366755197319e-03,-2.260382669001340800e-02,3.901111619303948802e-04,-6.141206052690788980e-03
2.999999999999999889e-01,1.510609365940120935e+09,1.862136872056287772e-03,-2.260382669001340800e-02,4.961554960881020982e-04,-6.509667239256210561e-03
3.166666666666666519e-01,1.510609365957462072e+09,2.119723023997897859e-03,-2.109690491067917756e-02,6.175350099814330002e-04,-6.850990070934506043e-03
3.333333333333333148e-01,1.510609365973942995e+09,2.393147046218624396e-03,-2.260382669001340800e-02,7.542245765228288877e-04,-7.215150106159348709e-03
3.499999999999999778e-01,1.510609365992472887e+09,2.680967799299906456e-03,-2.109690491067917756e-02,9.059638442449404220e-04,-7.551665790599919673e-03
3.666666666666666408e-01,1.510609366008990049e+09,2.981634313571145112e-03,-2.260382669001340800e-02,1.072302471066340036e-03,-7.910524527582370527e-03
3.833333333333333037e-01,1.510609366026211977e+09,3.293597332761808664e-03,-2.260382669001340800e-02,1.252658143551169025e-03,-8.266377336690075225e-03
4.000000000000000222e-01,1.510609366043832064e+09,3.615434545162188231e-03,-2.260382669001340800e-02,1.446384156829973481e-03,-8.619001378909798769e-03
4.166666666666666852e-01,1.510609366060975075e+09,3.945984115365490201e-03,-2.109690491067917756e-02,1.652842664019873878e-03,-8.943069083020787832e-03
4.333333333333333481e-01,1.510609366077137947e+09,4.284480259804721372e-03,-2.260382669001340800e-02,1.871479230805618435e-03,-9.288608207340917286e-03
4.500000000000000111e-01,1.510609366095099926e+09,4.630683987261771488e-03,-2.260382669001340800e-02,2.101894082775593656e-03,-9.630307084128214221e-03
