# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.510609415090714931e+09,-0.000000000000000000e+00,2.561767024868186193e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.510609415091217041e+09,-3.970736386958076861e-06,6.591796875000000000e-03,0.000000000000000000e+00,1.098632812500000027e-04
3.333333333333333287e-02,1.510609415102900982e+09,-1.582749839799627728e-05,2.561767024868186193e-02,7.293372196643528105e-08,5.368256676233972100e-04
5.000000000000000278e-02,1.510609415120270014e+09,-3.566801381332968272e-05,2.411074846934763150e-02,4.408715953815983669e-07,9.386788233057807287e-04
6.666666666666666574e-02,1.510609415137522936e+09,-6.383793325909563300e-05,2.561767024868186193e-02,1.115799682514089585e-06,1.365658590778520351e-03
8.333333333333332871e-02,1.510609415154880047e+09,-1.009276648656752827e-04,2.561767024868186193e-02,1.815194416513972679e-06,1.792650014830159903e-03
1.000000000000000056e-01,1.510609415172540903e+09,-1.477548607947966027e-04,2.712459202801608543e-02,1.960236004500244998e-06,2.244759219230502926e-03
1.166666666666666685e-01,1.510609415189656019e+09,-2.053327132441804242e-04,2.712459202801608543e-02,6.901533591993885693e-07,2.696847255586757534e-03
1.333333333333333315e-01,1.510609415205316067e+09,-2.748250470061263393e-04,2.561767024868186193e-02,-3.108112019039827511e-06,3.123756624531137845e-03
1.499999999999999944e-01,1.510609415222563028e+09,-3.574900218526588097e-04,2.411074846934763150e-02,-1.075656335765464425e-05,3.525423156297637344e-03
1.666666666666666574e-01,1.510609415238990068e+09,-4.546150347942686594e-04,2.411074846934763150e-02,-2.373151762974394567e-05,3.926873438826268721e-03
1.833333333333333204e-01,1.510609415256514072e+09,-5.674460938933620401e-04,2.712459202801608543e-02,-4.360070869313118684e-05,4.378223294148318213e-03
2.000000000000000111e-01,1.510609415273211002e+09,-6.971154789650542459e-04,2.411074846934763150e-02,-7.195562473115066620e-05,4.778869841558592603e-03
2.166666666666666741e-01,1.510609415291589022e+09,-8.445718725802721588e-04,2.561767024868186193e-02,-1.103428755513085328e-04,5.203991964444101663e-03
2.333333333333333370e-01,1.510609415308747053e+09,-1.010517307159176838e-03,2.561767024868186193e-02,-1.601984791270041170e-04,5.628283160603349614e-03
2.500000000000000000e-01,1.510609415324809074e+09,-1.195355209800165464e-03,2.561767024868186193e-02,-2.227888401274377467e-04,6.051531184079256796e-03
2.666666666666666630e-01,1.510609415341226101e+09,-1.399153525836916313e-03,2.411074846934763150e-02,-2.991618680487389994e-04,6.448390960767571428e-03
2.833333333333333259e-01,1.510609415358572006e+09,-1.621626366755197319e-03,2.712459202801608543e-02,-3.901111619303948802e-04,6.893965641868999954e-03
2.999999999999999889e-01,1.510609415374804974e+09,-1.862136872056287772e-03,2.561767024868186193e-02,-4.961554960881020982e-04,7.312657554412228984e-03
3.166666666666666519e-01,1.510609415391846895e+09,-2.119723023997897859e-03,2.561767024868186193e-02,-6.175350099814330002e-04,7.729326475057236509e-03
3.333333333333333148e-01,1.510609415408663034e+09,-2.393147046218624396e-03,2.712459202801608543e-02,-7.542245765228288877e-04,8.168832599248790349e-03
3.499999999999999778e-01,1.510609415425791025e+09,-2.680967799299906456e-03,2.712459202801608543e-02,-9.059638442449404220e-04,8.605809735644976213e-03
3.666666666666666408e-01,1.510609415442873955e+09,-2.981634313571145112e-03,2.561767024868186193e-02,-1.072302471066340036e-03,9.014899198605234518e-03
3.833333333333333037e-01,1.510609415459086895e+09,-3.293597332761808664e-03,2.561767024868186193e-02,-1.252658143551169025e-03,9.420982733690746666e-03
4.000000000000000222e-01,1.510609415475733995e+09,-3.615434545162188231e-03,2.561767024868186193e-02,-1.446384156829973481e-03,9.823837501888277660e-03
4.166666666666666852e-01,1.510609415493197918e+09,-3.945984115365490201e-03,2.561767024868186193e-02,-1.652842664019873878e-03,1.022325129496597790e-02
4.333333333333333481e-01,1.510609415508749962e+09,-4.284480259804721372e-03,2.712459202801608543e-02,-1.871479230805618435e-03,1.064413650825281853e-02
