# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.510609565312120914e+09,0.000000000000000000e+00,3.013843558668454284e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.510609565312549114e+09,5.992457454458131159e-06,7.324218750000000000e-03,0.000000000000000000e+00,1.220703125000000000e-04
3.333333333333333287e-02,1.510609565321119070e+09,2.446712544987795156e-05,3.164535736601876981e-02,0.000000000000000000e+00,6.494929352669795257e-04
5.000000000000000278e-02,1.510609565338232040e+09,5.616785392237462325e-05,3.013843558668454284e-02,0.000000000000000000e+00,1.151800195045055326e-03
6.666666666666666574e-02,1.510609565355032921e+09,1.017796591012786031e-04,3.164535736601876981e-02,0.000000000000000000e+00,1.679222817812034852e-03
8.333333333333332871e-02,1.510609565372704983e+09,1.618582727828156713e-04,3.164535736601876981e-02,0.000000000000000000e+00,2.206645440579014378e-03
1.000000000000000056e-01,1.510609565388448954e+09,2.367627327617082521e-04,3.164535736601876981e-02,0.000000000000000000e+00,2.734068063345993903e-03
1.166666666666666685e-01,1.510609565404829979e+09,3.265949379447522860e-04,3.164535736601876981e-02,0.000000000000000000e+00,3.261490686112973429e-03
1.333333333333333315e-01,1.510609565421371937e+09,4.311496960035318552e-04,3.013843558668454284e-02,0.000000000000000000e+00,3.763797945891049230e-03
1.499999999999999944e-01,1.510609565438225031e+09,5.498782052378207259e-04,3.013843558668454284e-02,0.000000000000000000e+00,4.266105205669125031e-03
1.666666666666666574e-01,1.510609565455262899e+09,6.818671682789404333e-04,3.013843558668454284e-02,0.000000000000000000e+00,4.768412465447200398e-03
1.833333333333333204e-01,1.510609565471668005e+09,8.258348741979673873e-04,3.164535736601876981e-02,0.000000000000000000e+00,5.295835088214179490e-03
2.000000000000000111e-01,1.510609565487520933e+09,9.801446543823539269e-04,3.164535736601876981e-02,0.000000000000000000e+00,5.823257710981159449e-03
2.166666666666666741e-01,1.510609565504815102e+09,1.142835166715496474e-03,2.863151380735031587e-02,0.000000000000000000e+00,6.300449607770331091e-03
2.333333333333333370e-01,1.510609565521126986e+09,1.311666043658338840e-03,3.164535736601876981e-02,0.000000000000000000e+00,6.827872230537310183e-03
2.500000000000000000e-01,1.510609565538218975e+09,1.484176602656358005e-03,2.863151380735031587e-02,0.000000000000000000e+00,7.305064127326481825e-03
2.666666666666666630e-01,1.510609565554066896e+09,1.657754607499157531e-03,3.013843558668454284e-02,0.000000000000000000e+00,7.807371387104557192e-03
2.833333333333333259e-01,1.510609565570771933e+09,1.829711525831950172e-03,3.164535736601876981e-02,0.000000000000000000e+00,8.334794009871537152e-03
2.999999999999999889e-01,1.510609565588131905e+09,1.997360381255800475e-03,3.013843558668454284e-02,0.000000000000000000e+00,8.837101269649613386e-03
3.166666666666666519e-01,1.510609565606041908e+09,2.158092168332293760e-03,3.164535736601876981e-02,0.000000000000000000e+00,9.364523892416593345e-03
