# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.510609768814513922e+09,-0.000000000000000000e+00,1.356229601400804272e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.510609768815011978e+09,-5.992457454458131159e-06,3.295898437500000000e-03,0.000000000000000000e+00,5.493164062500000136e-05
3.333333333333333287e-02,1.510609768824652910e+09,-2.446712544987795156e-05,1.356229601400804272e-02,0.000000000000000000e+00,2.809699075251340344e-04
5.000000000000000278e-02,1.510609768841212988e+09,-5.616785392237462325e-05,1.054845245533958878e-02,0.000000000000000000e+00,4.567774484474604888e-04
6.666666666666666574e-02,1.510609768857696056e+09,-1.017796591012786031e-04,1.356229601400804272e-02,0.000000000000000000e+00,6.828157153475945557e-04
8.333333333333332871e-02,1.510609768874484062e+09,-1.618582727828156713e-04,1.506921779334227142e-02,0.000000000000000000e+00,9.339693452366324561e-04
1.000000000000000056e-01,1.510609768890460968e+09,-2.367627327617082521e-04,1.356229601400804272e-02,0.000000000000000000e+00,1.160007612136766415e-03
1.166666666666666685e-01,1.510609768908116102e+09,-3.265949379447522860e-04,1.356229601400804272e-02,0.000000000000000000e+00,1.386045879036900373e-03
1.333333333333333315e-01,1.510609768925533056e+09,-4.311496960035318552e-04,1.356229601400804272e-02,0.000000000000000000e+00,1.612084145937034332e-03
1.499999999999999944e-01,1.510609768943082094e+09,-5.498782052378207259e-04,1.356229601400804272e-02,0.000000000000000000e+00,1.838122412837168290e-03
1.666666666666666574e-01,1.510609768958889961e+09,-6.818671682789404333e-04,1.205537423467381575e-02,0.000000000000000000e+00,2.039045316748398524e-03
1.833333333333333204e-01,1.510609768975616932e+09,-8.258348741979673873e-04,1.356229601400804272e-02,0.000000000000000000e+00,2.265083583648532482e-03
2.000000000000000111e-01,1.510609768991381884e+09,-9.801446543823539269e-04,1.356229601400804272e-02,0.000000000000000000e+00,2.491121850548666441e-03
2.166666666666666741e-01,1.510609769007338047e+09,-1.142835166715496474e-03,1.205537423467381575e-02,0.000000000000000000e+00,2.692044754459896674e-03
2.333333333333333370e-01,1.510609769022968054e+09,-1.311666043658338840e-03,1.205537423467381575e-02,0.000000000000000000e+00,2.892967658371126908e-03
2.500000000000000000e-01,1.510609769040882111e+09,-1.484176602656358005e-03,1.205537423467381575e-02,0.000000000000000000e+00,3.093890562282357141e-03
2.666666666666666630e-01,1.510609769057157993e+09,-1.657754607499157531e-03,1.356229601400804272e-02,0.000000000000000000e+00,3.319928829182491100e-03
2.833333333333333259e-01,1.510609769074333906e+09,-1.829711525831950172e-03,1.356229601400804272e-02,0.000000000000000000e+00,3.545967096082625059e-03
2.999999999999999889e-01,1.510609769091726065e+09,-1.997360381255800475e-03,1.356229601400804272e-02,0.000000000000000000e+00,3.772005362982759017e-03
3.166666666666666519e-01,1.510609769108316898e+09,-2.158092168332293760e-03,1.356229601400804272e-02,0.000000000000000000e+00,3.998043629882892976e-03
3.333333333333333148e-01,1.510609769124533892e+09,-2.309446893865158695e-03,1.506921779334227142e-02,0.000000000000000000e+00,4.249197259771931093e-03
3.499999999999999778e-01,1.510609769141037941e+09,-2.449175624620724551e-03,1.205537423467381575e-02,0.000000000000000000e+00,4.450120163683161760e-03
3.666666666666666408e-01,1.510609769157867908e+09,-2.575290444802698191e-03,1.054845245533958878e-02,0.000000000000000000e+00,4.625927704605487835e-03
3.833333333333333037e-01,1.510609769175976992e+09,-2.686099929491883587e-03,1.356229601400804272e-02,0.000000000000000000e+00,4.851965971505622227e-03
4.000000000000000222e-01,1.510609769191771030e+09,-2.780228586268896317e-03,1.205537423467381575e-02,0.000000000000000000e+00,5.052888875416852894e-03
