# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.510609975021341085e+09,-0.000000000000000000e+00,-4.972841871802949343e-02,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.510609975021867037e+09,-3.970736386958076861e-06,-1.135253906250000000e-02,0.000000000000000000e+00,-1.892089843750000054e-04
3.333333333333333287e-02,1.510609975029848099e+09,-1.582749839799627728e-05,-4.822149693869526299e-02,-7.293372196643528105e-08,-9.929018155819537787e-04
5.000000000000000278e-02,1.510609975045854092e+09,-3.566801381332968272e-05,-4.671457515936103949e-02,-4.408715953815983669e-07,-1.771485416097894148e-03
6.666666666666666574e-02,1.510609975063515902e+09,-6.383793325909563300e-05,-4.671457515936103949e-02,-1.115799682514089585e-06,-2.550080265415286679e-03
8.333333333333332871e-02,1.510609975080238104e+09,-1.009276648656752827e-04,-4.520765338002681599e-02,-1.815194416513972679e-06,-3.303571408322675523e-03
1.000000000000000056e-01,1.510609975096628904e+09,-1.477548607947966027e-04,-4.671457515936103949e-02,-1.960236004500244998e-06,-4.082180331578767404e-03
1.166666666666666685e-01,1.510609975113473892e+09,-2.053327132441804242e-04,-4.520765338002681599e-02,-6.901533591993885693e-07,-4.835652723801867579e-03
1.333333333333333315e-01,1.510609975128582954e+09,-2.748250470061263393e-04,-4.520765338002681599e-02,3.108112019039827511e-06,-5.589061811601996749e-03
1.499999999999999944e-01,1.510609975145926952e+09,-3.574900218526588097e-04,-4.520765338002681599e-02,1.075656335765464425e-05,-6.342343425213149699e-03
1.666666666666666574e-01,1.510609975162400007e+09,-4.546150347942686594e-04,-4.671457515936103949e-02,2.373151762974394567e-05,-7.120524152575338252e-03
1.833333333333333204e-01,1.510609975179330111e+09,-5.674460938933620401e-04,-4.671457515936103949e-02,4.360070869313118684e-05,-7.898373726753137036e-03
2.000000000000000111e-01,1.510609975194511890e+09,-6.971154789650542459e-04,-4.520765338002681599e-02,7.195562473115066620e-05,-8.650635356008065310e-03
2.166666666666666741e-01,1.510609975210963964e+09,-8.445718725802721588e-04,-4.520765338002681599e-02,1.103428755513085328e-04,-9.402257197749324530e-03
2.333333333333333370e-01,1.510609975227902889e+09,-1.010517307159176838e-03,-4.520765338002681599e-02,1.601984791270041170e-04,-1.015304811276432177e-02
2.500000000000000000e-01,1.510609975246484041e+09,-1.195355209800165464e-03,-4.520765338002681599e-02,2.227888401274377467e-04,-1.090279585509597825e-02
2.666666666666666630e-01,1.510609975263202906e+09,-1.399153525836916313e-03,-4.520765338002681599e-02,2.991618680487389994e-04,-1.165127071362894590e-02
2.833333333333333259e-01,1.510609975281075001e+09,-1.621626366755197319e-03,-4.671457515936103949e-02,3.901111619303948802e-04,-1.242334511358612371e-02
2.999999999999999889e-01,1.510609975298914909e+09,-1.862136872056287772e-03,-4.520765338002681599e-02,4.961554960881020982e-04,-1.316853674498510290e-02
3.166666666666666519e-01,1.510609975316508055e+09,-2.119723023997897859e-03,-4.520765338002681599e-02,6.175350099814330002e-04,-1.391170538448585972e-02
3.333333333333333148e-01,1.510609975334146023e+09,-2.393147046218624396e-03,-4.520765338002681599e-02,7.542245765228288877e-04,-1.465259586454426000e-02
3.499999999999999778e-01,1.510609975350662947e+09,-2.680967799299906456e-03,-4.671457515936103949e-02,9.059638442449404220e-04,-1.541607271979619428e-02
3.666666666666666408e-01,1.510609975368251085e+09,-2.981634313571145112e-03,-4.671457515936103949e-02,1.072302471066340036e-03,-1.617677726460110474e-02
3.833333333333333037e-01,1.510609975385224104e+09,-3.293597332761808664e-03,-4.520765338002681599e-02,1.252658143551169025e-03,-1.690936051854236705e-02
4.000000000000000222e-01,1.510609975401880980e+09,-3.615434545162188231e-03,-4.671457515936103949e-02,1.446384156829973481e-03,-1.766383036858455019e-02
4.166666666666666852e-01,1.510609975418849945e+09,-3.945984115365490201e-03,-4.520765338002681599e-02,1.652842664019873878e-03,-1.838974388051799885e-02
4.333333333333333481e-01,1.510609975436479092e+09,-4.284480259804721372e-03,-4.671457515936103949e-02,1.871479230805618435e-03,-1.913712881266058791e-02
4.500000000000000111e-01,1.510609975453389883e+09,-4.630683987261771488e-03,-4.520765338002681599e-02,2.101894082775593656e-03,-1.985555813428144245e-02
4.666666666666666741e-01,1.510609975469990969e+09,-4.985001796241327401e-03,-4.520765338002681599e-02,2.343905431421096624e-03,-2.056995393342487058e-02
4.833333333333333370e-01,1.510609975487524986e+09,-5.348585117771387579e-03,-4.520765338002681599e-02,2.597600518589236046e-03,-2.128012148111549720e-02
5.000000000000000000e-01,1.510609975504514933e+09,-5.723403634190217006e-03,-4.520765338002681599e-02,2.863370524886385288e-03,-2.198585952870116961e-02
5.166666666666666075e-01,1.510609975522346973e+09,-6.112286295820863226e-03,-4.520765338002681599e-02,3.141926228169150855e-03,-2.268695498123212903e-02
5.333333333333333259e-01,1.510609975538445950e+09,-6.518924885902640035e-03,-4.520765338002681599e-02,3.434292244215108019e-03,-2.338317766682898938e-02
5.500000000000000444e-01,1.510609975555725098e+09,-6.947836321150926801e-03,-4.520765338002681599e-02,3.741778791661510076e-03,-2.407427557663507911e-02
5.666666666666666519e-01,1.510609975571742058e+09,-7.404281476493626210e-03,-4.822149693869526299e-02,4.065931146076728897e-03,-2.481020167317872158e-02
5.833333333333333703e-01,1.510609975588435888e+09,-7.894140129124239957e-03,-4.520765338002681599e-02,4.408458224561990178e-03,-2.549018825910313521e-02
5.999999999999999778e-01,1.510609975605148077e+09,-8.423743557937218157e-03,-4.520765338002681599e-02,4.771143008446763513e-03,-2.616413009862946989e-02
6.166666666666666963e-01,1.510609975624039888e+09,-8.999668328996535474e-03,-4.520765338002681599e-02,5.155738701226398116e-03,-2.683166200994280964e-02
6.333333333333333037e-01,1.510609975641658068e+09,-9.628496758932823113e-03,-4.671457515936103949e-02,5.563855566790051020e-03,-2.751750733648565886e-02
6.500000000000000222e-01,1.510609975657833099e+09,-1.031655138642174029e-02,-4.370073160069258555e-02,5.996844238464671059e-03,-2.814590545918945613e-02
