# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.510610030411186934e+09,0.000000000000000000e+00,1.506921779334226968e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.510610030411952019e+09,3.970736386958076861e-06,3.662109375000000000e-04,0.000000000000000000e+00,6.103515624999999492e-06
3.333333333333333287e-02,1.510610030417681932e+09,1.582749839799627728e-05,1.506921779334226968e-03,7.293372196643528105e-08,3.122009417593655590e-05
5.000000000000000278e-02,1.510610030434633017e+09,3.566801381332968272e-05,1.506921779334226968e-03,4.408715953815983669e-07,5.634280502476335958e-05
6.666666666666666574e-02,1.510610030451148033e+09,6.383793325909563300e-05,1.506921779334226968e-03,1.115799682514089585e-06,8.147676467504236567e-05
8.333333333333332871e-02,1.510610030468808889e+09,1.009276648656752827e-04,1.506921779334226968e-03,1.815194416513972679e-06,1.066223809042213824e-04
1.000000000000000056e-01,1.510610030486520052e+09,1.477548607947966027e-04,0.000000000000000000e+00,1.960236004500244998e-06,1.066550515042963802e-04
1.166666666666666685e-01,1.510610030503886938e+09,2.053327132441804242e-04,1.506921779334226968e-03,6.901533591993885693e-07,1.317819170491868095e-04
1.333333333333333315e-01,1.510610030520709038e+09,2.748250470061263393e-04,3.013843558668453937e-03,-3.108112019039827511e-06,1.819608411600103783e-04
1.499999999999999944e-01,1.510610030537681103e+09,3.574900218526588097e-04,1.506921779334226968e-03,-1.075656335765464425e-05,2.068969280929532442e-04
1.666666666666666574e-01,1.510610030555620909e+09,4.546150347942686594e-04,1.506921779334226968e-03,-2.373151762974394567e-05,2.316167657880279602e-04
1.833333333333333204e-01,1.510610030572431087e+09,5.674460938933620401e-04,1.506921779334226968e-03,-4.360070869313118684e-05,2.560054502987128811e-04
2.000000000000000111e-01,1.510610030589447021e+09,6.971154789650542459e-04,1.506921779334226968e-03,-7.195562473115066620e-05,2.799215528754307996e-04
2.166666666666666741e-01,1.510610030607620955e+09,8.445718725802721588e-04,1.506921779334226968e-03,-1.103428755513085328e-04,3.031978679384794467e-04
2.333333333333333370e-01,1.510610030623950958e+09,1.010517307159176838e-03,1.506921779334226968e-03,-1.601984791270041170e-04,3.256432562752664965e-04
2.500000000000000000e-01,1.510610030640885115e+09,1.195355209800165464e-03,1.506921779334226968e-03,-2.227888401274377467e-04,3.470454719287129953e-04
2.666666666666666630e-01,1.510610030657926083e+09,1.399153525836916313e-03,1.506921779334226968e-03,-2.991618680487389994e-04,3.671748037834711019e-04
2.833333333333333259e-01,1.510610030676209927e+09,1.621626366755197319e-03,1.506921779334226968e-03,-3.901111619303948802e-04,3.857883140735349475e-04
2.999999999999999889e-01,1.510610030691328049e+09,1.862136872056287772e-03,3.013843558668453937e-03,-4.961554960881020982e-04,4.277497817832074528e-04
3.166666666666666519e-01,1.510610030708034039e+09,2.119723023997897859e-03,3.013843558668453937e-03,-6.175350099814330002e-04,4.676882575946578018e-04
3.333333333333333148e-01,1.510610030725249052e+09,2.393147046218624396e-03,0.000000000000000000e+00,-7.542245765228288877e-04,4.551178479859439960e-04
3.499999999999999778e-01,1.510610030742826939e+09,2.680967799299906456e-03,0.000000000000000000e+00,-9.059638442449404220e-04,4.400184505818616719e-04
3.666666666666666408e-01,1.510610030758867979e+09,2.981634313571145112e-03,1.506921779334226968e-03,-1.072302471066340036e-03,4.472621057196597802e-04
3.833333333333333037e-01,1.510610030776515007e+09,3.293597332761808664e-03,1.506921779334226968e-03,-1.252658143551169025e-03,4.514998329827107568e-04
4.000000000000000222e-01,1.510610030792259932e+09,3.615434545162188231e-03,0.000000000000000000e+00,-1.446384156829973481e-03,4.273934303688778835e-04
4.166666666666666852e-01,1.510610030809312105e+09,3.945984115365490201e-03,1.506921779334226968e-03,-1.652842664019873878e-03,4.249614156241171125e-04
4.333333333333333481e-01,1.510610030826143980e+09,4.284480259804721372e-03,1.506921779334226968e-03,-1.871479230805618435e-03,4.188854580995939286e-04
4.500000000000000111e-01,1.510610030843235016e+09,4.630683987261771488e-03,0.000000000000000000e+00,-2.101894082775593656e-03,3.838538900533340669e-04
4.666666666666666741e-01,1.510610030859546900e+09,4.985001796241327401e-03,0.000000000000000000e+00,-2.343905431421096624e-03,3.447887995296491448e-04
4.833333333333333370e-01,1.510610030876836061e+09,5.348585117771387579e-03,1.506921779334226968e-03,-2.597600518589236046e-03,3.266108205420656819e-04
5.000000000000000000e-01,1.510610030893121958e+09,5.723403634190217006e-03,1.506921779334226968e-03,-2.863370524886385288e-03,3.040033414495297388e-04
5.166666666666666075e-01,1.510610030911932945e+09,6.112286295820863226e-03,0.000000000000000000e+00,-3.141926228169150855e-03,2.516379043133771956e-04
5.333333333333333259e-01,1.510610030927952051e+09,6.518924885902640035e-03,1.506921779334226968e-03,-3.434292244215108019e-03,2.195150632320291926e-04
5.500000000000000444e-01,1.510610030945642948e+09,6.947836321150926801e-03,0.000000000000000000e+00,-3.741778791661510076e-03,1.571520833710040319e-04
5.666666666666666519e-01,1.510610030961647034e+09,7.404281476493626210e-03,1.506921779334226968e-03,-4.065931146076728897e-03,1.145019272586290043e-04
5.833333333333333703e-01,1.510610030980058908e+09,7.894140129124239957e-03,1.506921779334226968e-03,-4.408458224561990178e-03,6.614298650483294625e-05
5.999999999999999778e-01,1.510610030997042894e+09,8.423743557937218157e-03,0.000000000000000000e+00,-4.771143008446763513e-03,-1.337606363594644925e-05
6.166666666666666963e-01,1.510610031013590097e+09,8.999668328996535474e-03,1.506921779334226968e-03,-5.155738701226398116e-03,-7.418967900081595843e-05
6.333333333333333037e-01,1.510610031030081034e+09,9.628496758932823113e-03,1.506921779334226968e-03,-5.563855566790051020e-03,-1.418052421250796990e-04
6.500000000000000222e-01,1.510610031047863960e+09,1.031655138642174029e-02,1.506921779334226968e-03,-5.996844238464671059e-03,-2.166372831105871041e-04
6.666666666666666297e-01,1.510610031063843966e+09,1.106961240881332471e-02,1.506921779334226968e-03,-6.455681879240175898e-03,-2.991166181090195754e-04
6.833333333333333481e-01,1.510610031080264091e+09,1.189262837352416356e-02,1.506921779334226968e-03,-6.940867864942654696e-03,-3.896823862024933528e-04
6.999999999999999556e-01,1.510610031096378088e+09,1.278943137819393144e-02,0.000000000000000000e+00,-7.452335625199752248e-03,-5.138879799558225244e-04
7.166666666666666741e-01,1.510610031112683058e+09,1.376246856899042761e-02,3.013843558668453937e-03,-7.989386896780855535e-03,-5.968137022576958627e-04
7.333333333333332815e-01,1.510610031129287004e+09,1.481256178811678550e-02,1.506921779334226968e-03,-8.550653921470812921e-03,-7.142092379599723024e-04
7.500000000000000000e-01,1.510610031147093058e+09,1.593870678359535567e-02,0.000000000000000000e+00,-9.134094074010635014e-03,-8.664441391934828715e-04
7.666666666666666075e-01,1.510610031163562059e+09,1.713792245149727347e-02,1.506921779334226968e-03,-9.737020069369540370e-03,-1.003612444027404769e-03
7.833333333333333259e-01,1.510610031181298971e+09,1.840515914937572439e-02,1.506921779334226968e-03,-1.035616732287986119e-02,-1.151099869753165368e-03
8.000000000000000444e-01,1.510610031196913958e+09,1.973327323798582458e-02,1.506921779334226968e-03,-1.098779828561769097e-02,-1.309114478191223058e-03
8.166666666666666519e-01,1.510610031215238094e+09,2.111307273567283871e-02,1.506921779334226968e-03,-1.162784172629816037e-02,-1.477796477307288716e-03
8.333333333333333703e-01,1.510610031232903957e+09,2.253343638453551151e-02,1.506921779334226968e-03,-1.227206306363172288e-02,-1.657215498712246923e-03
