# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.510610081640877962e+09,-0.000000000000000000e+00,-6.479763651137177005e-02,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.510610081641413927e+09,-3.970736386958076861e-06,-1.574707031250000000e-02,0.000000000000000000e+00,-2.624511718749999892e-04
3.333333333333333287e-02,1.510610081647689104e+09,-1.582749839799627728e-05,-6.479763651137177005e-02,-7.293372196643528105e-08,-1.342412995959895577e-03
5.000000000000000278e-02,1.510610081664808035e+09,-3.566801381332968272e-05,-6.479763651137177005e-02,-4.408715953815983669e-07,-2.422380952342681297e-03
6.666666666666666574e-02,1.510610081680912971e+09,-6.383793325909563300e-05,-6.479763651137177005e-02,-1.115799682514089585e-06,-3.502360157526918961e-03
8.333333333333332871e-02,1.510610081698738098e+09,-1.009276648656752827e-04,-6.479763651137177005e-02,-1.815194416513972679e-06,-4.582351019290056664e-03
1.000000000000000056e-01,1.510610081714730978e+09,-1.477548607947966027e-04,-6.479763651137177005e-02,-1.960236004500244998e-06,-5.662344298412994546e-03
1.166666666666666685e-01,1.510610081731983900e+09,-2.053327132441804242e-04,-6.630455829070598661e-02,-6.901533591993885693e-07,-6.767431772480746871e-03
1.333333333333333315e-01,1.510610081747591019e+09,-2.748250470061263393e-04,-6.479763651137177005e-02,3.108112019039827511e-06,-7.847340579136625333e-03
1.499999999999999944e-01,1.510610081765170097e+09,-3.574900218526588097e-04,-6.479763651137177005e-02,1.075656335765464425e-05,-8.927121911603526708e-03
1.666666666666666574e-01,1.510610081782337904e+09,-4.546150347942686594e-04,-6.630455829070598661e-02,2.373151762974394567e-05,-1.003180235782146455e-02
1.833333333333333204e-01,1.510610081799320936e+09,-5.674460938933620401e-04,-6.630455829070598661e-02,4.360070869313118684e-05,-1.113615165085501263e-02
2.000000000000000111e-01,1.510610081814448118e+09,-6.971154789650542459e-04,-6.479763651137177005e-02,7.195562473115066620e-05,-1.221491299896568933e-02
2.166666666666666741e-01,1.510610081831773996e+09,-8.445718725802721588e-04,-6.329071473203753961e-02,1.103428755513085328e-04,-1.326791919657379325e-02
2.333333333333333370e-01,1.510610081849469900e+09,-1.010517307159176838e-03,-6.479763651137177005e-02,1.601984791270041170e-04,-1.434520983044453891e-02
2.500000000000000000e-01,1.510610081866090059e+09,-1.195355209800165464e-03,-6.630455829070598661e-02,2.227888401274377467e-04,-1.544657265462084754e-02
2.666666666666666630e-01,1.510610081883605003e+09,-1.399153525836916313e-03,-6.630455829070598661e-02,2.991618680487389994e-04,-1.654666259499846734e-02
2.833333333333333259e-01,1.510610081901314974e+09,-1.621626366755197319e-03,-6.630455829070598661e-02,3.901111619303948802e-04,-1.764523671381139358e-02
2.999999999999999889e-01,1.510610081918010950e+09,-1.862136872056287772e-03,-6.630455829070598661e-02,4.961554960881020982e-04,-1.874204342705502319e-02
3.166666666666666519e-01,1.510610081936079979e+09,-2.119723023997897859e-03,-6.630455829070598661e-02,6.175350099814330002e-04,-1.983682714840043215e-02
3.333333333333333148e-01,1.510610081952357054e+09,-2.393147046218624396e-03,-6.479763651137177005e-02,7.542245765228288877e-04,-2.090421734731458259e-02
3.499999999999999778e-01,1.510610081969430923e+09,-2.680967799299906456e-03,-6.479763651137177005e-02,9.059638442449404220e-04,-2.196907855843336158e-02
3.666666666666666408e-01,1.510610081986428976e+09,-2.981634313571145112e-03,-6.630455829070598661e-02,1.072302471066340036e-03,-2.305628282209402219e-02
3.833333333333333037e-01,1.510610082003524065e+09,-3.293597332761808664e-03,-6.479763651137177005e-02,1.252658143551169025e-03,-2.411536579489103119e-02
4.000000000000000222e-01,1.510610082019901991e+09,-3.615434545162188231e-03,-6.630455829070598661e-02,1.446384156829973481e-03,-2.519633536378896449e-02
4.166666666666666852e-01,1.510610082035759926e+09,-3.945984115365490201e-03,-6.630455829070598661e-02,1.652842664019873878e-03,-2.627386395756706530e-02
4.333333333333333481e-01,1.510610082052927017e+09,-4.284480259804721372e-03,-6.781148007004021705e-02,1.871479230805618435e-03,-2.737286397155430998e-02
