# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.510610136061640024e+09,0.000000000000000000e+00,4.972841871802949343e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.510610136062994957e+09,3.970736386958076861e-06,1.171875000000000000e-02,0.000000000000000000e+00,1.953124999999999837e-04
3.333333333333333287e-02,1.510610136068937063e+09,1.582749839799627728e-05,5.123534049736372387e-02,7.293372196643528105e-08,1.049236057184761532e-03
5.000000000000000278e-02,1.510610136086340904e+09,3.566801381332968272e-05,5.123534049736372387e-02,4.408715953815983669e-07,1.903165746667413076e-03
6.666666666666666574e-02,1.510610136101768970e+09,6.383793325909563300e-05,4.972841871802949343e-02,1.115799682514089585e-06,2.731991321962613274e-03
8.333333333333332871e-02,1.510610136118149996e+09,1.009276648656752827e-04,4.972841871802949343e-02,1.815194416513972679e-06,3.560828553836713293e-03
1.000000000000000056e-01,1.510610136135762930e+09,1.477548607947966027e-04,4.972841871802949343e-02,1.960236004500244998e-06,4.389668203070613492e-03
1.166666666666666685e-01,1.510610136152280092e+09,2.053327132441804242e-04,4.972841871802949343e-02,6.901533591993885693e-07,5.218486684260424842e-03
1.333333333333333315e-01,1.510610136169246912e+09,2.748250470061263393e-04,4.972841871802949343e-02,-3.108112019039827511e-06,6.047241861027266054e-03
1.499999999999999944e-01,1.510610136186455965e+09,3.574900218526588097e-04,5.123534049736372387e-02,-1.075656335765464425e-05,6.900984926594033904e-03
1.666666666666666574e-01,1.510610136201333046e+09,4.546150347942686594e-04,5.123534049736372387e-02,-2.373151762974394567e-05,7.754511742922933631e-03
1.833333333333333204e-01,1.510610136218286037e+09,5.674460938933620401e-04,4.972841871802949343e-02,-4.360070869313118684e-05,8.582592043078538999e-03
2.000000000000000111e-01,1.510610136235038996e+09,6.971154789650542459e-04,4.972841871802949343e-02,-7.195562473115066620e-05,9.410199761300178448e-03
2.166666666666666741e-01,1.510610136253391981e+09,8.445718725802721588e-04,5.123534049736372387e-02,-1.103428755513085328e-04,1.026228305499705257e-02
2.333333333333333370e-01,1.510610136268337965e+09,1.010517307159176838e-03,5.123534049736372387e-02,-1.601984791270041170e-04,1.111353542196766471e-02
2.500000000000000000e-01,1.510610136285497904e+09,1.195355209800165464e-03,5.123534049736372387e-02,-2.227888401274377467e-04,1.196374461625493608e-02
2.666666666666666630e-01,1.510610136303131104e+09,1.399153525836916313e-03,5.123534049736372387e-02,-2.991618680487389994e-04,1.281268092674351863e-02
2.833333333333333259e-01,1.510610136320898056e+09,1.621626366755197319e-03,5.123534049736372387e-02,-3.901111619303948802e-04,1.366010141566740763e-02
2.999999999999999889e-01,1.510610136336757898e+09,1.862136872056287772e-03,5.123534049736372387e-02,-4.961554960881020982e-04,1.450575449902200172e-02
3.166666666666666519e-01,1.510610136352902889e+09,2.119723023997897859e-03,5.274226227669794737e-02,-6.175350099814330002e-04,1.537449995346727716e-02
3.333333333333333148e-01,1.510610136369645119e+09,2.393147046218624396e-03,5.123534049736372387e-02,-7.542245765228288877e-04,1.621585188548129233e-02
3.499999999999999778e-01,1.510610136386545897e+09,2.680967799299906456e-03,5.274226227669794737e-02,-9.059638442449404220e-04,1.707979019268884152e-02
3.666666666666666408e-01,1.510610136404403925e+09,2.981634313571145112e-03,5.123534049736372387e-02,-1.072302471066340036e-03,1.791584082646046489e-02
