# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.510610185964720011e+09,0.000000000000000000e+00,-6.781148007004021705e-02,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.510610185965245008e+09,3.970736386958076861e-06,-1.684570312500000000e-02,0.000000000000000000e+00,-2.807617187499999783e-04
3.333333333333333287e-02,1.510610185973406076e+09,1.582749839799627728e-05,-6.781148007004021705e-02,-7.293372196643528105e-08,-1.410954268812702854e-03
5.000000000000000278e-02,1.510610185989944935e+09,3.566801381332968272e-05,-6.931840184937444749e-02,-4.408715953815983669e-07,-2.566268314162199748e-03
6.666666666666666574e-02,1.510610186006036043e+09,6.383793325909563300e-05,-6.931840184937444749e-02,-1.115799682514089585e-06,-3.721593608313148588e-03
8.333333333333332871e-02,1.510610186022228956e+09,1.009276648656752827e-04,-6.931840184937444749e-02,-1.815194416513972679e-06,-4.876930559042997465e-03
1.000000000000000056e-01,1.510610186039563894e+09,1.477548607947966027e-04,-6.931840184937444749e-02,-1.960236004500244998e-06,-6.032269927132646523e-03
1.166666666666666685e-01,1.510610186056582928e+09,2.053327132441804242e-04,-6.931840184937444749e-02,-6.901533591993885693e-07,-7.187588127178207165e-03
1.333333333333333315e-01,1.510610186073126078e+09,2.748250470061263393e-04,-6.931840184937444749e-02,3.108112019039827511e-06,-8.342843022800796801e-03
1.499999999999999944e-01,1.510610186089749098e+09,3.574900218526588097e-04,-6.931840184937444749e-02,1.075656335765464425e-05,-9.497970444234409351e-03
1.666666666666666574e-01,1.510610186107059956e+09,4.546150347942686594e-04,-6.931840184937444749e-02,2.373151762974394567e-05,-1.065288161643015465e-02
1.833333333333333204e-01,1.510610186124161005e+09,5.674460938933620401e-04,-6.931840184937444749e-02,4.360070869313118684e-05,-1.180746163544151017e-02
2.000000000000000111e-01,1.510610186140340090e+09,6.971154789650542459e-04,-6.781148007004021705e-02,7.195562473115066620e-05,-1.293645370952999432e-02
2.166666666666666741e-01,1.510610186156182051e+09,8.445718725802721588e-04,-6.931840184937444749e-02,1.103428755513085328e-04,-1.408992135909371314e-02
2.333333333333333370e-01,1.510610186172363043e+09,1.010517307159176838e-03,-7.082532362870866405e-02,1.601984791270041170e-04,-1.526767344492007371e-02
2.500000000000000000e-01,1.510610186189517021e+09,1.195355209800165464e-03,-6.931840184937444749e-02,2.227888401274377467e-04,-1.641926699507419152e-02
2.666666666666666630e-01,1.510610186205796957e+09,1.399153525836916313e-03,-6.781148007004021705e-02,2.991618680487389994e-04,-1.754447229844071504e-02
2.833333333333333259e-01,1.510610186221654892e+09,1.621626366755197319e-03,-6.781148007004021705e-02,3.901111619303948802e-04,-1.866816178024254674e-02
2.999999999999999889e-01,1.510610186237349987e+09,1.862136872056287772e-03,-6.931840184937444749e-02,4.961554960881020982e-04,-1.981519921946398727e-02
3.166666666666666519e-01,1.510610186254558086e+09,2.119723023997897859e-03,-6.781148007004021705e-02,6.175350099814330002e-04,-2.093509830379830169e-02
3.333333333333333148e-01,1.510610186269488096e+09,2.393147046218624396e-03,-6.931840184937444749e-02,7.542245765228288877e-04,-2.207783459167916157e-02
3.499999999999999778e-01,1.510610186286389112e+09,2.680967799299906456e-03,-6.931840184937444749e-02,9.059638442449404220e-04,-2.321804189176465347e-02
3.666666666666666408e-01,1.510610186301232100e+09,2.981634313571145112e-03,-7.082532362870866405e-02,1.072302471066340036e-03,-2.438059224439202699e-02
3.833333333333333037e-01,1.510610186318492889e+09,3.293597332761808664e-03,-6.781148007004021705e-02,1.252658143551169025e-03,-2.548990594316684344e-02
4.000000000000000222e-01,1.510610186334238052e+09,3.615434545162188231e-03,-6.781148007004021705e-02,1.446384156829973481e-03,-2.659599087505368220e-02
4.166666666666666852e-01,1.510610186351818085e+09,3.945984115365490201e-03,-6.931840184937444749e-02,1.652842664019873878e-03,-2.772375019480959046e-02
4.333333333333333481e-01,1.510610186367432117e+09,4.284480259804721372e-03,-7.082532362870866405e-02,1.871479230805618435e-03,-2.887298093477464259e-02
4.500000000000000111e-01,1.510610186385077000e+09,4.630683987261771488e-03,-6.781148007004021705e-02,2.101894082775593656e-03,-2.996814070122905127e-02
4.666666666666666741e-01,1.510610186401428938e+09,4.985001796241327401e-03,-6.931840184937444749e-02,2.343905431421096624e-03,-3.108438230819493900e-02
4.833333333333333370e-01,1.510610186418406010e+09,5.348585117771387579e-03,-7.082532362870866405e-02,2.597600518589236046e-03,-3.222151102669693068e-02
5.000000000000000000e-01,1.510610186435107946e+09,5.723403634190217006e-03,-6.931840184937444749e-02,2.863370524886385288e-03,-3.332909488210506616e-02
5.166666666666666075e-01,1.510610186452560902e+09,6.112286295820863226e-03,-6.781148007004021705e-02,3.141926228169150855e-03,-3.440692077946958666e-02
5.333333333333333259e-01,1.510610186469465971e+09,6.518924885902640035e-03,-6.931840184937444749e-02,3.434292244215108019e-03,-3.550498927288890660e-02
5.500000000000000444e-01,1.510610186485683918e+09,6.947836321150926801e-03,-6.931840184937444749e-02,3.741778791661510076e-03,-3.659793299051745247e-02
5.666666666666666519e-01,1.510610186503047943e+09,7.404281476493626210e-03,-6.781148007004021705e-02,4.065931146076728897e-03,-3.766035880591684509e-02
5.833333333333333703e-01,1.510610186521483898e+09,7.894140129124239957e-03,-7.233224540804289449e-02,4.408458224561990178e-03,-3.879242192564152925e-02
5.999999999999999778e-01,1.510610186538224936e+09,8.423743557937218157e-03,-6.931840184937444749e-02,4.771143008446763513e-03,-3.986820957299032353e-02
6.166666666666666963e-01,1.510610186556597948e+09,8.999668328996535474e-03,-7.233224540804289449e-02,5.155738701226398116e-03,-4.098781801810393033e-02
6.333333333333333037e-01,1.510610186574098110e+09,9.628496758932823113e-03,-7.233224540804289449e-02,5.563855566790051020e-03,-4.210062451545814460e-02
6.500000000000000222e-01,1.510610186590830088e+09,1.031655138642174029e-02,-7.233224540804289449e-02,5.996844238464671059e-03,-4.320621453495111786e-02
6.666666666666666297e-01,1.510610186606724024e+09,1.106961240881332471e-02,-7.383916718737712492e-02,6.455681879240175898e-03,-4.432927262342006847e-02
6.833333333333333481e-01,1.510610186624367952e+09,1.189262837352416356e-02,-7.233224540804289449e-02,6.940867864942654696e-03,-4.541912891580507372e-02
6.999999999999999556e-01,1.510610186639524937e+09,1.278943137819393144e-02,-7.233224540804289449e-02,7.452335625199752248e-03,-4.650046074551912600e-02
7.166666666666666741e-01,1.510610186655987024e+09,1.376246856899042761e-02,-7.082532362870866405e-02,7.989386896780855535e-03,-4.754772635771792322e-02
7.333333333333332815e-01,1.510610186673820019e+09,1.481256178811678550e-02,-7.082532362870866405e-02,8.550653921470812921e-03,-4.858563751950521759e-02
7.500000000000000000e-01,1.510610186690974951e+09,1.593870678359535567e-02,-7.082532362870866405e-02,9.134094074010635014e-03,-4.961382467875018187e-02
7.666666666666666075e-01,1.510610186706787109e+09,1.713792245149727347e-02,-7.233224540804289449e-02,9.737020069369540370e-03,-5.065707843439473668e-02
7.833333333333333259e-01,1.510610186723921061e+09,1.840515914937572439e-02,-6.931840184937444749e-02,1.035616732287986119e-02,-5.163978234316964760e-02
8.000000000000000444e-01,1.510610186740616083e+09,1.973327323798582458e-02,-6.931840184937444749e-02,1.098779828561769097e-02,-5.261195906923225862e-02
8.166666666666666519e-01,1.510610186758461952e+09,2.111307273567283871e-02,-7.233224540804289449e-02,1.162784172629816037e-02,-5.362369913059467086e-02
8.333333333333333703e-01,1.510610186773493052e+09,2.253343638453551151e-02,-6.931840184937444749e-02,1.227206306363172288e-02,-5.457447144369038244e-02
8.499999999999999778e-01,1.510610186791018009e+09,2.398150562462567428e-02,-7.233224540804289449e-02,1.291626005802499685e-02,-5.556473786619067767e-02
8.666666666666666963e-01,1.510610186806904078e+09,2.544294606009573842e-02,-7.233224540804289449e-02,1.355647653793502772e-02,-5.654433401402580994e-02
8.833333333333333037e-01,1.510610186824505091e+09,2.690227209631947461e-02,-7.233224540804289449e-02,1.418922544995840709e-02,-5.751338434666054822e-02
9.000000000000000222e-01,1.510610186840964079e+09,2.834322565077966247e-02,-7.233224540804289449e-02,1.481171146120817059e-02,-5.847205991244112944e-02
9.166666666666666297e-01,1.510610186859416962e+09,2.974919731331938932e-02,-6.479763651137177005e-02,1.542204267461400914e-02,-5.929498647638709041e-02
9.333333333333333481e-01,1.510610186876072884e+09,3.110367616763247064e-02,-5.123534049736372387e-02,1.601942079437444072e-02,-5.988191847143690960e-02
9.499999999999999556e-01,1.510610186894315004e+09,3.239071278904926549e-02,-2.260382669001340800e-02,1.660429933377497932e-02,-5.998191059404088532e-02
