# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.510610235815378904e+09,-0.000000000000000000e+00,3.465920092468722374e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.510610235815888882e+09,-3.970736386958076861e-06,8.422851562500000000e-03,0.000000000000000000e+00,1.403808593749999892e-04
3.333333333333333287e-02,1.510610235824856043e+09,-1.582749839799627728e-05,3.315227914535299331e-02,7.293372196643528105e-08,6.929200606929158349e-04
5.000000000000000278e-02,1.510610235841850996e+09,-3.566801381332968272e-05,3.465920092468722374e-02,4.408715953815983669e-07,1.270580757297625971e-03
6.666666666666666574e-02,1.510610235857965946e+09,-6.383793325909563300e-05,3.315227914535299331e-02,1.115799682514089585e-06,1.823137339714884326e-03
8.333333333333332871e-02,1.510610235876235008e+09,-1.009276648656752827e-04,3.315227914535299331e-02,1.815194416513972679e-06,2.375705578711042720e-03
1.000000000000000056e-01,1.510610235893050909e+09,-1.477548607947966027e-04,3.465920092468722374e-02,1.960236004500244998e-06,2.953391598055904801e-03
1.166666666666666685e-01,1.510610235910778999e+09,-2.053327132441804242e-04,3.616612270402144724e-02,6.901533591993885693e-07,3.556171812345582193e-03
1.333333333333333315e-01,1.510610235928409100e+09,-2.748250470061263393e-04,3.465920092468722374e-02,-3.108112019039827511e-06,4.133773359223384854e-03
1.499999999999999944e-01,1.510610235945466995e+09,-3.574900218526588097e-04,3.465920092468722374e-02,-1.075656335765464425e-05,4.711247431912210862e-03
1.666666666666666574e-01,1.510610235961414099e+09,-4.546150347942686594e-04,3.465920092468722374e-02,-2.373151762974394567e-05,5.288505255363168747e-03
1.833333333333333204e-01,1.510610235978565931e+09,-5.674460938933620401e-04,3.465920092468722374e-02,-4.360070869313118684e-05,5.865431925629736865e-03
2.000000000000000111e-01,1.510610235995635986e+09,-6.971154789650542459e-04,3.616612270402144724e-02,-7.195562473115066620e-05,6.467001376951241921e-03
2.166666666666666741e-01,1.510610236011173010e+09,-8.445718725802721588e-04,3.315227914535299331e-02,-1.103428755513085328e-04,7.017700314781269606e-03
2.333333333333333370e-01,1.510610236027458906e+09,-1.010517307159176838e-03,3.465920092468722374e-02,-1.601984791270041170e-04,7.592683688873939907e-03
2.500000000000000000e-01,1.510610236044898987e+09,-1.195355209800165464e-03,3.465920092468722374e-02,-2.227888401274377467e-04,8.166623890283270307e-03
2.666666666666666630e-01,1.510610236061388016e+09,-1.399153525836916313e-03,3.465920092468722374e-02,-2.991618680487389994e-04,8.739291207893911881e-03
2.833333333333333259e-01,1.510610236078680038e+09,-1.621626366755197319e-03,3.616612270402144724e-02,-3.901111619303948802e-04,9.335558066928761889e-03
2.999999999999999889e-01,1.510610236095813990e+09,-1.862136872056287772e-03,3.465920092468722374e-02,-4.961554960881020982e-04,9.904942157405413269e-03
3.166666666666666519e-01,1.510610236112754107e+09,-2.119723023997897859e-03,3.465920092468722374e-02,-6.175350099814330002e-04,1.047230325598384228e-02
3.333333333333333148e-01,1.510610236129241943e+09,-2.393147046218624396e-03,3.465920092468722374e-02,-7.542245765228288877e-04,1.103738619511991474e-02
3.499999999999999778e-01,1.510610236146652937e+09,-2.680967799299906456e-03,3.465920092468722374e-02,-9.059638442449404220e-04,1.159994014646061923e-02
3.666666666666666408e-01,1.510610236163460016e+09,-2.981634313571145112e-03,3.465920092468722374e-02,-1.072302471066340036e-03,1.215972178735429989e-02
3.833333333333333037e-01,1.510610236179677963e+09,-3.293597332761808664e-03,3.465920092468722374e-02,-1.252658143551169025e-03,1.271649750037323438e-02
4.000000000000000222e-01,1.510610236196579933e+09,-3.615434545162188231e-03,3.465920092468722374e-02,-1.446384156829973481e-03,1.327004444650418773e-02
4.166666666666666852e-01,1.510610236213725090e+09,-3.945984115365490201e-03,3.465920092468722374e-02,-1.652842664019873878e-03,1.382015041751531031e-02
4.333333333333333481e-01,1.510610236231197119e+09,-4.284480259804721372e-03,3.616612270402144724e-02,-1.871479230805618435e-03,1.439172780873557329e-02
