# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.510609561456878901e+09,0.000000000000000000e+00,5.163574218750000000e-02,0.000000000000000000e+00,4.792011258282842245e-01
1.666666666666666644e-02,1.510609561458148956e+09,0.000000000000000000e+00,4.792011258282842245e-01,0.000000000000000000e+00,4.792011258282842245e-01
3.333333333333333287e-02,1.510609561458380938e+09,0.000000000000000000e+00,5.090332031250000000e-02,0.000000000000000000e+00,5.090332031250000000e-02
5.000000000000000278e-02,1.510609561475481987e+09,0.000000000000000000e+00,3.845214843750000000e-02,0.000000000000000000e+00,3.845214843750000000e-02
6.666666666666666574e-02,1.510609561491468906e+09,0.000000000000000000e+00,3.442382812500000000e-02,0.000000000000000000e+00,3.442382812500000000e-02
8.333333333333332871e-02,1.510609561508339882e+09,0.000000000000000000e+00,3.515625000000000000e-02,0.000000000000000000e+00,3.515625000000000000e-02
1.000000000000000056e-01,1.510609561524210930e+09,0.000000000000000000e+00,3.552246093750000000e-02,0.000000000000000000e+00,3.552246093750000000e-02
1.166666666666666685e-01,1.510609561541882038e+09,0.000000000000000000e+00,3.955078125000000000e-02,0.000000000000000000e+00,3.955078125000000000e-02
1.333333333333333315e-01,1.510609561557706118e+09,0.000000000000000000e+00,4.760742187500000000e-02,0.000000000000000000e+00,4.760742187500000000e-02
1.499999999999999944e-01,1.510609561574492931e+09,0.000000000000000000e+00,5.383300781250000000e-02,0.000000000000000000e+00,5.383300781250000000e-02
1.666666666666666574e-01,1.510609561590202093e+09,0.000000000000000000e+00,5.456542968750000000e-02,0.000000000000000000e+00,5.456542968750000000e-02
1.833333333333333204e-01,1.510609561608167887e+09,0.000000000000000000e+00,5.529785156250000000e-02,0.000000000000000000e+00,5.529785156250000000e-02
2.000000000000000111e-01,1.510609561624479055e+09,0.000000000000000000e+00,5.383300781250000000e-02,0.000000000000000000e+00,5.383300781250000000e-02
2.166666666666666741e-01,1.510609561641483068e+09,0.000000000000000000e+00,4.907226562500000000e-02,0.000000000000000000e+00,4.907226562500000000e-02
