# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.504283960255676031e+09,0.000000000000000000e+00,-1.004878051009482215e-01,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.504283960256253958e+09,1.798929827055640890e-06,-2.490234375000000000e-02,0.000000000000000000e+00,-4.150390624999999349e-04
3.333333333333333287e-02,1.504283960261399031e+09,7.143096105243524524e-06,-1.019876230875295386e-01,-1.413869948528467420e-06,-2.114856345124634194e-03
5.000000000000000278e-02,1.504283960277560949e+09,1.610466661814614789e-05,-1.034874410741108697e-01,-5.480904621995249357e-06,-3.839738378103515169e-03
6.666666666666666574e-02,1.504283960293981075e+09,2.895384448307132715e-05,-1.109865310070174416e-01,-1.197178372019448439e-05,-5.689713424615808549e-03
8.333333333333332871e-02,1.504283960310923100e+09,4.614755680175652706e-05,-1.004878051009482215e-01,-2.069039208931063465e-05,-7.364855016166433656e-03
1.000000000000000056e-01,1.504283960327848911e+09,6.831024298560356336e-05,-1.004878051009482215e-01,-3.145911940556328203e-05,-9.040176086505664205e-03
1.166666666666666685e-01,1.504283960344630003e+09,9.620762854014538220e-05,-9.898798711436690434e-02,-4.410249646159308714e-05,-1.069071091335280568e-02
1.333333333333333315e-01,1.504283960360613108e+09,1.307146554978873428e-04,-1.004878051009482215e-01,-5.843004229691513073e-05,-1.236648149907355887e-02
1.499999999999999944e-01,1.504283960376872063e+09,1.727789801094829173e-04,-1.034874410741108697e-01,-7.421922989269736943e-05,-1.409250917080695151e-02
1.666666666666666574e-01,1.504283960392533064e+09,2.233816324214081377e-04,-1.004878051009482215e-01,-9.119947392158423295e-05,-1.576882591372144940e-02
1.833333333333333204e-01,1.504283960410487890e+09,2.834965535923031810e-04,-9.898798711436690434e-02,-1.090380022054298579e-04,-1.742044299899765669e-02
2.000000000000000111e-01,1.504283960428198099e+09,3.540507801474801052e-04,-9.748816912778557331e-02,-1.273283945496202273e-04,-1.904736795770324218e-02
2.166666666666666741e-01,1.504283960447237968e+09,4.358870272687663831e-04,-9.898798711436690434e-02,-1.455824612706091144e-04,-2.069959411729720145e-02
2.333333333333333370e-01,1.504283960463949919e+09,5.297303357130522588e-04,-9.748816912778557331e-02,-1.632259930194410863e-04,-2.232711736931061730e-02
2.500000000000000000e-01,1.504283960480882883e+09,6.361602917354371124e-04,-9.898798711436690434e-02,-1.795987485318640664e-04,-2.397991046702559539e-02
2.666666666666666630e-01,1.504283960497615099e+09,7.555901117132752349e-04,-9.298871516804163573e-02,-1.939588637388215840e-04,-2.553295503422193732e-02
2.833333333333333259e-01,1.504283960514555931e+09,8.882536106725638213e-04,-9.748816912778557331e-02,-2.054916710143152943e-04,-2.716118271420193617e-02
2.999999999999999889e-01,1.504283960530299902e+09,1.034200756394932025e-03,-9.748816912778557331e-02,-2.133227184913829547e-04,-2.878954091163988399e-02
3.166666666666666519e-01,1.504283960548309088e+09,1.193302159824387266e-03,-9.598835114120427003e-02,-2.165345838736542565e-04,-3.039295567372451642e-02
3.333333333333333148e-01,1.504283960565165997e+09,1.365262481094094800e-03,-9.598835114120427003e-02,-2.141868925491650553e-04,-3.199633130762040423e-02
3.499999999999999778e-01,1.504283960581994057e+09,1.549642352597834774e-03,-9.598835114120427003e-02,-2.053387833626603616e-04,-3.359955947302985246e-02
3.666666666666666408e-01,1.504283960598758936e+09,1.745888050533747236e-03,-9.598835114120427003e-02,-1.890729239062381717e-04,-3.520251654078169340e-02
3.833333333333333037e-01,1.504283960615669012e+09,1.953367798579231079e-03,-9.898798711436690434e-02,-1.645200666847985288e-04,-3.685505832713255325e-02
4.000000000000000222e-01,1.504283960632339001e+09,2.171413275559406532e-03,-9.898798711436690434e-02,-1.308830630781853213e-04,-3.850703949675663568e-02
4.166666666666666852e-01,1.504283960650279999e+09,2.399364635797831668e-03,-9.748816912778557331e-02,-8.745921757750530596e-05,-4.013329996917935211e-02
4.333333333333333481e-01,1.504283960666960001e+09,2.636617147369856289e-03,-9.748816912778557331e-02,-3.365987293033690574e-05,-4.175866378585794958e-02
4.500000000000000111e-01,1.504283960684091091e+09,2.882667418804716816e-03,-9.898798711436690434e-02,3.097383122698587287e-05,-4.340794734057695087e-02
4.666666666666666741e-01,1.504283960700777054e+09,3.137157125635596337e-03,-9.898798711436690434e-02,1.067599882549475742e-04,-4.505596779267881380e-02
4.833333333333333370e-01,1.504283960717466116e+09,3.399912168671761614e-03,-9.448853315462296676e-02,1.938705678647713586e-04,-4.662754550245811619e-02
5.000000000000000000e-01,1.504283960735203028e+09,3.670975297224232138e-03,-9.748816912778557331e-02,2.923323225330992062e-04,-4.824747611587899138e-02
5.166666666666666075e-01,1.504283960751185894e+09,3.950630411085220665e-03,-1.034874410741108697e-01,4.020343976670092464e-04,-4.996556622715305623e-02
5.333333333333333259e-01,1.504283960768068075e+09,4.239417010242936372e-03,-9.598835114120427003e-02,5.227428498253062399e-04,-5.155665969867603837e-02
5.500000000000000444e-01,1.504283960785332918e+09,4.538133583686351606e-03,-9.748816912778557331e-02,6.541220206403078590e-04,-5.317056048379512762e-02
5.666666666666666519e-01,1.504283960801254034e+09,4.847829108185540935e-03,-1.004878051009482215e-01,7.957624452834771798e-04,-5.483209452805620776e-02
5.833333333333333703e-01,1.504283960818207979e+09,5.169782252275831672e-03,-9.598835114120427003e-02,9.472147022102742368e-04,-5.641611346870610555e-02
5.999999999999999778e-01,1.504283960834250927e+09,5.505468335561657794e-03,-1.124863489935987448e-01,1.108028344766271356e-03,-5.827241881285331188e-02
6.166666666666666963e-01,1.504283960850871086e+09,5.856514563162844647e-03,-8.698944322171636712e-02,1.277794804439103069e-03,-5.970094628647459878e-02
6.333333333333333037e-01,1.504283960866728067e+09,6.224644522992122363e-03,-6.749180939615925801e-02,1.456192929342587728e-03,-6.080153989425488015e-02
6.500000000000000222e-01,1.504283960884509087e+09,6.611613382549182995e-03,-5.549326550350872078e-02,1.643035628704314459e-03,-6.169904372550161914e-02
6.666666666666666297e-01,1.504283960902173042e+09,7.019135635237815606e-03,-2.699672375846369834e-02,1.838315942725805060e-03,-6.211835052243058070e-02
6.833333333333333481e-01,1.504283960918694973e+09,7.448807607868692879e-03,-4.499453959743949724e-03,2.042250754190880549e-03,-6.215930390918979892e-02
6.999999999999999556e-01,1.504283960935477018e+09,7.902027236408499383e-03,2.399708778530106751e-02,2.255320309322456866e-03,-6.172176377427940341e-02
