# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.504284007562360048e+09,-0.000000000000000000e+00,-4.499453959743949724e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.504284007562828064e+09,-1.798929827055640890e-06,-1.098632812500000000e-03,0.000000000000000000e+00,-1.831054687499999932e-05
3.333333333333333287e-02,1.504284007572491884e+09,-7.143096105243524524e-06,-4.499453959743949724e-03,1.413869948528467420e-06,-9.327788170492367996e-05
5.000000000000000278e-02,1.504284007589626074e+09,-1.610466661814614789e-05,-4.499453959743949724e-03,5.480904621995249357e-06,-1.681774326236229195e-04
6.666666666666666574e-02,1.504284007606087923e+09,-2.895384448307132715e-05,-5.999271946325266877e-03,1.197178372019448439e-05,-2.679657686670408254e-04
8.333333333333332871e-02,1.504284007622242928e+09,-4.614755680175652706e-05,-8.998907919487899448e-03,2.069039208931063465e-05,-4.176027274570173037e-04
1.000000000000000056e-01,1.504284007638901949e+09,-6.831024298560356336e-05,-2.999635973162633439e-03,3.145911940556328203e-05,-4.670723416863018277e-04
1.166666666666666685e-01,1.504284007656332970e+09,-9.620762854014538220e-05,-7.499089932906584030e-03,4.410249646159308714e-05,-5.913221322937183260e-04
1.333333333333333315e-01,1.504284007673029900e+09,-1.307146554978873428e-04,-5.999271946325266877e-03,5.843004229691513073e-05,-6.903361640275241465e-04
1.499999999999999944e-01,1.504284007690145969e+09,-1.727789801094829173e-04,-4.499453959743949724e-03,7.421922989269736943e-05,-7.640900761917116153e-04
1.666666666666666574e-01,1.504284007706779957e+09,-2.233816324214081377e-04,-4.499453959743949724e-03,9.119947392158423295e-05,-8.375609842887509794e-04
1.833333333333333204e-01,1.504284007723910093e+09,-2.834965535923031810e-04,-5.999271946325266877e-03,1.090380022054298579e-04,-9.357315500240815948e-04
2.000000000000000111e-01,1.504284007740761042e+09,-3.540507801474801052e-04,-5.999271946325266877e-03,1.273283945496202273e-04,-1.033597275887009016e-03
2.166666666666666741e-01,1.504284007757692099e+09,-4.358870272687663831e-04,-5.999271946325266877e-03,1.455824612706091144e-04,-1.131158767304586569e-03
2.333333333333333370e-01,1.504284007773377895e+09,-5.297303357130522588e-04,-7.499089932906584030e-03,1.632259930194410863e-04,-1.253423166302705585e-03
2.500000000000000000e-01,1.504284007791287899e+09,-6.361602917354371124e-04,-7.499089932906584030e-03,1.795987485318640664e-04,-1.375414686042284330e-03
2.666666666666666630e-01,1.504284007807401896e+09,-7.555901117132752349e-04,-1.049872590606921660e-02,1.939588637388215840e-04,-1.547160803414457473e-03
2.833333333333333259e-01,1.504284007824359894e+09,-8.882536106725638213e-04,-8.998907919487899448e-03,2.054916710143152943e-04,-1.693717740889017203e-03
2.999999999999999889e-01,1.504284007840991974e+09,-1.034200756394932025e-03,-7.499089932906584030e-03,2.133227184913829547e-04,-1.815147194462603817e-03
3.166666666666666519e-01,1.504284007857707977e+09,-1.193302159824387266e-03,-1.199854389265053375e-02,2.165345838736542565e-04,-2.011514016275551923e-03
3.333333333333333148e-01,1.504284007873681068e+09,-1.365262481094094800e-03,-1.049872590606921660e-02,2.141868925491650553e-04,-2.182922999834219224e-03
3.499999999999999778e-01,1.504284007890531063e+09,-1.549642352597834774e-03,-7.499089932906584030e-03,2.053387833626603616e-04,-2.304485518993284760e-03
3.666666666666666408e-01,1.504284007907202005e+09,-1.745888050533747236e-03,-7.499089932906584030e-03,1.890729239062381717e-04,-2.426319135809957162e-03
3.833333333333333037e-01,1.504284007925143003e+09,-1.953367798579231079e-03,-4.499453959743949724e-03,1.645200666847985288e-04,-2.498568034027609779e-03
4.000000000000000222e-01,1.504284007941772938e+09,-2.171413275559406532e-03,-8.998907919487899448e-03,1.308830630781853213e-04,-2.646368448301105077e-03
