# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.504284208365772963e+09,0.000000000000000000e+00,-3.749544966453291495e-02,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.504284208366225958e+09,0.000000000000000000e+00,-9.521484375000000000e-03,0.000000000000000000e+00,-1.586914062499999783e-04
3.333333333333333287e-02,1.504284208376789093e+09,0.000000000000000000e+00,-3.749544966453291495e-02,-9.035247014785260355e-08,-7.836170732000509627e-04
5.000000000000000278e-02,1.504284208392889023e+09,0.000000000000000000e+00,-3.899526765111423210e-02,-6.158594877866561234e-08,-1.433539227151101048e-03
6.666666666666666574e-02,1.504284208409463882e+09,0.000000000000000000e+00,-4.199490362427686641e-02,5.100377451749107210e-07,-2.133445786926629201e-03
8.333333333333332871e-02,1.504284208427289963e+09,0.000000000000000000e+00,-3.749544966453291495e-02,1.994648274121536016e-06,-2.758336703864276013e-03
1.000000000000000056e-01,1.504284208443087101e+09,0.000000000000000000e+00,-3.749544966453291495e-02,4.691205138388199306e-06,-3.383182678187518066e-03
1.166666666666666685e-01,1.504284208460768938e+09,0.000000000000000000e+00,-3.449581369137028758e-02,8.818200971931082271e-06,-3.957965936360823868e-03
1.333333333333333315e-01,1.504284208477617025e+09,0.000000000000000000e+00,-3.599563167795159779e-02,1.451334062605906637e-05,-4.557651241982915713e-03
1.499999999999999944e-01,1.504284208494817972e+09,0.000000000000000000e+00,-4.049508563769554925e-02,2.184245933675090187e-05,-5.232205294955561900e-03
1.666666666666666574e-01,1.504284208510492086e+09,0.000000000000000000e+00,-4.049508563769554925e-02,3.081747699355461261e-05,-5.906609764300595200e-03
1.833333333333333204e-01,1.504284208528310061e+09,0.000000000000000000e+00,-3.749544966453291495e-02,4.142271947649717591e-05,-6.530843546718201678e-03
2.000000000000000111e-01,1.504284208544991016e+09,0.000000000000000000e+00,-3.149617771820764633e-02,5.364849134855939253e-05,-7.054885700499186757e-03
2.166666666666666741e-01,1.504284208561342001e+09,0.000000000000000000e+00,-3.749544966453291495e-02,6.753037552224476850e-05,-7.678684355316031662e-03
2.333333333333333370e-01,1.504284208577807903e+09,0.000000000000000000e+00,-3.449581369137028758e-02,8.319238229435474104e-05,-8.252228043800630131e-03
2.500000000000000000e-01,1.504284208593750954e+09,0.000000000000000000e+00,-4.049508563769554925e-02,1.008917879401751631e-04,-8.925464607963218971e-03
2.666666666666666630e-01,1.504284208609438896e+09,0.000000000000000000e+00,-3.749544966453291495e-02,1.210633050002973734e-04,-9.548371047288763125e-03
2.833333333333333259e-01,1.504284208627415895e+09,0.000000000000000000e+00,-2.549690577188238466e-02,1.443601226359816176e-04,-9.970913474776202379e-03
2.999999999999999889e-01,1.504284208644049883e+09,0.000000000000000000e+00,-3.449581369137028758e-02,1.716893527455437551e-04,-1.054298221375328179e-02
3.166666666666666519e-01,1.504284208660212994e+09,0.000000000000000000e+00,-3.449581369137028758e-02,2.042395190156062572e-04,-1.111450844995919354e-02
3.333333333333333148e-01,1.504284208676862001e+09,0.000000000000000000e+00,-2.999635973162633612e-02,2.434979309616407746e-04,-1.161038947997027233e-02
3.499999999999999778e-01,1.504284208693736076e+09,0.000000000000000000e+00,-3.749544966453291495e-02,2.912560886301888453e-04,-1.223045937290198441e-02
3.666666666666666408e-01,1.504284208709723949e+09,0.000000000000000000e+00,-4.199490362427686641e-02,3.496016575272619699e-04,-1.292454773901447786e-02
