# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.504284504771054983e+09,0.000000000000000000e+00,-9.898798711436690434e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.504284504771553993e+09,0.000000000000000000e+00,-2.453613281250000000e-02,0.000000000000000000e+00,-4.089355468750000108e-04
3.333333333333333287e-02,1.504284504781136036e+09,0.000000000000000000e+00,-9.748816912778557331e-02,3.449991940087718720e-06,-2.033680865805757767e-03
5.000000000000000278e-02,1.504284504796617031e+09,0.000000000000000000e+00,-9.448853315462296676e-02,1.435186696270116538e-05,-3.608250553933428986e-03
6.666666666666666574e-02,1.504284504813215017e+09,0.000000000000000000e+00,-9.298871516804163573e-02,3.347017054816579616e-05,-5.157504637224986574e-03
8.333333333333332871e-02,1.504284504830338955e+09,0.000000000000000000e+00,-1.004878051009482215e-01,6.146164965106564945e-05,-6.831277028079938730e-03
1.000000000000000056e-01,1.504284504846568108e+09,0.000000000000000000e+00,-9.448853315462296676e-02,9.884894258988788287e-05,-8.404438431613822993e-03
1.166666666666666685e-01,1.504284504864233971e+09,0.000000000000000000e+00,-9.898798711436690434e-02,1.459986134588593340e-04,-1.005180490662895693e-02
1.333333333333333315e-01,1.504284504880270958e+09,0.000000000000000000e+00,-9.598835114120427003e-02,2.031043173606687899e-04,-1.164822568702635064e-02
1.499999999999999944e-01,1.504284504897196054e+09,0.000000000000000000e+00,-9.598835114120427003e-02,2.701756591850573361e-04,-1.324352861172667026e-02
1.666666666666666574e-01,1.504284504912750006e+09,0.000000000000000000e+00,-9.598835114120427003e-02,3.470330694442967851e-04,-1.483755057958933629e-02
1.833333333333333204e-01,1.504284504930093050e+09,0.000000000000000000e+00,-9.148889718146031858e-02,4.333087756352424816e-04,-1.635514371968642064e-02
2.000000000000000111e-01,1.504284504945699930e+09,0.000000000000000000e+00,-9.298871516804163573e-02,5.284537065191901748e-04,-1.789614807737846189e-02
2.166666666666666741e-01,1.504284504961587906e+09,0.000000000000000000e+00,-1.019876230875295386e-01,6.317499389935983967e-04,-1.958541262985406123e-02
2.333333333333333370e-01,1.504284504979373932e+09,0.000000000000000000e+00,-9.898798711436690434e-02,7.423280915330726778e-04,-2.122284028023462346e-02
2.500000000000000000e-01,1.504284504997395992e+09,0.000000000000000000e+00,-9.748816912778557331e-02,8.591888921069270550e-04,-2.283332328416260229e-02
2.666666666666666630e-01,1.504284505013235092e+09,0.000000000000000000e+00,-1.094867130204361244e-01,9.812280083208247197e-04,-2.464174803436452316e-02
2.833333333333333259e-01,1.504284505031157970e+09,0.000000000000000000e+00,-9.598835114120427003e-02,1.107263128026671770e-03,-2.622309950125081487e-02
2.999999999999999889e-01,1.504284505047323942e+09,0.000000000000000000e+00,-9.748816912778557331e-02,1.236062222851758976e-03,-2.782730128299971267e-02
3.166666666666666519e-01,1.504284505064722061e+09,0.000000000000000000e+00,-9.748816912778557331e-02,1.366371916288026695e-03,-2.942933123652467092e-02
3.333333333333333148e-01,1.504284505081290960e+09,0.000000000000000000e+00,-1.139861669801800759e-01,1.496944911626447560e-03,-3.130415160433389771e-02
3.499999999999999778e-01,1.504284505099081039e+09,0.000000000000000000e+00,-9.598835114120427003e-02,1.626565510836711862e-03,-3.287684803150669327e-02
3.666666666666666408e-01,1.504284505115694046e+09,0.000000000000000000e+00,-1.019876230875295386e-01,1.754072369554646616e-03,-3.454740721013960930e-02
3.833333333333333037e-01,1.504284505132096052e+09,0.000000000000000000e+00,-1.019876230875295386e-01,1.878377780257677347e-03,-3.621589463192747410e-02
4.000000000000000222e-01,1.504284505147823095e+09,0.000000000000000000e+00,-9.598835114120427003e-02,1.998482948850998416e-03,-3.778239243513336482e-02
4.166666666666666852e-01,1.504284505165222883e+09,0.000000000000000000e+00,-1.034874410741108697e-01,2.113488921655757094e-03,-3.947195830434094971e-02
4.333333333333333481e-01,1.504284505181813002e+09,0.000000000000000000e+00,-9.748816912778557331e-02,2.222603021926982877e-03,-4.105971773943859621e-02
4.500000000000000111e-01,1.504284505198863983e+09,0.000000000000000000e+00,-9.748816912778557331e-02,2.325140858943720249e-03,-4.264576821058595896e-02
4.666666666666666741e-01,1.504284505215626955e+09,0.000000000000000000e+00,-1.019876230875295386e-01,2.420524169827335641e-03,-4.430521985921433148e-02
4.833333333333333370e-01,1.504284505233690977e+09,0.000000000000000000e+00,-9.598835114120427003e-02,2.508274936323450204e-03,-4.586322112929568096e-02
5.000000000000000000e-01,1.504284505249587059e+09,0.000000000000000000e+00,-9.298871516804163573e-02,2.588006378265526007e-03,-4.736989960912528497e-02
5.166666666666666075e-01,1.504284505266302109e+09,0.000000000000000000e+00,-1.034874410741108697e-01,2.659411555727109275e-03,-4.905036676776501625e-02
5.333333333333333259e-01,1.504284505282471895e+09,0.000000000000000000e+00,-9.598835114120427003e-02,2.722250407591706757e-03,-5.060480177999189533e-02
5.500000000000000444e-01,1.504284505298963070e+09,0.000000000000000000e+00,-9.598835114120427003e-02,2.776336111486242889e-03,-5.215833536382052937e-02
5.666666666666666519e-01,1.504284505315804958e+09,0.000000000000000000e+00,-9.598835114120427003e-02,2.821521666385828908e-03,-5.371111585506750663e-02
5.833333333333333703e-01,1.504284505333142042e+09,0.000000000000000000e+00,-8.998907919487900142e-02,2.857687574040614770e-03,-5.516330571541481348e-02
5.999999999999999778e-01,1.504284505349828005e+09,0.000000000000000000e+00,-8.398980724855373281e-02,2.884731429746351539e-03,-5.651505697906160364e-02
6.166666666666666963e-01,1.504284505366278887e+09,0.000000000000000000e+00,-6.599199140957794085e-02,2.902560129604556897e-03,-5.756654750039449236e-02
6.333333333333333037e-01,1.504284505382903099e+09,0.000000000000000000e+00,-4.799417557060213502e-02,2.911085264596321737e-03,-5.831793233882791999e-02
6.500000000000000222e-01,1.504284505400266886e+09,0.000000000000000000e+00,-3.299599570478897043e-02,2.910222107238315085e-03,-5.881936189878710086e-02
6.666666666666666297e-01,1.504284505417105913e+09,0.000000000000000000e+00,-1.799781583897579890e-02,2.899892411209913177e-03,-5.907099395591653562e-02
6.833333333333333481e-01,1.504284505433208942e+09,0.000000000000000000e+00,-1.799781583897579890e-02,2.880031045974311508e-03,-5.932295703579989338e-02
6.999999999999999556e-01,1.504284505449908972e+09,0.000000000000000000e+00,-7.499089932906584030e-03,2.850596285529111151e-03,-5.940043192992285059e-02
7.166666666666666741e-01,1.504284505466877937e+09,0.000000000000000000e+00,7.499089932906584030e-03,2.811583371774197242e-03,-5.922858737484483493e-02
7.333333333333332815e-01,1.504284505483104944e+09,0.000000000000000000e+00,1.199854389265053375e-02,2.763040787289875681e-03,-5.898256096351249533e-02
7.500000000000000000e-01,1.504284505498873949e+09,0.000000000000000000e+00,2.099745181213843320e-02,2.705088507892895733e-03,-5.858751862484530559e-02
7.666666666666666075e-01,1.504284505515275955e+09,0.000000000000000000e+00,3.299599570478897043e-02,2.637937369769647114e-03,-5.799361974026932820e-02
7.833333333333333259e-01,1.504284505532273054e+09,0.000000000000000000e+00,3.599563167795159779e-02,2.561908585816536667e-03,-5.735099406920652482e-02
8.000000000000000444e-01,1.504284505547970057e+09,0.000000000000000000e+00,4.799417557060213502e-02,2.477452386271492002e-03,-5.650980026992529631e-02
8.166666666666666519e-01,1.504284505564342976e+09,0.000000000000000000e+00,5.099381154376476932e-02,2.385164743470539420e-03,-5.562015066513804201e-02
8.333333333333333703e-01,1.504284505580235004e+09,0.000000000000000000e+00,5.249362953034608648e-02,2.285801171558538708e-03,-5.470716015343963373e-02
8.499999999999999778e-01,1.504284505596983910e+09,0.000000000000000000e+00,6.149253744983398939e-02,2.180286669333937697e-03,-5.364594641812017034e-02
8.666666666666666963e-01,1.504284505613035917e+09,0.000000000000000000e+00,6.449217342299662370e-02,2.069720996346490708e-03,-5.253658151113111546e-02
8.833333333333333037e-01,1.504284505629642010e+09,0.000000000000000000e+00,6.449217342299662370e-02,1.955378635267951328e-03,-5.142912231016003727e-02
9.000000000000000222e-01,1.504284505645674944e+09,0.000000000000000000e+00,6.749180939615925801e-02,1.838702992041176638e-03,-5.027361377035669682e-02
9.166666666666666297e-01,1.504284505663203955e+09,0.000000000000000000e+00,7.049144536932187843e-02,1.721294612407857231e-03,-4.907006810399453661e-02
9.333333333333333481e-01,1.504284505679780960e+09,0.000000000000000000e+00,7.349108134248452662e-02,1.604893440786687346e-03,-4.781846852427334982e-02
9.499999999999999556e-01,1.504284505696190119e+09,0.000000000000000000e+00,7.649071731564716092e-02,1.491355405710893030e-03,-4.651876731225071393e-02
9.666666666666666741e-01,1.504284505712433100e+09,0.000000000000000000e+00,8.248998926197241566e-02,1.382623874982332824e-03,-4.512089042663480071e-02
9.833333333333332815e-01,1.504284505728960991e+09,0.000000000000000000e+00,8.548962523513506384e-02,1.280696772828306997e-03,-4.367471839316874188e-02
1.000000000000000000e+00,1.504284505745065928e+09,0.000000000000000000e+00,9.148889718146031858e-02,1.187590380143184379e-03,-4.213011026714201523e-02
1.016666666666666607e+00,1.504284505761595964e+09,0.000000000000000000e+00,8.698944322171636712e-02,1.105301037262919036e-03,-4.066186452949235863e-02
1.033333333333333215e+00,1.504284505776335955e+09,0.000000000000000000e+00,1.019876230875295386e-01,1.035766127370248493e-03,-3.894480804257736267e-02
1.050000000000000044e+00,1.504284505793292046e+09,0.000000000000000000e+00,9.148889718146031858e-02,9.808258294678919974e-04,-3.740364599239522775e-02
1.066666666666666652e+00,1.504284505809081078e+09,0.000000000000000000e+00,9.898798711436690434e-02,9.421871863193605852e-04,-3.573814308738378770e-02
1.083333333333333259e+00,1.504284505825434923e+09,0.000000000000000000e+00,1.139861669801800759e-01,9.213920301069052944e-04,-3.382301710387900645e-02
1.100000000000000089e+00,1.504284505842981100e+09,0.000000000000000000e+00,1.184856209399240273e-01,9.197902441209452207e-04,-3.183292691747825753e-02
