# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.504284719547290087e+09,-0.000000000000000000e+00,-1.439825267118063912e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.504284719547827959e+09,-5.533874176911749648e-06,-3.625488281250000000e-02,0.000000000000000000e+00,-6.042480468749999133e-04
3.333333333333333287e-02,1.504284719554028988e+09,-2.246585738844798167e-05,-1.424827087252250879e-01,0.000000000000000000e+00,-2.978959858962084827e-03
5.000000000000000278e-02,1.504284719571693897e+09,-5.127754235841473405e-05,-1.349836187923185160e-01,0.000000000000000000e+00,-5.228686838834059256e-03
6.666666666666666574e-02,1.504284719588359118e+09,-9.238118567068819714e-05,-1.334838008057371850e-01,0.000000000000000000e+00,-7.453416852263011934e-03
8.333333333333332871e-02,1.504284719605988026e+09,-1.460559333900881445e-04,-1.304841648325745507e-01,0.000000000000000000e+00,-9.628152932805920244e-03
1.000000000000000056e-01,1.504284719622601986e+09,-2.123860144856160579e-04,-1.289843468459932474e-01,0.000000000000000000e+00,-1.177789204690580724e-02
1.166666666666666685e-01,1.504284719639580011e+09,-2.912036602790000106e-04,-1.274845288594119164e-01,0.000000000000000000e+00,-1.390263419456267205e-02
1.333333333333333315e-01,1.504284719656197071e+09,-3.820393804546372827e-04,-1.259847108728305853e-01,0.000000000000000000e+00,-1.600237937577651468e-02
1.499999999999999944e-01,1.504284719673053980e+09,-4.840819961801292475e-04,-1.274845288594119164e-01,0.000000000000000000e+00,-1.812712152343337949e-02
1.666666666666666574e-01,1.504284719688676119e+09,-5.961505058324608137e-04,-1.244848928862492821e-01,0.000000000000000000e+00,-2.020186973820419993e-02
1.833333333333333204e-01,1.504284719705555916e+09,-7.166794494368970009e-04,-1.274845288594119164e-01,0.000000000000000000e+00,-2.232661188586106474e-02
2.000000000000000111e-01,1.504284719721594095e+09,-8.437189580923983067e-04,-1.274845288594119164e-01,0.000000000000000000e+00,-2.445135403351792955e-02
2.166666666666666741e-01,1.504284719738503933e+09,-9.749501409648655753e-04,-1.274845288594119164e-01,0.000000000000000000e+00,-2.657609618117479436e-02
2.333333333333333370e-01,1.504284719755291939e+09,-1.107715893606488287e-03,-1.274845288594119164e-01,0.000000000000000000e+00,-2.870083832883165917e-02
2.500000000000000000e-01,1.504284719772567034e+09,-1.239066627642610883e-03,-1.244848928862492821e-01,0.000000000000000000e+00,-3.077558654360247961e-02
2.666666666666666630e-01,1.504284719789215088e+09,-1.365819844308707254e-03,-1.244848928862492821e-01,0.000000000000000000e+00,-3.285033475837330352e-02
2.833333333333333259e-01,1.504284719807360888e+09,-1.484631924057535930e-03,-1.259847108728305853e-01,0.000000000000000000e+00,-3.495007993958714615e-02
2.999999999999999889e-01,1.504284719823811054e+09,-1.592080001974978832e-03,-1.244848928862492821e-01,0.000000000000000000e+00,-3.702482815435796659e-02
3.166666666666666519e-01,1.504284719840903997e+09,-1.684751363147112815e-03,-1.244848928862492821e-01,0.000000000000000000e+00,-3.909957636912878703e-02
3.333333333333333148e-01,1.504284719856453896e+09,-1.759337440447660906e-03,-1.214852569130866478e-01,0.000000000000000000e+00,-4.112433065101356311e-02
3.499999999999999778e-01,1.504284719874488115e+09,-1.812729243806999449e-03,-1.184856209399240273e-01,0.000000000000000000e+00,-4.309909100001229482e-02
3.666666666666666408e-01,1.504284719891443968e+09,-1.842110905989324029e-03,-1.154859849667613791e-01,0.000000000000000000e+00,-4.502385741612498216e-02
3.833333333333333037e-01,1.504284719909360886e+09,-1.845048002676580919e-03,-1.169858029533426963e-01,0.000000000000000000e+00,-4.697362079868069168e-02
4.000000000000000222e-01,1.504284719926093102e+09,-1.819567397677700248e-03,-1.124863489935987448e-01,0.000000000000000000e+00,-4.884839328190733465e-02
4.166666666666666852e-01,1.504284719942555904e+09,-1.764225576610288504e-03,-1.154859849667613791e-01,0.000000000000000000e+00,-5.077315969802002199e-02
4.333333333333333481e-01,1.504284719959172010e+09,-1.678162759473531343e-03,-1.154859849667613791e-01,0.000000000000000000e+00,-5.269792611413270933e-02
4.500000000000000111e-01,1.504284719977056026e+09,-1.561140515049872684e-03,-1.124863489935987448e-01,0.000000000000000000e+00,-5.457269859735935230e-02
4.666666666666666741e-01,1.504284719992949963e+09,-1.413561125051614057e-03,-1.109865310070174416e-01,0.000000000000000000e+00,-5.642247411414297309e-02
4.833333333333333370e-01,1.504284720009596109e+09,-1.236467546864621070e-03,-1.139861669801800759e-01,0.000000000000000000e+00,-5.832224356381263825e-02
5.000000000000000000e-01,1.504284720026293993e+09,-1.031523481118459861e-03,-1.034874410741108697e-01,0.000000000000000000e+00,-6.004703424838115505e-02
5.166666666666666075e-01,1.504284720042706966e+09,-8.009737422133024996e-04,-1.034874410741108697e-01,0.000000000000000000e+00,-6.177182493294967186e-02
5.333333333333333259e-01,1.504284720059362888e+09,-5.475858327473990964e-04,-1.019876230875295386e-01,0.000000000000000000e+00,-6.347161865107515955e-02
5.500000000000000444e-01,1.504284720076137066e+09,-2.745743119843295152e-04,-1.064870770472734762e-01,0.000000000000000000e+00,-6.524640326852972072e-02
5.666666666666666519e-01,1.504284720092597961e+09,1.448980055016158534e-05,-1.049872590606921730e-01,0.000000000000000000e+00,-6.699619091954125971e-02
5.833333333333333703e-01,1.504284720109560013e+09,3.157817564270085997e-04,-1.019876230875295386e-01,0.000000000000000000e+00,-6.869598463766675434e-02
5.999999999999999778e-01,1.504284720125356913e+09,6.253346103176369913e-04,-9.748816912778557331e-02,0.000000000000000000e+00,-7.032078745646318241e-02
6.166666666666666963e-01,1.504284720141762972e+09,9.391558182922498266e-04,-8.698944322171636712e-02,0.000000000000000000e+00,-7.177061151015845519e-02
6.333333333333333037e-01,1.504284720157686949e+09,1.253344889196387297e-03,-8.099017127539109850e-02,0.000000000000000000e+00,-7.312044769808163924e-02
6.500000000000000222e-01,1.504284720175409079e+09,1.564207931263541509e-03,-6.899162738274057516e-02,0.000000000000000000e+00,-7.427030815446064582e-02
6.666666666666666297e-01,1.504284720192259073e+09,1.868364934512109585e-03,-4.199490362427686641e-02,0.000000000000000000e+00,-7.497022321486526697e-02
6.833333333333333481e-01,1.504284720209434032e+09,2.162845774974126584e-03,-1.199854389265053375e-02,0.000000000000000000e+00,-7.517019894640944444e-02
6.999999999999999556e-01,1.504284720225919008e+09,2.445171218560044952e-03,1.949763382555711605e-02,0.000000000000000000e+00,-7.484523838265015605e-02
7.166666666666666741e-01,1.504284720242347956e+09,2.713415634493829710e-03,5.099381154376476932e-02,0.000000000000000000e+00,-7.399534152358741568e-02
7.333333333333332815e-01,1.504284720259010077e+09,2.966248689908270592e-03,8.998907919487900142e-02,0.000000000000000000e+00,-7.249552353700609852e-02
7.500000000000000000e-01,1.504284720276403904e+09,3.202953972796256012e-03,1.199854389265053445e-01,0.000000000000000000e+00,-7.049576622156433769e-02
7.666666666666666075e-01,1.504284720294045925e+09,3.423423260171674660e-03,1.484819806715503565e-01,0.000000000000000000e+00,-6.802106654370516925e-02
7.833333333333333259e-01,1.504284720311101913e+09,3.628125988331018428e-03,1.709792504702701277e-01,0.000000000000000000e+00,-6.517141236920066805e-02
