# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.504284972126681089e+09,0.000000000000000000e+00,-1.394830727520624536e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.504284972127152920e+09,5.714304437118248311e-07,-3.442382812500000000e-02,0.000000000000000000e+00,-5.737304687499999133e-04
3.333333333333333287e-02,1.504284972137450933e+09,2.302512093967138948e-06,-1.424827087252250879e-01,0.000000000000000000e+00,-2.948442280837084827e-03
5.000000000000000278e-02,1.504284972154825926e+09,5.186605858555814017e-06,-1.439825267118063912e-01,0.000000000000000000e+00,-5.348151059367191491e-03
6.666666666666666574e-02,1.504284972171463013e+09,9.177102081233194959e-06,-1.409828907386437569e-01,0.000000000000000000e+00,-7.697865905011254221e-03
8.333333333333332871e-02,1.504284972188930988e+09,1.419612682244029663e-05,-1.409828907386437569e-01,0.000000000000000000e+00,-1.004758075065531608e-02
1.000000000000000056e-01,1.504284972205487013e+09,2.014969283169138080e-05,-1.409828907386437569e-01,0.000000000000000000e+00,-1.239729559629937881e-02
1.166666666666666685e-01,1.504284972221575975e+09,2.694859470604463341e-05,-1.379832547654811503e-01,0.000000000000000000e+00,-1.469701650905739718e-02
1.333333333333333315e-01,1.504284972238184929e+09,3.453398915671436481e-05,-1.394830727520624536e-01,0.000000000000000000e+00,-1.702173438825843599e-02
1.499999999999999944e-01,1.504284972254503012e+09,4.290628993505441840e-05,-1.394830727520624536e-01,0.000000000000000000e+00,-1.934645226745947827e-02
1.666666666666666574e-01,1.504284972271203041e+09,5.215575692449811430e-05,-1.394830727520624536e-01,0.000000000000000000e+00,-2.167117014666052055e-02
1.833333333333333204e-01,1.504284972288499117e+09,6.249298190959403591e-05,-1.439825267118063912e-01,0.000000000000000000e+00,-2.407087892519062591e-02
2.000000000000000111e-01,1.504284972305605888e+09,7.427737844587753479e-05,-1.394830727520624536e-01,0.000000000000000000e+00,-2.639559680439166472e-02
2.166666666666666741e-01,1.504284972322443008e+09,8.804177571000245024e-05,-1.379832547654811503e-01,0.000000000000000000e+00,-2.869531771714968482e-02
2.333333333333333370e-01,1.504284972339488983e+09,1.045112983761726627e-04,-1.394830727520624536e-01,0.000000000000000000e+00,-3.102003559635072710e-02
2.500000000000000000e-01,1.504284972355654001e+09,1.246148850246647159e-04,-1.379832547654811503e-01,0.000000000000000000e+00,-3.331975650910874720e-02
2.666666666666666630e-01,1.504284972371332884e+09,1.494880513502020879e-04,-1.394830727520624536e-01,0.000000000000000000e+00,-3.564447438830978948e-02
2.833333333333333259e-01,1.504284972388865948e+09,1.804658330804128827e-04,-1.409828907386437569e-01,0.000000000000000000e+00,-3.799418923395385395e-02
2.999999999999999889e-01,1.504284972405508041e+09,2.190652354552083945e-04,-1.394830727520624536e-01,0.000000000000000000e+00,-4.031890711315489623e-02
3.166666666666666519e-01,1.504284972421498060e+09,2.669569570013582017e-04,-1.394830727520624536e-01,0.000000000000000000e+00,-4.264362499235593851e-02
3.333333333333333148e-01,1.504284972439137936e+09,3.259266285284376664e-04,-1.394830727520624536e-01,0.000000000000000000e+00,-4.496834287155698079e-02
3.499999999999999778e-01,1.504284972457410097e+09,3.978262954429972651e-04,-1.394830727520624536e-01,0.000000000000000000e+00,-4.729306075075802307e-02
3.666666666666666408e-01,1.504284972473453999e+09,4.845173532557454660e-04,-1.379832547654811503e-01,0.000000000000000000e+00,-4.959278166351604317e-02
3.833333333333333037e-01,1.504284972490926981e+09,5.878066028298882919e-04,-1.409828907386437569e-01,0.000000000000000000e+00,-5.194249650916010763e-02
4.000000000000000222e-01,1.504284972506546974e+09,7.093775041618185975e-04,-1.379832547654811503e-01,0.000000000000000000e+00,-5.424221742191812773e-02
4.166666666666666852e-01,1.504284972524421930e+09,8.507190570829036144e-04,-1.394830727520624536e-01,0.000000000000000000e+00,-5.656693530111917001e-02
4.333333333333333481e-01,1.504284972541835070e+09,1.013055007817564640e-03,-1.409828907386437569e-01,0.000000000000000000e+00,-5.891665014676323447e-02
4.500000000000000111e-01,1.504284972558865070e+09,1.197276257879919831e-03,-1.409828907386437569e-01,0.000000000000000000e+00,-6.126636499240729894e-02
4.666666666666666741e-01,1.504284972575460911e+09,1.403879425422334968e-03,-1.379832547654811503e-01,0.000000000000000000e+00,-6.356608590516531210e-02
4.833333333333333370e-01,1.504284972592470884e+09,1.632914471456205522e-03,-1.364834367788998193e-01,0.000000000000000000e+00,-6.584080985148030307e-02
5.000000000000000000e-01,1.504284972609693050e+09,1.883944150815729289e-03,-1.349836187923185160e-01,0.000000000000000000e+00,-6.809053683135227186e-02
5.166666666666666075e-01,1.504284972626185894e+09,2.156017780906799818e-03,-1.394830727520624536e-01,0.000000000000000000e+00,-7.041525471055330720e-02
5.333333333333333259e-01,1.504284972642847061e+09,2.447661444963157747e-03,-1.364834367788998193e-01,0.000000000000000000e+00,-7.268997865686829818e-02
5.500000000000000444e-01,1.504284972660166979e+09,2.756886269670313482e-03,-1.334838008057371850e-01,0.000000000000000000e+00,-7.491470867029724479e-02
5.666666666666666519e-01,1.504284972676028967e+09,3.081215852534982275e-03,-1.274845288594119164e-01,0.000000000000000000e+00,-7.703945081795411653e-02
5.833333333333333703e-01,1.504284972692249060e+09,3.417733278828999875e-03,-1.184856209399240273e-01,0.000000000000000000e+00,-7.901421116695285518e-02
5.999999999999999778e-01,1.504284972708640099e+09,3.763147481044204143e-03,-1.034874410741108697e-01,0.000000000000000000e+00,-8.073900185152137199e-02
6.166666666666666963e-01,1.504284972725351095e+09,4.113877977857417594e-03,-8.998907919487900142e-02,0.000000000000000000e+00,-8.223881983810268914e-02
6.333333333333333037e-01,1.504284972742458105e+09,4.466156308803886747e-03,-4.199490362427686641e-02,0.000000000000000000e+00,-8.293873489850731029e-02
6.500000000000000222e-01,1.504284972759974003e+09,4.816141780483457722e-03,1.499817986581316719e-03,0.000000000000000000e+00,-8.291373793206428811e-02
6.666666666666666297e-01,1.504284972776279926e+09,5.160048485737117607e-03,3.299599570478897043e-02,0.000000000000000000e+00,-8.236380467031780006e-02
6.833333333333333481e-01,1.504284972793540001e+09,5.494279973801095666e-03,6.449217342299662370e-02,0.000000000000000000e+00,-8.128893511326786003e-02
6.999999999999999556e-01,1.504284972809633970e+09,5.815567460473788225e-03,8.099017127539109850e-02,0.000000000000000000e+00,-7.993909892534467598e-02
7.166666666666666741e-01,1.504284972826330900e+09,6.121107094011518819e-03,8.548962523513506384e-02,0.000000000000000000e+00,-7.851427183809242538e-02
7.333333333333332815e-01,1.504284972843154907e+09,6.408691552892799466e-03,8.698944322171636712e-02,0.000000000000000000e+00,-7.706444778439715260e-02
7.500000000000000000e-01,1.504284972861125946e+09,6.676831160036197227e-03,8.398980724855373281e-02,0.000000000000000000e+00,-7.566461766358792418e-02
7.666666666666666075e-01,1.504284972876756907e+09,6.924859764382477675e-03,8.398980724855373281e-02,0.000000000000000000e+00,-7.426478754277869576e-02
7.833333333333333259e-01,1.504284972896292925e+09,7.153020869923236262e-03,8.099017127539109850e-02,0.000000000000000000e+00,-7.291495135485551171e-02
8.000000000000000444e-01,1.504284972909346104e+09,7.362529884015206992e-03,8.848926120829768427e-02,0.000000000000000000e+00,-7.144013033471721674e-02
8.166666666666666519e-01,1.504284972926429033e+09,7.555608905512389145e-03,8.398980724855373281e-02,0.000000000000000000e+00,-7.004030021390798832e-02
