# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.504285393991769075e+09,-0.000000000000000000e+00,-7.499089932906584030e-03,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.504285393992384911e+09,-2.147917641751685147e-06,-1.098632812500000000e-03,0.000000000000000000e+00,-1.831054687499999932e-05
3.333333333333333287e-02,1.504285394001137018e+09,-8.764447890478153669e-06,-8.998907919487899448e-03,-2.036121991559252359e-06,-1.683262808996576474e-04
5.000000000000000278e-02,1.504285394019149065e+09,-2.010613480534787772e-05,-8.998907919487899448e-03,-8.870962340705919414e-06,-3.184559289301344058e-04
6.666666666666666574e-02,1.504285394035528898e+09,-3.641188470135284743e-05,-7.499089932906584030e-03,-2.149838682797131008e-05,-4.437990675923769919e-04
8.333333333333332871e-02,1.504285394052959919e+09,-5.788539582759026761e-05,-2.999635973162633439e-03,-4.077125756175501819e-05,-4.944725214377835004e-04
1.000000000000000056e-01,1.504285394069823980e+09,-8.467853633946515466e-05,-1.049872590606921660e-02,-6.738982318432458051e-05,-6.705744502586757829e-04
1.166666666666666685e-01,1.504285394086510897e+09,-1.168766158252789247e-04,-8.998907919487899448e-03,-1.018961169972662468e-04,-8.222545175334285660e-04
1.333333333333333315e-01,1.504285394103931904e+09,-1.544864480217000185e-04,-5.999271946325266877e-03,-1.446742750637536659e-04,-9.246536212232455863e-04
1.499999999999999944e-01,1.504285394120014906e+09,-1.974280167416706932e-04,-7.499089932906584030e-03,-1.959564292923599938e-04,-1.052904393926561415e-03
1.666666666666666574e-01,1.504285394136914968e+09,-2.455304358554707901e-04,-7.499089932906584030e-03,-2.558335955227125928e-04,-1.182153119400383050e-03
1.833333333333333204e-01,1.504285394153073072e+09,-2.985327411237056528e-04,-8.998907919487899448e-03,-3.242707734298126373e-04,-1.337539430949011504e-03
2.000000000000000111e-01,1.504285394168936014e+09,-3.560898716819140670e-04,-1.049872590606921660e-02,-4.011253119695700289e-04,-1.519203617916324665e-03
2.166666666666666741e-01,1.504285394185774088e+09,-4.177839979613533336e-04,-7.499089932906584030e-03,-4.861674777229892824e-04,-1.652291241426817516e-03
2.333333333333333370e-01,1.504285394201329947e+09,-4.831411375935639038e-04,-7.499089932906584030e-03,-5.791020985136316728e-04,-1.786927775283821086e-03
2.500000000000000000e-01,1.504285394219348907e+09,-5.516527788195227855e-04,-8.998907919487899448e-03,-6.795901435750629615e-04,-1.948236076334870391e-03
2.666666666666666630e-01,1.504285394235713959e+09,-6.228020099383184969e-04,-8.998907919487899448e-03,-7.872691445820033255e-04,-2.111339027402701907e-03
2.833333333333333259e-01,1.504285394251843929e+09,-6.960934413600717045e-04,-7.499089932906584030e-03,-9.017714570123564486e-04,-2.251353383901351021e-03
2.999999999999999889e-01,1.504285394268538952e+09,-7.710860117291568538e-04,-1.049872590606921660e-02,-1.022739504360376103e-03,-2.443377807408510759e-03
3.166666666666666519e-01,1.504285394286509037e+09,-8.474275988308622738e-04,-1.049872590606921660e-02,-1.149837332414372412e-03,-2.637520528049904119e-03
3.333333333333333148e-01,1.504285394304348946e+09,-9.248902164255929856e-04,-1.199854389265053375e-02,-1.282758019077282667e-03,-2.858875559912034577e-03
3.499999999999999778e-01,1.504285394321613073e+09,-1.003404475733901766e-03,-1.049872590606921660e-02,-1.421226727474051528e-03,-3.057541437137755672e-03
3.666666666666666408e-01,1.504285394338251114e+09,-1.083091929899599381e-03,-7.499089932906584030e-03,-1.564999445648408444e-03,-3.208609593447005366e-03
3.833333333333333037e-01,1.504285394356287003e+09,-1.164293904993369579e-03,-1.499817986581316806e-02,-1.713857713572878791e-03,-3.487143553103439625e-03
4.000000000000000222e-01,1.504285394372879982e+09,-1.247595454176688660e-03,-8.998907919487899448e-03,-1.867599885772813339e-03,-3.668252016524451396e-03
