# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503091679374001026e+09,0.000000000000000000e+00,-4.649435758402081786e-02,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503091679374484062e+09,2.147917641751685147e-06,-1.208496093750000000e-02,0.000000000000000000e+00,-2.014160156249999892e-04
3.333333333333333287e-02,1.503091679383583069e+09,8.764447890478153669e-06,-4.499453959743950071e-02,-2.036121991559252359e-06,-9.513589442821843677e-04
5.000000000000000278e-02,1.503091679400474072e+09,2.010613480534787772e-05,-3.899526765111423210e-02,-8.870962340705919414e-06,-1.601427921173099924e-03
6.666666666666666574e-02,1.503091679416497946e+09,3.641188470135284743e-05,-4.049508563769554925e-02,-2.149838682797131008e-05,-2.276704321581825459e-03
8.333333333333332871e-02,1.503091679433969021e+09,5.788539582759026761e-05,-3.749544966453291495e-02,-4.077125756175501819e-05,-2.902308003616736395e-03
1.000000000000000056e-01,1.503091679449621916e+09,8.467853633946515466e-05,-2.849654174504501897e-02,-6.738982318432458051e-05,-3.378373529753892282e-03
1.166666666666666685e-01,1.503091679466443062e+09,1.168766158252789247e-04,-2.249726979871975036e-02,-1.018961169972662468e-04,-3.755026295015842334e-03
1.333333333333333315e-01,1.503091679482737064e+09,1.544864480217000185e-04,-2.099745181213843320e-02,-1.446742750637536659e-04,-4.107395063135879133e-03
1.499999999999999944e-01,1.503091679500113964e+09,1.974280167416706932e-04,-2.099745181213843320e-02,-1.959564292923599938e-04,-4.460618533826392340e-03
1.666666666666666574e-01,1.503091679516453028e+09,2.455304358554707901e-04,-1.949763382555711605e-02,-2.558335955227125928e-04,-4.789842990844389060e-03
1.833333333333333204e-01,1.503091679533792019e+09,2.985327411237056528e-04,-1.949763382555711605e-02,-3.242707734298126373e-04,-5.120208067494171067e-03
2.000000000000000111e-01,1.503091679550004959e+09,3.560898716819140670e-04,-1.949763382555711605e-02,-4.011253119695700289e-04,-5.451854053119615379e-03
2.166666666666666741e-01,1.503091679566840887e+09,4.177839979613533336e-04,-1.949763382555711605e-02,-4.861674777229892824e-04,-5.784917408174283966e-03
2.333333333333333370e-01,1.503091679583395004e+09,4.831411375935639038e-04,-1.949763382555711605e-02,-5.791020985136316728e-04,-6.119529673575463055e-03
2.500000000000000000e-01,1.503091679600684881e+09,5.516527788195227855e-04,-1.949763382555711605e-02,-6.795901435750629615e-04,-6.455816739727665912e-03
2.666666666666666630e-01,1.503091679617165089e+09,6.228020099383184969e-04,-2.099745181213843320e-02,-7.872691445820033255e-04,-6.818895422339672947e-03
2.833333333333333259e-01,1.503091679633275986e+09,6.960934413600717045e-04,-1.949763382555711605e-02,-9.017714570123564486e-04,-7.158885510382497798e-03
2.999999999999999889e-01,1.503091679649617910e+09,7.710860117291568538e-04,-2.099745181213843320e-02,-1.022739504360376103e-03,-7.525888698990811088e-03
3.166666666666666519e-01,1.503091679665883064e+09,8.474275988308622738e-04,-1.799781583897579890e-02,-1.149837332414372412e-03,-7.845016251847313632e-03
3.333333333333333148e-01,1.503091679683439970e+09,9.248902164255929856e-04,-1.949763382555711605e-02,-1.282758019077282667e-03,-8.191356115924553274e-03
3.499999999999999778e-01,1.503091679700135946e+09,1.003404475733901766e-03,-2.099745181213843320e-02,-1.421226727474051528e-03,-8.565000758251428356e-03
3.666666666666666408e-01,1.503091679716312885e+09,1.083091929899599381e-03,-2.399708778530106751e-02,-1.564999445648408444e-03,-8.991035545433919904e-03
3.833333333333333037e-01,1.503091679733532906e+09,1.164293904993369579e-03,-1.949763382555711605e-02,-1.713857713572878791e-03,-9.344560404419419847e-03
4.000000000000000222e-01,1.503091679750019073e+09,1.247595454176688660e-03,-1.949763382555711605e-02,-1.867599885772813339e-03,-9.700647632941586038e-03
4.166666666666666852e-01,1.503091679765664101e+09,1.333843153197764074e-03,-1.799781583897579890e-02,-2.026029704078251802e-03,-1.003437839199248713e-02
4.333333333333333481e-01,1.503091679781438112e+09,1.424155584535151267e-03,-1.949763382555711605e-02,-2.188943148996645802e-03,-1.039582134156838249e-02
4.500000000000000111e-01,1.503091679797842026e+09,1.519925531754505541e-03,-2.099745181213843320e-02,-2.356114690170706041e-03,-1.078504744994020215e-02
4.666666666666666741e-01,1.503091679815485954e+09,1.622813120971943043e-03,-1.949763382555711605e-02,-2.527284158082283242e-03,-1.115212941633419302e-02
4.833333333333333370e-01,1.503091679832982063e+09,1.734729397244964529e-03,-1.949763382555711605e-02,-2.702145504188221969e-03,-1.152212573849661567e-02
5.000000000000000000e-01,1.503091679850307941e+09,1.857810103447041401e-03,-1.799781583897579890e-02,-2.880338700798625376e-03,-1.187009498082618880e-02
5.166666666666666075e-01,1.503091679867645025e+09,1.994379729801744761e-03,-1.949763382555711605e-02,-3.061445953394117871e-03,-1.224607964380870946e-02
5.333333333333333259e-01,1.503091679883989096e+09,2.146906214923141425e-03,-2.249726979871975036e-02,-3.244993257417012455e-03,-1.267511736141098931e-02
5.500000000000000444e-01,1.503091679900481939e+09,2.317946994440602763e-03,-1.799781583897579890e-02,-3.430458132126551398e-03,-1.303225526092936098e-02
5.666666666666666519e-01,1.503091679916203976e+09,2.510087401210238465e-03,-1.799781583897579890e-02,-3.617284111669306738e-03,-1.339250692677344638e-02
5.833333333333333703e-01,1.503091679934540987e+09,2.725872711783801448e-03,-1.649799785239448521e-02,-3.804902276250889549e-03,-1.373088859558420187e-02
5.999999999999999778e-01,1.503091679949590921e+09,2.967735397496824943e-03,-1.949763382555711605e-02,-3.992759774512622678e-03,-1.412239515558536343e-02
6.166666666666666963e-01,1.503091679967190027e+09,3.237919366061613874e-03,-1.799781583897579890e-02,-4.180354934043660833e-03,-1.449203133513568727e-02
6.333333333333333037e-01,1.503091679984313965e+09,3.538403162546335627e-03,-1.799781583897579890e-02,-4.367278193938909682e-03,-1.486478290235093182e-02
6.500000000000000222e-01,1.503091680000705957e+09,3.870824229836991592e-03,-1.949763382555711605e-02,-4.553257735942629544e-03,-1.526563109504259358e-02
6.666666666666666297e-01,1.503091680015969992e+09,4.236406402220371445e-03,-1.799781583897579890e-02,-4.738208353935717369e-03,-1.564456483159111858e-02
6.833333333333333481e-01,1.503091680033962965e+09,4.635892817275798217e-03,-1.799781583897579890e-02,-4.922281800165190756e-03,-1.602656645891013462e-02
6.999999999999999556e-01,1.503091680050100088e+09,5.069486378252292987e-03,-2.099745181213843320e-02,-5.105916594851566716e-03,-1.646162259902663599e-02
7.166666666666666741e-01,1.503091680067713022e+09,5.536799780841432546e-03,-1.949763382555711605e-02,-5.289885096604191907e-03,-1.687474791439599192e-02
7.333333333333332815e-01,1.503091680083578110e+09,6.036816935986195204e-03,-1.649799785239448521e-02,-5.475335515649479290e-03,-1.724097013719672403e-02
7.500000000000000000e-01,1.503091680101136923e+09,6.567867377306361304e-03,-1.499817986581316719e-03,-5.663826519235313876e-03,-1.736036421229366841e-02
7.666666666666666075e-01,1.503091680117809057e+09,7.127614943003563255e-03,1.049872590606921660e-02,-5.857352135084136283e-03,-1.728300798277725148e-02
7.833333333333333259e-01,1.503091680134968996e+09,7.713061674685069320e-03,2.249726979871975036e-02,-6.058354807817643677e-03,-1.700902606626221794e-02
8.000000000000000444e-01,1.503091680151412010e+09,8.320567488026257494e-03,2.699672375846369834e-02,-6.269724705038887472e-03,-1.666357608203847263e-02
8.166666666666666519e-01,1.503091680167500019e+09,8.945885752639210278e-03,3.599563167795159779e-02,-6.494783701041788489e-03,-1.617189528242330906e-02
8.333333333333333703e-01,1.503091680183758974e+09,9.584214482183786576e-03,3.749544966453291495e-02,-6.737252880344835222e-03,-1.565925866935350894e-02
8.499999999999999778e-01,1.503091680201148033e+09,1.023026239279348562e-02,3.599563167795159779e-02,-7.001202890535109837e-03,-1.517601818956323435e-02
8.666666666666666963e-01,1.503091680217662096e+09,1.087832865099769633e-02,3.749544966453291495e-02,-7.290987021289636362e-03,-1.467261047884251338e-02
8.833333333333333037e-01,1.503091680234946012e+09,1.152239471440864339e-02,3.449581369137028758e-02,-7.611157478166899644e-03,-1.422453287528912397e-02
9.000000000000000222e-01,1.503091680251821041e+09,1.215622628224069350e-02,3.599563167795159779e-02,-7.966365937743039027e-03,-1.375737844628564799e-02
9.166666666666666297e-01,1.503091680270730019e+09,1.277348303042312970e-02,3.749544966453291495e-02,-8.361250094991447626e-03,-1.327180845345995661e-02
9.333333333333333481e-01,1.503091680288420916e+09,1.336783351892000329e-02,4.799417557060213502e-02,-8.800308523339142597e-03,-1.261857733600557294e-02
9.499999999999999556e-01,1.503091680305532932e+09,1.393307243686997023e-02,5.849290147667134815e-02,-9.287766740895365275e-03,-1.179849175707597259e-02
9.666666666666666741e-01,1.503091680322509050e+09,1.446323720269759340e-02,6.599199140957794085e-02,-9.827437891412245732e-03,-1.086241586510654396e-02
9.833333333333332815e-01,1.503091680338911057e+09,1.495272086792841064e-02,7.199126335590319559e-02,-1.042258188496758900e-02,-9.836271173924283559e-03
1.000000000000000000e+00,1.503091680355710030e+09,1.539637828944405949e-02,7.349108134248452662e-02,-1.107576718213668793e-02,-8.796015937918486710e-03
1.016666666666666607e+00,1.503091680373037100e+09,1.578962263740874353e-02,7.349108134248452662e-02,-1.178873962984385709e-02,-7.767643576041142160e-03
1.033333333333333215e+00,1.503091680389441013e+09,1.612850949472105500e-02,7.349108134248452662e-02,-1.256230285342018783e-02,-6.752163934556736948e-03
1.050000000000000044e+00,1.503091680406687975e+09,1.640980607574245645e-02,7.499089932906582989e-02,-1.339621466745600196e-02,-5.725585856863240133e-03
1.066666666666666652e+00,1.503091680424237013e+09,1.663104344189852632e-02,7.499089932906582989e-02,-1.428910378166091746e-02,-4.713889264406491246e-03
1.083333333333333259e+00,1.503091680442399025e+09,1.679055001182331794e-02,7.499089932906582989e-02,-1.523841074536454177e-02,-3.718014454678136675e-03
1.100000000000000089e+00,1.503091680459481955e+09,1.688746514407012123e-02,8.099017127539109850e-02,-1.624035659836986500e-02,-2.638850876727783130e-03
1.116666666666666696e+00,1.503091680477178097e+09,1.692173209908233791e-02,9.298871516804163573e-02,-1.728994208420411155e-02,-1.377204658663824799e-03
1.133333333333333304e+00,1.503091680494443893e+09,1.689407025041901600e-02,1.094867130204361244e-01,-1.838097954667100228e-02,1.412242325655936430e-04
1.149999999999999911e+00,1.503091680512602091e+09,1.680592699809493537e-02,1.199854389265053445e-01,-1.950615878874241080e-02,1.815878901528309190e-03
1.166666666666666741e+00,1.503091680528816938e+09,1.665941042326709448e-02,1.214852569130866478e-01,-2.065714724510621381e-02,3.496347395994649741e-03
1.183333333333333348e+00,1.503091680547610998e+09,1.645720429675929380e-02,1.229850748996679788e-01,-2.182472383060851326e-02,5.182353247145640544e-03
1.199999999999999956e+00,1.503091680564692974e+09,1.620246759733963079e-02,1.244848928862492821e-01,-2.299894480388233950e-02,6.873785715185089414e-03
1.216666666666666563e+00,1.503091680581578016e+09,1.589872119289491639e-02,1.289843468459932474e-01,-2.416933895838568880e-02,8.620702513311881768e-03
1.233333333333333393e+00,1.503091680597646952e+09,1.554972477315924757e-02,1.289843468459932474e-01,-2.532512845302545279e-02,1.034835615319467869e-02
1.250000000000000000e+00,1.503091680614976883e+09,1.515934748223349976e-02,1.289843468459932474e-01,-2.645547065316306706e-02,1.205717075640851468e-02
1.266666666666666607e+00,1.503091680632632017e+09,1.473143597029277947e-02,1.319839828191558817e-01,-2.754971550124589094e-02,1.379774187837368160e-02
1.283333333333333215e+00,1.503091680649885893e+09,1.426968375627704969e-02,1.364834367788998193e-01,-2.859767220430045609e-02,1.559583795461700478e-02
1.300000000000000044e+00,1.503091680666639090e+09,1.377750585913464255e-02,1.424827087252250879e-01,-2.958987844034459413e-02,1.747738512603167968e-02
1.316666666666666652e+00,1.503091680683109045e+09,1.325792260926238891e-02,1.469821626849690532e-01,-3.051786487136461459e-02,1.941845675625842108e-02
1.333333333333333259e+00,1.503091680700455904e+09,1.271345639207369614e-02,1.484819806715503565e-01,-3.137440752658524068e-02,2.137024964200784014e-02
1.350000000000000089e+00,1.503091680717807055e+09,1.214604480318910197e-02,1.469821626849690532e-01,-3.215376060110447520e-02,2.328405634340558264e-02
1.366666666666666696e+00,1.503091680734317064e+09,1.155697331383802665e-02,1.469821626849690532e-01,-3.285186241074742469e-02,2.518622801464261152e-02
1.383333333333333304e+00,1.503091680752268076e+09,1.094683006311767542e-02,1.469821626849690532e-01,-3.346650765732550603e-02,2.707815559843667133e-02
1.399999999999999911e+00,1.503091680767597914e+09,1.031548482125838745e-02,1.469821626849690532e-01,-3.399747978610721116e-02,2.896123364675103409e-02
1.416666666666666741e+00,1.503091680784756899e+09,9.662093518329382957e-03,1.469821626849690532e-01,-3.444663804945391483e-02,3.083682572400962135e-02
1.433333333333333348e+00,1.503091680801414013e+09,8.985129021777690447e-03,1.469821626849690532e-01,-3.481795491106251528e-02,3.270622918690806180e-02
1.449999999999999956e+00,1.503091680818161011e+09,8.282438091917561709e-03,1.439825267118063912e-01,-3.511750061173610216e-02,3.452064628857590134e-02
1.466666666666666563e+00,1.503091680834285021e+09,7.551323666818506204e-03,1.469821626849690532e-01,-3.535337304202146314e-02,3.638112611595836071e-02
1.483333333333333393e+00,1.503091680853115082e+09,6.788650848081969474e-03,1.469821626849690532e-01,-3.553557249630621973e-02,3.823856928576940817e-02
1.500000000000000000e+00,1.503091680870069981e+09,5.990974198561331045e-03,1.454823446983877222e-01,-3.567582237970706727e-02,4.006867799108074918e-02
1.516666666666666607e+00,1.503091680889266968e+09,5.154683244115347909e-03,1.349836187923185160e-01,-3.578733846269996355e-02,4.172194932990772737e-02
1.533333333333333215e+00,1.503091680904608011e+09,4.276162415469538132e-03,1.244848928862492821e-01,-3.588455078615110372e-02,4.319862169824269932e-02
1.550000000000000044e+00,1.503091680922243118e+09,3.351961093602163003e-03,1.064870770472734762e-01,-3.598278376744991347e-02,4.437369325290642375e-02
1.566666666666666652e+00,1.503091680937290907e+09,2.378968951520951409e-03,8.998907919487900142e-02,-3.609790140334059177e-02,4.527187954943206333e-02
1.583333333333333259e+00,1.503091680954955101e+09,1.354591433378962749e-03,7.499089932906582989e-02,-3.624592566488572115e-02,4.591762911050173424e-02
