# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503092074249164104e+09,-0.000000000000000000e+00,1.499817986581316719e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503092074249733925e+09,-9.035247014785260355e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.333333333333333287e-02,1.503092074254478931e+09,-6.158594877866561234e-08,1.499817986581316719e-03,0.000000000000000000e+00,2.499696644302194329e-05
5.000000000000000278e-02,1.503092074270847082e+09,5.100377451749107210e-07,-2.999635973162633439e-03,0.000000000000000000e+00,-2.499696644302194329e-05
6.666666666666666574e-02,1.503092074287188053e+09,1.994648274121536016e-06,-2.999635973162633439e-03,0.000000000000000000e+00,-7.499089932906583325e-05
8.333333333333332871e-02,1.503092074304707050e+09,4.691205138388199306e-06,-2.999635973162633439e-03,0.000000000000000000e+00,-1.249848322151097266e-04
1.000000000000000056e-01,1.503092074320965052e+09,8.818200971931082271e-06,-1.499817986581316719e-03,0.000000000000000000e+00,-1.499817986581316665e-04
1.166666666666666685e-01,1.503092074338403940e+09,1.451334062605906637e-05,-2.999635973162633439e-03,0.000000000000000000e+00,-1.999757315441755463e-04
1.333333333333333315e-01,1.503092074354696989e+09,2.184245933675090187e-05,0.000000000000000000e+00,0.000000000000000000e+00,-1.999757315441755463e-04
1.499999999999999944e-01,1.503092074371656895e+09,3.081747699355461261e-05,-1.499817986581316719e-03,0.000000000000000000e+00,-2.249726979871974862e-04
1.666666666666666574e-01,1.503092074388346910e+09,4.142271947649717591e-05,0.000000000000000000e+00,0.000000000000000000e+00,-2.249726979871974862e-04
1.833333333333333204e-01,1.503092074404947996e+09,5.364849134855939253e-05,2.999635973162633439e-03,0.000000000000000000e+00,-1.749787651011536064e-04
2.000000000000000111e-01,1.503092074421236038e+09,6.753037552224476850e-05,0.000000000000000000e+00,0.000000000000000000e+00,-1.749787651011536064e-04
2.166666666666666741e-01,1.503092074437614918e+09,8.319238229435474104e-05,1.499817986581316719e-03,0.000000000000000000e+00,-1.499817986581316665e-04
2.333333333333333370e-01,1.503092074453182936e+09,1.008917879401751631e-04,1.499817986581316719e-03,0.000000000000000000e+00,-1.249848322151097266e-04
2.500000000000000000e-01,1.503092074470387936e+09,1.210633050002973734e-04,1.499817986581316719e-03,0.000000000000000000e+00,-9.998786577208778671e-05
2.666666666666666630e-01,1.503092074486162901e+09,1.443601226359816176e-04,0.000000000000000000e+00,0.000000000000000000e+00,-9.998786577208778671e-05
2.833333333333333259e-01,1.503092074503608942e+09,1.716893527455437551e-04,1.499817986581316719e-03,0.000000000000000000e+00,-7.499089932906584681e-05
2.999999999999999889e-01,1.503092074519731998e+09,2.042395190156062572e-04,1.499817986581316719e-03,0.000000000000000000e+00,-4.999393288604390691e-05
3.166666666666666519e-01,1.503092074536839962e+09,2.434979309616407746e-04,0.000000000000000000e+00,0.000000000000000000e+00,-4.999393288604390691e-05
3.333333333333333148e-01,1.503092074552383900e+09,2.912560886301888453e-04,-2.999635973162633439e-03,0.000000000000000000e+00,-9.998786577208778671e-05
3.499999999999999778e-01,1.503092074569588900e+09,3.496016575272619699e-04,-1.499817986581316719e-03,0.000000000000000000e+00,-1.249848322151097266e-04
3.666666666666666408e-01,1.503092074585243940e+09,4.208960254705205800e-04,1.499817986581316719e-03,0.000000000000000000e+00,-9.998786577208778671e-05
3.833333333333333037e-01,1.503092074601917982e+09,5.077369881911939723e-04,0.000000000000000000e+00,0.000000000000000000e+00,-9.998786577208778671e-05
4.000000000000000222e-01,1.503092074618566990e+09,6.129066906540876075e-04,0.000000000000000000e+00,0.000000000000000000e+00,-9.998786577208778671e-05
4.166666666666666852e-01,1.503092074635241985e+09,7.393055560820595198e-04,-2.999635973162633439e-03,0.000000000000000000e+00,-1.499817986581316665e-04
4.333333333333333481e-01,1.503092074651818991e+09,8.898735429339312214e-04,-1.499817986581316719e-03,0.000000000000000000e+00,-1.749787651011536064e-04
4.500000000000000111e-01,1.503092074669637918e+09,1.067500659194303616e-03,0.000000000000000000e+00,0.000000000000000000e+00,-1.749787651011536064e-04
4.666666666666666741e-01,1.503092074686161995e+09,1.274929210894515559e-03,2.999635973162633439e-03,0.000000000000000000e+00,-1.249848322151097266e-04
4.833333333333333370e-01,1.503092074702533960e+09,1.514650746181578529e-03,0.000000000000000000e+00,0.000000000000000000e+00,-1.249848322151097266e-04
5.000000000000000000e-01,1.503092074718375921e+09,1.788801057425762732e-03,-4.499453959743949724e-03,0.000000000000000000e+00,-1.999757315441755734e-04
5.166666666666666075e-01,1.503092074734730005e+09,2.099056904030863376e-03,-7.499089932906584030e-03,0.000000000000000000e+00,-3.249605637592853000e-04
5.333333333333333259e-01,1.503092074751432896e+09,2.446538302962865136e-03,-7.499089932906584030e-03,0.000000000000000000e+00,-4.499453959743950266e-04
5.500000000000000444e-01,1.503092074768090963e+09,2.831720291260549777e-03,-8.998907919487899448e-03,0.000000000000000000e+00,-5.999271946325266660e-04
5.666666666666666519e-01,1.503092074784296036e+09,3.254357987668876195e-03,-8.998907919487899448e-03,0.000000000000000000e+00,-7.499089932906583596e-04
5.833333333333333703e-01,1.503092074800756931e+09,3.713428566145969036e-03,-8.998907919487899448e-03,0.000000000000000000e+00,-8.998907919487900533e-04
5.999999999999999778e-01,1.503092074817229033e+09,4.207093404022396559e-03,-8.998907919487899448e-03,0.000000000000000000e+00,-1.049872590606921747e-03
6.166666666666666963e-01,1.503092074834290028e+09,4.732683188373959342e-03,-8.998907919487899448e-03,0.000000000000000000e+00,-1.199854389265053332e-03
6.333333333333333037e-01,1.503092074850739002e+09,5.286708166604601848e-03,-1.049872590606921660e-02,0.000000000000000000e+00,-1.374833154366206884e-03
6.500000000000000222e-01,1.503092074868218899e+09,5.864895026550029714e-03,-8.998907919487899448e-03,0.000000000000000000e+00,-1.524814953024338469e-03
6.666666666666666297e-01,1.503092074884186983e+09,6.462251106765999273e-03,-1.199854389265053375e-02,0.000000000000000000e+00,-1.724790684568513989e-03
6.833333333333333481e-01,1.503092074901320934e+09,7.073155791636227298e-03,-8.998907919487899448e-03,0.000000000000000000e+00,-1.874772483226645574e-03
6.999999999999999556e-01,1.503092074916246891e+09,7.691478063862907007e-03,-8.998907919487899448e-03,0.000000000000000000e+00,-2.024754281884777376e-03
7.166666666666666741e-01,1.503092074933403969e+09,8.310718296144896725e-03,-8.998907919487899448e-03,0.000000000000000000e+00,-2.174736080542909178e-03
7.333333333333332815e-01,1.503092074949933052e+09,8.924171492935190769e-03,-8.998907919487899448e-03,0.000000000000000000e+00,-2.324717879201040980e-03
7.500000000000000000e-01,1.503092074967246056e+09,9.525108370918132158e-03,-8.998907919487899448e-03,0.000000000000000000e+00,-2.474699677859172782e-03
7.666666666666666075e-01,1.503092074982692003e+09,1.010696992143725846e-02,-8.998907919487899448e-03,0.000000000000000000e+00,-2.624681476517304584e-03
7.833333333333333259e-01,1.503092075001029015e+09,1.066357045615539192e-02,-1.049872590606921660e-02,0.000000000000000000e+00,-2.799660241618458136e-03
8.000000000000000444e-01,1.503092075016766071e+09,1.118930362290468210e-02,-1.049872590606921660e-02,0.000000000000000000e+00,-2.974639006719611688e-03
8.166666666666666519e-01,1.503092075034677029e+09,1.167934551285866596e-02,-8.998907919487899448e-03,0.000000000000000000e+00,-3.124620805377743490e-03
8.333333333333333703e-01,1.503092075051281929e+09,1.212984877966266466e-02,-1.049872590606921660e-02,0.000000000000000000e+00,-3.299599570478897043e-03
8.499999999999999778e-01,1.503092075068613052e+09,1.253812166814301764e-02,-8.998907919487899448e-03,0.000000000000000000e+00,-3.449581369137028845e-03
8.666666666666666963e-01,1.503092075085175037e+09,1.290278601164197674e-02,-8.998907919487899448e-03,0.000000000000000000e+00,-3.599563167795160647e-03
8.833333333333333037e-01,1.503092075102876902e+09,1.322390860431258211e-02,-8.998907919487899448e-03,0.000000000000000000e+00,-3.749544966453292449e-03
9.000000000000000222e-01,1.503092075119466066e+09,1.350310088354657843e-02,-1.049872590606921660e-02,0.000000000000000000e+00,-3.924523731554446435e-03
9.166666666666666297e-01,1.503092075135915995e+09,1.374358255804380285e-02,-8.998907919487899448e-03,0.000000000000000000e+00,-4.074505530212577803e-03
9.333333333333333481e-01,1.503092075151535034e+09,1.395020567323297309e-02,-8.998907919487899448e-03,0.000000000000000000e+00,-4.224487328870709171e-03
9.499999999999999556e-01,1.503092075168489933e+09,1.412943659695855593e-02,-7.499089932906584030e-03,0.000000000000000000e+00,-4.349472161085819223e-03
