# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503092321355508089e+09,0.000000000000000000e+00,-2.999635973162633612e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503092321355962992e+09,5.533874176911749648e-06,-7.324218750000000000e-03,0.000000000000000000e+00,-1.220703125000000000e-04
3.333333333333333287e-02,1.503092321365434885e+09,2.246585738844798167e-05,-2.999635973162633612e-02,0.000000000000000000e+00,-6.220096413604389064e-04
5.000000000000000278e-02,1.503092321381813049e+09,5.127754235841473405e-05,-2.999635973162633612e-02,0.000000000000000000e+00,-1.121948970220877813e-03
6.666666666666666574e-02,1.503092321398535013e+09,9.238118567068819714e-05,-3.149617771820764633e-02,0.000000000000000000e+00,-1.646885265524338469e-03
8.333333333333332871e-02,1.503092321414763927e+09,1.460559333900881445e-04,-3.149617771820764633e-02,0.000000000000000000e+00,-2.171821560827799126e-03
1.000000000000000056e-01,1.503092321431390047e+09,2.123860144856160579e-04,-2.999635973162633612e-02,0.000000000000000000e+00,-2.671760889688238032e-03
1.166666666666666685e-01,1.503092321448069096e+09,2.912036602790000106e-04,-2.999635973162633612e-02,0.000000000000000000e+00,-3.171700218548676939e-03
1.333333333333333315e-01,1.503092321463959932e+09,3.820393804546372827e-04,-2.999635973162633612e-02,0.000000000000000000e+00,-3.671639547409115845e-03
1.499999999999999944e-01,1.503092321480688095e+09,4.840819961801292475e-04,-3.299599570478897043e-02,0.000000000000000000e+00,-4.221572809155598252e-03
1.666666666666666574e-01,1.503092321497309923e+09,5.961505058324608137e-04,-3.299599570478897043e-02,0.000000000000000000e+00,-4.771506070902081093e-03
1.833333333333333204e-01,1.503092321514108896e+09,7.166794494368970009e-04,-3.149617771820764633e-02,0.000000000000000000e+00,-5.296442366205541749e-03
2.000000000000000111e-01,1.503092321530185938e+09,8.437189580923983067e-04,-3.149617771820764633e-02,0.000000000000000000e+00,-5.821378661509002406e-03
2.166666666666666741e-01,1.503092321546828032e+09,9.749501409648655753e-04,-3.149617771820764633e-02,0.000000000000000000e+00,-6.346314956812463062e-03
2.333333333333333370e-01,1.503092321563414097e+09,1.107715893606488287e-03,-3.149617771820764633e-02,0.000000000000000000e+00,-6.871251252115923719e-03
2.500000000000000000e-01,1.503092321579948902e+09,1.239066627642610883e-03,-3.149617771820764633e-02,0.000000000000000000e+00,-7.396187547419384375e-03
2.666666666666666630e-01,1.503092321596544027e+09,1.365819844308707254e-03,-3.149617771820764633e-02,0.000000000000000000e+00,-7.921123842722845032e-03
2.833333333333333259e-01,1.503092321613269091e+09,1.484631924057535930e-03,-2.999635973162633612e-02,0.000000000000000000e+00,-8.421063171583283505e-03
2.999999999999999889e-01,1.503092321629025936e+09,1.592080001974978832e-03,-2.999635973162633612e-02,0.000000000000000000e+00,-8.921002500443721978e-03
3.166666666666666519e-01,1.503092321646090031e+09,1.684751363147112815e-03,-3.149617771820764633e-02,0.000000000000000000e+00,-9.445938795747182634e-03
3.333333333333333148e-01,1.503092321662683010e+09,1.759337440447660906e-03,-3.149617771820764633e-02,0.000000000000000000e+00,-9.970875091050643291e-03
3.499999999999999778e-01,1.503092321678575993e+09,1.812729243806999449e-03,-3.149617771820764633e-02,0.000000000000000000e+00,-1.049581138635410395e-02
3.666666666666666408e-01,1.503092321694350958e+09,1.842110905989324029e-03,-3.149617771820764633e-02,0.000000000000000000e+00,-1.102074768165756460e-02
3.833333333333333037e-01,1.503092321711728096e+09,1.845048002676580919e-03,-3.149617771820764633e-02,0.000000000000000000e+00,-1.154568397696102526e-02
4.000000000000000222e-01,1.503092321728339911e+09,1.819567397677700248e-03,-3.149617771820764633e-02,0.000000000000000000e+00,-1.207062027226448592e-02
4.166666666666666852e-01,1.503092321744977951e+09,1.764225576610288504e-03,-3.149617771820764633e-02,0.000000000000000000e+00,-1.259555656756794657e-02
4.333333333333333481e-01,1.503092321761504889e+09,1.678162759473531343e-03,-3.149617771820764633e-02,0.000000000000000000e+00,-1.312049286287140723e-02
4.500000000000000111e-01,1.503092321778283119e+09,1.561140515049872684e-03,-3.299599570478897043e-02,0.000000000000000000e+00,-1.367042612461789007e-02
4.666666666666666741e-01,1.503092321793674946e+09,1.413561125051614057e-03,-3.149617771820764633e-02,0.000000000000000000e+00,-1.419536241992135073e-02
4.833333333333333370e-01,1.503092321811491966e+09,1.236467546864621070e-03,-2.999635973162633612e-02,0.000000000000000000e+00,-1.469530174878178920e-02
5.000000000000000000e-01,1.503092321828144073e+09,1.031523481118459861e-03,-3.149617771820764633e-02,0.000000000000000000e+00,-1.522023804408524986e-02
