# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503092472755394936e+09,0.000000000000000000e+00,1.199854389265053375e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503092472755892038e+09,1.798929827055640890e-06,2.563476562500000000e-03,0.000000000000000000e+00,4.272460937499999051e-05
3.333333333333333287e-02,1.503092472766434908e+09,7.143096105243524524e-06,1.049872590606921660e-02,1.413869948528467420e-06,2.177269389752957190e-04
5.000000000000000278e-02,1.503092472783441067e+09,1.610466661814614789e-05,1.199854389265053375e-02,5.480904621995249357e-06,4.177940189298378184e-04
6.666666666666666574e-02,1.503092472799942970e+09,2.895384448307132715e-05,1.049872590606921660e-02,1.197178372019448439e-05,5.929723137596612514e-04
8.333333333333332871e-02,1.503092472817306042e+09,4.614755680175652706e-05,8.998907919487899448e-03,2.069039208931063465e-05,7.432989522859481061e-04
1.000000000000000056e-01,1.503092472834084034e+09,6.831024298560356336e-05,1.049872590606921660e-02,3.145911940556328203e-05,9.188020360438610683e-04
1.166666666666666685e-01,1.503092472851064920e+09,9.620762854014538220e-05,1.049872590606921660e-02,4.410249646159308714e-05,1.094515842752707795e-03
1.333333333333333315e-01,1.503092472868141890e+09,1.307146554978873428e-04,1.199854389265053375e-02,5.843004229691513073e-05,1.295465408335165361e-03
1.499999999999999944e-01,1.503092472886486053e+09,1.727789801094829173e-04,1.049872590606921660e-02,7.421922989269736943e-05,1.471681160601197346e-03
1.666666666666666574e-01,1.503092472904185057e+09,2.233816324214081377e-04,1.049872590606921660e-02,9.119947392158423295e-05,1.648179916934377435e-03
1.833333333333333204e-01,1.503092472921243906e+09,2.834965535923031810e-04,1.049872590606921660e-02,1.090380022054298579e-04,1.824975982072288240e-03
2.000000000000000111e-01,1.503092472937514067e+09,3.540507801474801052e-04,1.049872590606921660e-02,1.273283945496202273e-04,2.002076887082602022e-03
2.166666666666666741e-01,1.503092472954251051e+09,4.358870272687663831e-04,8.998907919487899448e-03,1.455824612706091144e-04,2.154485060095243706e-03
2.333333333333333370e-01,1.503092472969405890e+09,5.297303357130522588e-04,8.998907919487899448e-03,1.632259930194410863e-04,2.307187291970365893e-03
2.500000000000000000e-01,1.503092472986617088e+09,6.361602917354371124e-04,1.199854389265053375e-02,1.795987485318640664e-04,2.510156335990072502e-03
2.666666666666666630e-01,1.503092473004301071e+09,7.555901117132752349e-04,8.998907919487899448e-03,1.939588637388215840e-04,2.663370782377184713e-03
2.833333333333333259e-01,1.503092473021289110e+09,8.882536106725638213e-04,1.049872590606921660e-02,2.054916710143152943e-04,2.841774408661910337e-03
2.999999999999999889e-01,1.503092473038965940e+09,1.034200756394932025e-03,1.049872590606921660e-02,2.133227184913829547e-04,3.020308552404587111e-03
3.166666666666666519e-01,1.503092473057197094e+09,1.193302159824387266e-03,1.199854389265053375e-02,2.165345838736542565e-04,3.223893193679990259e-03
3.333333333333333148e-01,1.503092473074162960e+09,1.365262481094094800e-03,1.049872590606921660e-02,2.141868925491650553e-04,3.402441740323630063e-03
3.499999999999999778e-01,1.503092473091692924e+09,1.549642352597834774e-03,8.998907919487899448e-03,2.053387833626603616e-04,3.555845852037805947e-03
3.666666666666666408e-01,1.503092473108769894e+09,1.745888050533747236e-03,1.199854389265053375e-02,1.890729239062381717e-04,3.758972798980418899e-03
3.833333333333333037e-01,1.503092473127155066e+09,1.953367798579231079e-03,1.199854389265053375e-02,1.645200666847985288e-04,3.961690531636008136e-03
4.000000000000000222e-01,1.503092473144855976e+09,2.171413275559406532e-03,1.199854389265053375e-02,1.308830630781853213e-04,4.163847647564820377e-03
4.166666666666666852e-01,1.503092473163182020e+09,2.399364635797831668e-03,8.998907919487899448e-03,8.745921757750530596e-05,4.315287099849243573e-03
4.333333333333333481e-01,1.503092473180347919e+09,2.636617147369856289e-03,1.199854389265053375e-02,3.365987293033690574e-05,4.515823829275591311e-03
4.500000000000000111e-01,1.503092473197035074e+09,2.882667418804716816e-03,1.049872590606921660e-02,-3.097383122698587287e-05,4.690286363856295028e-03
4.666666666666666741e-01,1.503092473212982893e+09,3.137157125635596337e-03,1.049872590606921660e-02,-1.067599882549475742e-04,4.863485795819866460e-03
4.833333333333333370e-01,1.503092473228912115e+09,3.399912168671761614e-03,1.199854389265053375e-02,-1.938705678647713586e-04,5.060230351232962616e-03
5.000000000000000000e-01,1.503092473246584892e+09,3.670975297224232138e-03,1.349836187923184917e-02,-2.923323225330992062e-04,5.280330843844608518e-03
5.166666666666666075e-01,1.503092473263530016e+09,3.950630411085220665e-03,1.349836187923184917e-02,-4.020343976670092464e-04,5.498602968537356223e-03
5.333333333333333259e-01,1.503092473280687094e+09,4.239417010242936372e-03,1.199854389265053375e-02,-5.227428498253062399e-04,5.689866319251109944e-03
5.500000000000000444e-01,1.503092473298091888e+09,4.538133583686351606e-03,1.349836187923184917e-02,-6.541220206403078590e-04,5.903936983560969035e-03
5.666666666666666519e-01,1.503092473313997984e+09,4.847829108185540935e-03,1.349836187923184917e-02,-7.957624452834771798e-04,6.115646974126775527e-03
5.833333333333333703e-01,1.503092473331983089e+09,5.169782252275831672e-03,1.199854389265053375e-02,-9.472147022102742368e-04,6.299835793967446633e-03
5.999999999999999778e-01,1.503092473347532034e+09,5.505468335561657794e-03,1.349836187923184917e-02,-1.108028344766271356e-03,6.506341352875206173e-03
6.166666666666666963e-01,1.503092473365031958e+09,5.856514563162844647e-03,1.199854389265053375e-02,-1.277794804439103069e-03,6.685020504345396894e-03
6.333333333333333037e-01,1.503092473381669998e+09,6.224644522992122363e-03,1.199854389265053375e-02,-1.456192929342587728e-03,6.860726353733862665e-03
6.500000000000000222e-01,1.503092473398533106e+09,6.611613382549182995e-03,1.349836187923184917e-02,-1.643035628704314459e-03,7.058315124575988316e-03
6.666666666666666297e-01,1.503092473414624929e+09,7.019135635237815606e-03,1.199854389265053375e-02,-1.838315942725805060e-03,7.227652257074734105e-03
6.833333333333333481e-01,1.503092473432219028e+09,7.448807607868692879e-03,1.349836187923184917e-02,-2.042250754190880549e-03,7.418587442492083697e-03
6.999999999999999556e-01,1.503092473447052956e+09,7.902027236408499383e-03,1.349836187923184917e-02,-2.255320309322456866e-03,7.605971468657240185e-03
