# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503092780664035082e+09,-0.000000000000000000e+00,-7.499089932906584030e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503092780664529085e+09,-1.798929827055640890e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.333333333333333287e-02,1.503092780674190044e+09,-7.143096105243524524e-06,-1.499817986581316806e-02,1.413869948528467420e-06,-2.499460999310773243e-04
5.000000000000000278e-02,1.503092780691953897e+09,-1.610466661814614789e-05,-2.549690577188238466e-02,5.480904621995249357e-06,-6.748031810520837767e-04
6.666666666666666574e-02,1.503092780708445072e+09,-2.895384448307132715e-05,-3.149617771820764633e-02,1.197178372019448439e-05,-1.199539946626874444e-03
8.333333333333332871e-02,1.503092780725545883e+09,-4.614755680175652706e-05,-3.299599570478897043e-02,2.069039208931063465e-05,-1.749128368505202015e-03
1.000000000000000056e-01,1.503092780741403103e+09,-6.831024298560356336e-05,-3.149617771820764633e-02,3.145911940556328203e-05,-2.273540345151903262e-03
1.166666666666666685e-01,1.503092780757882118e+09,-9.620762854014538220e-05,-3.299599570478897043e-02,4.410249646159308714e-05,-2.822738565290692711e-03
1.333333333333333315e-01,1.503092780773776054e+09,-1.307146554978873428e-04,-3.599563167795159779e-02,5.843004229691513073e-05,-3.421691925884937438e-03
1.499999999999999944e-01,1.503092780789747000e+09,-1.727789801094829173e-04,-3.449581369137028758e-02,7.421922989269736943e-05,-3.995385166909564030e-03
1.666666666666666574e-01,1.503092780806675911e+09,-2.233816324214081377e-04,-3.449581369137028758e-02,9.119947392158423295e-05,-4.568795403867042734e-03
1.833333333333333204e-01,1.503092780823239088e+09,-2.834965535923031810e-04,-3.449581369137028758e-02,1.090380022054298579e-04,-5.141908332019790723e-03
2.000000000000000111e-01,1.503092780838874102e+09,-3.540507801474801052e-04,-3.449581369137028758e-02,1.273283945496202273e-04,-5.714716420300134866e-03
