# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503699897785039902e+09,0.000000000000000000e+00,1.949763382555711605e-02,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503699897785501003e+09,0.000000000000000000e+00,4.394531250000000000e-03,0.000000000000000000e+00,7.324218749999999729e-05
3.333333333333333287e-02,1.503699897795243025e+09,0.000000000000000000e+00,2.099745181213843320e-02,-5.714304437118248311e-07,4.231901938615786917e-04
5.000000000000000278e-02,1.503699897811439037e+09,0.000000000000000000e+00,1.949763382555711605e-02,-2.302512093967138948e-06,7.481123824192978302e-04
6.666666666666666574e-02,1.503699897828150988e+09,0.000000000000000000e+00,1.949763382555711605e-02,-5.186605858555814017e-06,1.072986502747607165e-03
8.333333333333332871e-02,1.503699897844829082e+09,0.000000000000000000e+00,1.799781583897579890e-02,-9.177102081233194959e-06,1.372797148362516536e-03
1.000000000000000056e-01,1.503699897860675097e+09,0.000000000000000000e+00,1.799781583897579890e-02,-1.419612682244029663e-05,1.672524143565072476e-03
1.166666666666666685e-01,1.503699897876907110e+09,0.000000000000000000e+00,2.099745181213843320e-02,-2.014969283169138080e-05,2.022145845553518194e-03
1.333333333333333315e-01,1.503699897894025087e+09,0.000000000000000000e+00,2.249726979871975036e-02,-2.694859470604463341e-05,2.396651198953746783e-03
1.499999999999999944e-01,1.503699897911616087e+09,0.000000000000000000e+00,1.499817986581316806e-02,-3.453398915671436481e-05,2.646045296898021006e-03
1.666666666666666574e-01,1.503699897928023100e+09,0.000000000000000000e+00,1.799781583897579890e-02,-4.290628993505441840e-05,2.945293789382033567e-03
1.833333333333333204e-01,1.503699897945529938e+09,0.000000000000000000e+00,1.949763382555711605e-02,-5.215575692449811430e-05,3.269385090525910639e-03
2.000000000000000111e-01,1.503699897961409092e+09,0.000000000000000000e+00,2.099745181213843320e-02,-6.249298190959403591e-05,3.618301071029724619e-03
2.166666666666666741e-01,1.503699897978372097e+09,0.000000000000000000e+00,1.199854389265053375e-02,-7.427737844587753479e-05,3.817038846266468822e-03
2.333333333333333370e-01,1.503699897994858027e+09,0.000000000000000000e+00,2.099745181213843320e-02,-8.804177571000245024e-05,4.165529013540275952e-03
2.500000000000000000e-01,1.503699898010622978e+09,0.000000000000000000e+00,2.099745181213843320e-02,-1.045112983761726627e-04,4.513744688769647309e-03
2.666666666666666630e-01,1.503699898026418924e+09,0.000000000000000000e+00,1.949763382555711605e-02,-1.246148850246647159e-04,4.836628337778521233e-03
2.833333333333333259e-01,1.503699898043787003e+09,0.000000000000000000e+00,1.949763382555711605e-02,-1.494880513502020879e-04,5.159097434015303373e-03
2.999999999999999889e-01,1.503699898060417891e+09,0.000000000000000000e+00,2.099745181213843320e-02,-1.804658330804128827e-04,5.506047200332936896e-03
3.166666666666666519e-01,1.503699898076993942e+09,0.000000000000000000e+00,1.649799785239448521e-02,-2.190652354552083945e-04,5.777362743948591395e-03
3.333333333333333148e-01,1.503699898093844891e+09,0.000000000000000000e+00,1.949763382555711605e-02,-2.669569570013582017e-04,6.097874025091187464e-03
3.499999999999999778e-01,1.503699898111459970e+09,0.000000000000000000e+00,1.949763382555711605e-02,-3.259266285284376664e-04,6.417402478374998470e-03
3.666666666666666408e-01,1.503699898128146887e+09,0.000000000000000000e+00,2.099745181213843320e-02,-3.978262954429972651e-04,6.760729570319922409e-03
3.833333333333333037e-01,1.503699898144371033e+09,0.000000000000000000e+00,1.949763382555711605e-02,-4.845173532557454660e-04,7.077614844858278256e-03
4.000000000000000222e-01,1.503699898160082102e+09,0.000000000000000000e+00,1.649799785239448521e-02,-5.878066028298882919e-04,7.342784699017688120e-03
4.166666666666666852e-01,1.503699898177023888e+09,0.000000000000000000e+00,1.949763382555711605e-02,-7.093775041618185975e-04,7.655922304374276552e-03
4.333333333333333481e-01,1.503699898193804026e+09,0.000000000000000000e+00,2.099745181213843320e-02,-8.507190570829036144e-04,7.991701183625202209e-03
4.500000000000000111e-01,1.503699898211220980e+09,0.000000000000000000e+00,1.949763382555711605e-02,-1.013055007817564640e-03,8.299777497254193920e-03
4.666666666666666741e-01,1.503699898227785110e+09,0.000000000000000000e+00,1.799781583897579890e-02,-1.197276257879919831e-03,8.579786490272458752e-03
4.833333333333333370e-01,1.503699898244645119e+09,0.000000000000000000e+00,1.649799785239448521e-02,-1.403879425422334968e-03,8.831355130721994795e-03
5.000000000000000000e-01,1.503699898260406971e+09,0.000000000000000000e+00,1.499817986581316806e-02,-1.632914471456205522e-03,9.054109553961277312e-03
5.166666666666666075e-01,1.503699898277007103e+09,0.000000000000000000e+00,1.949763382555711605e-02,-1.883944150815729289e-03,9.347671048540300356e-03
5.333333333333333259e-01,1.503699898293823957e+09,0.000000000000000000e+00,1.649799785239448521e-02,-2.156017780906799818e-03,9.586704049731761823e-03
