# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503700052191633940e+09,0.000000000000000000e+00,3.449581369137028758e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503700052192102909e+09,0.000000000000000000e+00,9.155273437500000000e-03,0.000000000000000000e+00,1.525878906250000000e-04
3.333333333333333287e-02,1.503700052200445890e+09,0.000000000000000000e+00,2.699672375846369834e-02,3.817254851680025241e-07,6.025396486908144150e-04
5.000000000000000278e-02,1.503700052216753960e+09,0.000000000000000000e+00,1.949763382555711605e-02,1.300879160145474001e-06,9.275218937694354676e-04
6.666666666666666574e-02,1.503700052233340025e+09,0.000000000000000000e+00,1.199854389265053375e-02,2.492678168490824970e-06,1.127539169949752507e-03
8.333333333333332871e-02,1.503700052249613047e+09,0.000000000000000000e+00,-4.499453959743949724e-03,3.823260550326531765e-06,1.052611991629858693e-03
1.000000000000000056e-01,1.503700052265491962e+09,0.000000000000000000e+00,-1.649799785239448521e-02,5.328717903556420757e-06,7.777341727216765654e-04
1.166666666666666685e-01,1.503700052281723022e+09,0.000000000000000000e+00,-1.349836187923184917e-02,7.251277399833045257e-06,5.528823293578096713e-04
1.333333333333333315e-01,1.503700052298234940e+09,0.000000000000000000e+00,-1.199854389265053375e-02,1.007052534532055656e-05,3.530744399027227975e-04
1.499999999999999944e-01,1.503700052315422058e+09,0.000000000000000000e+00,-1.649799785239448521e-02,1.452765292379677706e-05,7.834993657821132584e-05
1.666666666666666574e-01,1.503700052331968069e+09,0.000000000000000000e+00,-1.349836187923184917e-02,2.164088504001222748e-05,-1.462620799916526009e-04
1.833333333333333204e-01,1.503700052348767042e+09,0.000000000000000000e+00,-1.199854389265053375e-02,3.271052087503867475e-05,-3.456926361879108199e-04
2.000000000000000111e-01,1.503700052365274906e+09,0.000000000000000000e+00,-1.199854389265053375e-02,4.931236195258694631e-05,-5.448464950328765419e-04
2.166666666666666741e-01,1.503700052381721020e+09,0.000000000000000000e+00,-1.499817986581316806e-02,7.327871900694729536e-05,-7.935948474796469029e-04
