# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503700310888770103e+09,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503700310889270067e+09,2.147917641751685147e-06,1.464843750000000000e-03,0.000000000000000000e+00,2.441406249999999797e-05
3.333333333333333287e-02,1.503700310897834063e+09,8.764447890478153669e-06,2.999635973162633439e-03,-2.036121991559252359e-06,7.437406001951789617e-05
5.000000000000000278e-02,1.503700310915776968e+09,2.010613480534787772e-05,2.999635973162633439e-03,-8.870962340705919414e-06,1.242201435332166706e-04
6.666666666666666574e-02,1.503700310931581974e+09,3.641188470135284743e-05,5.999271946325266877e-03,-2.149838682797131008e-05,2.238497028581715978e-04
8.333333333333332871e-02,1.503700310947418928e+09,5.788539582759026761e-05,4.499453959743949724e-03,-4.077125756175501819e-05,2.981610812278748159e-04
1.000000000000000056e-01,1.503700310964317083e+09,8.467853633946515466e-05,1.499817986581316719e-03,-6.738982318432458051e-05,3.220348839511579984e-04
1.166666666666666685e-01,1.503700310981175900e+09,1.168766158252789247e-04,5.999271946325266877e-03,-1.018961169972662468e-04,4.203244811066246685e-04
1.333333333333333315e-01,1.503700310997860909e+09,1.544864480217000185e-04,2.999635973162633439e-03,-1.446742750637536659e-04,4.679071760749393418e-04
1.499999999999999944e-01,1.503700311014740944e+09,1.974280167416706932e-04,7.499089932906584030e-03,-1.959564292923599938e-04,5.896260678018431286e-04
1.666666666666666574e-01,1.503700311030776024e+09,2.455304358554707901e-04,7.499089932906584030e-03,-2.558335955227125928e-04,7.103470067582409470e-04
1.833333333333333204e-01,1.503700311048362970e+09,2.985327411237056528e-04,8.998907919487899448e-03,-3.242707734298126373e-04,8.549242925258756631e-04
2.000000000000000111e-01,1.503700311065248013e+09,3.560898716819140670e-04,5.999271946325266877e-03,-4.011253119695700289e-04,9.482267364318039231e-04
2.166666666666666741e-01,1.503700311082066059e+09,4.177839979613533336e-04,5.999271946325266877e-03,-4.861674777229892824e-04,1.040111810908508558e-03
2.333333333333333370e-01,1.503700311098033905e+09,4.831411375935639038e-04,4.499453959743949724e-03,-5.791020985136316728e-04,1.105451008595680507e-03
