# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503700362093358994e+09,-0.000000000000000000e+00,1.949763382555711605e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503700362093887091e+09,-2.147917641751685147e-06,5.126953125000000000e-03,0.000000000000000000e+00,8.544921874999998103e-05
3.333333333333333287e-02,1.503700362104566097e+09,-8.764447890478153669e-06,1.949763382555711605e-02,2.036121991559252359e-06,4.104437178758111779e-04
5.000000000000000278e-02,1.503700362121459961e+09,-2.010613480534787772e-05,2.099745181213843320e-02,8.870962340705919414e-06,7.605490974504634013e-04
6.666666666666666574e-02,1.503700362138088942e+09,-3.641188470135284743e-05,2.099745181213843320e-02,2.149838682797131008e-05,1.110864934099903365e-03
8.333333333333332871e-02,1.503700362155390024e+09,-5.788539582759026761e-05,1.949763382555711605e-02,4.077125756175501819e-05,1.436505018818551131e-03
1.000000000000000056e-01,1.503700362171293974e+09,-8.467853633946515466e-05,2.099745181213843320e-02,6.738982318432458051e-05,1.787585712740596966e-03
1.166666666666666685e-01,1.503700362188370943e+09,-1.168766158252789247e-04,2.399708778530106751e-02,1.018961169972662468e-04,2.189235444445569202e-03
1.333333333333333315e-01,1.503700362204654932e+09,-1.544864480217000185e-04,2.099745181213843320e-02,1.446742750637536659e-04,2.541604212565605567e-03
1.499999999999999944e-01,1.503700362222254038e+09,-1.974280167416706932e-04,1.649799785239448521e-02,1.959564292923599938e-04,2.819836783927053090e-03
1.666666666666666574e-01,1.503700362238842010e+09,-2.455304358554707901e-04,1.799781583897579890e-02,2.558335955227125928e-04,3.124064274502028060e-03
1.833333333333333204e-01,1.503700362256522894e+09,-2.985327411237056528e-04,1.649799785239448521e-02,3.242707734298126373e-04,3.404435418265766566e-03
2.000000000000000111e-01,1.503700362273089886e+09,-3.560898716819140670e-04,1.799781583897579890e-02,4.011253119695700289e-04,3.711084437448189562e-03
2.166666666666666741e-01,1.503700362290191889e+09,-4.177839979613533336e-04,1.799781583897579890e-02,4.861674777229892824e-04,4.019150826059835965e-03
2.333333333333333370e-01,1.503700362306886911e+09,-4.831411375935639038e-04,1.799781583897579890e-02,5.791020985136316728e-04,4.328766125017992870e-03
2.500000000000000000e-01,1.503700362324990034e+09,-5.516527788195227855e-04,1.799781583897579890e-02,6.795901435750629615e-04,4.640056224727173544e-03
2.666666666666666630e-01,1.503700362341392994e+09,-6.228020099383184969e-04,1.949763382555711605e-02,7.872691445820033255e-04,4.978137940896158395e-03
2.833333333333333259e-01,1.503700362358436108e+09,-6.960934413600717045e-04,1.949763382555711605e-02,9.017714570123564486e-04,5.318128028938983246e-03
2.999999999999999889e-01,1.503700362374923944e+09,-7.710860117291568538e-04,1.949763382555711605e-02,1.022739504360376103e-03,5.660134251104274351e-03
3.166666666666666519e-01,1.503700362391035080e+09,-8.474275988308622738e-04,1.949763382555711605e-02,1.149837332414372412e-03,6.004258770403799080e-03
3.333333333333333148e-01,1.503700362407716036e+09,-9.248902164255929856e-04,1.799781583897579890e-02,1.282758019077282667e-03,6.325601668038017406e-03
3.499999999999999778e-01,1.503700362425235033e+09,-1.003404475733901766e-03,1.799781583897579890e-02,1.421226727474051528e-03,6.649252377478848119e-03
3.666666666666666408e-01,1.503700362441886902e+09,-1.083091929899599381e-03,2.099745181213843320e-02,1.564999445648408444e-03,7.025293231775295300e-03
3.833333333333333037e-01,1.503700362458867073e+09,-1.164293904993369579e-03,1.949763382555711605e-02,1.713857713572878791e-03,7.378818090760795242e-03
4.000000000000000222e-01,1.503700362475543976e+09,-1.247595454176688660e-03,1.799781583897579890e-02,1.867599885772813339e-03,7.709908352839938382e-03
4.166666666666666852e-01,1.503700362493547916e+09,-1.333843153197764074e-03,1.649799785239448521e-02,2.026029704078251802e-03,8.018642145447818156e-03
4.333333333333333481e-01,1.503700362510267019e+09,-1.424155584535151267e-03,1.649799785239448521e-02,2.188943148996645802e-03,8.330091162137670882e-03
4.500000000000000111e-01,1.503700362526264906e+09,-1.519925531754505541e-03,1.499817986581316806e-02,2.356114690170706041e-03,8.619329404737401806e-03
4.666666666666666741e-01,1.503700362542973995e+09,-1.622813120971943043e-03,1.499817986581316806e-02,2.527284158082283242e-03,8.911420471802326132e-03
4.833333333333333370e-01,1.503700362560471058e+09,-1.734729397244964529e-03,1.799781583897579890e-02,2.702145504188221969e-03,9.256419827521726595e-03
