# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503700457621463060e+09,-0.000000000000000000e+00,-2.249726979871975036e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503700457621934891e+09,-5.533874176911749648e-06,1.831054687500000000e-03,0.000000000000000000e+00,3.051757812500000000e-05
3.333333333333333287e-02,1.503700457629942894e+09,-2.246585738844798167e-05,-5.249362953034608648e-02,0.000000000000000000e+00,-8.443762473807679778e-04
5.000000000000000278e-02,1.503700457646296978e+09,-5.127754235841473405e-05,-9.148889718146031858e-02,0.000000000000000000e+00,-2.369191200405106664e-03
6.666666666666666574e-02,1.503700457662910938e+09,-9.238118567068819714e-05,-8.998907919487900142e-02,0.000000000000000000e+00,-3.869009186986423383e-03
8.333333333333332871e-02,1.503700457680491924e+09,-1.460559333900881445e-04,-9.598835114120427003e-02,0.000000000000000000e+00,-5.468815039339827537e-03
1.000000000000000056e-01,1.503700457696897030e+09,-2.123860144856160579e-04,-9.148889718146031858e-02,0.000000000000000000e+00,-6.993629992364166006e-03
1.166666666666666685e-01,1.503700457714277983e+09,-2.912036602790000106e-04,-8.698944322171636712e-02,0.000000000000000000e+00,-8.443454046059438792e-03
1.333333333333333315e-01,1.503700457730171919e+09,-3.820393804546372827e-04,-8.099017127539109850e-02,0.000000000000000000e+00,-9.793290233982624576e-03
1.499999999999999944e-01,1.503700457746067047e+09,-4.840819961801292475e-04,-8.248998926197241566e-02,0.000000000000000000e+00,-1.116812338834883081e-02
1.666666666666666574e-01,1.503700457762720108e+09,-5.961505058324608137e-04,-8.099017127539109850e-02,0.000000000000000000e+00,-1.251795957627201486e-02
1.833333333333333204e-01,1.503700457780481100e+09,-7.166794494368970009e-04,-7.649071731564716092e-02,0.000000000000000000e+00,-1.379280486486613409e-02
2.000000000000000111e-01,1.503700457796338081e+09,-8.437189580923983067e-04,-8.248998926197241566e-02,0.000000000000000000e+00,-1.516763801923234033e-02
2.166666666666666741e-01,1.503700457813390017e+09,-9.749501409648655753e-04,-8.099017127539109850e-02,0.000000000000000000e+00,-1.651747420715552611e-02
2.333333333333333370e-01,1.503700457830004930e+09,-1.107715893606488287e-03,-8.099017127539109850e-02,0.000000000000000000e+00,-1.786731039507871016e-02
2.500000000000000000e-01,1.503700457846349001e+09,-1.239066627642610883e-03,-8.248998926197241566e-02,0.000000000000000000e+00,-1.924214354944491639e-02
2.666666666666666630e-01,1.503700457862999916e+09,-1.365819844308707254e-03,-8.248998926197241566e-02,0.000000000000000000e+00,-2.061697670381112263e-02
2.833333333333333259e-01,1.503700457880000114e+09,-1.484631924057535930e-03,-8.099017127539109850e-02,0.000000000000000000e+00,-2.196681289173430668e-02
2.999999999999999889e-01,1.503700457896157026e+09,-1.592080001974978832e-03,-8.248998926197241566e-02,0.000000000000000000e+00,-2.334164604610051291e-02
3.166666666666666519e-01,1.503700457913522005e+09,-1.684751363147112815e-03,-8.398980724855373281e-02,0.000000000000000000e+00,-2.474147616690974133e-02
3.333333333333333148e-01,1.503700457930207968e+09,-1.759337440447660906e-03,-8.099017127539109850e-02,0.000000000000000000e+00,-2.609131235483292538e-02
3.499999999999999778e-01,1.503700457947330952e+09,-1.812729243806999449e-03,-8.099017127539109850e-02,0.000000000000000000e+00,-2.744114854275610943e-02
3.666666666666666408e-01,1.503700457963248014e+09,-1.842110905989324029e-03,-7.949035328880978135e-02,0.000000000000000000e+00,-2.876598776423627130e-02
3.833333333333333037e-01,1.503700457982007980e+09,-1.845048002676580919e-03,-8.248998926197241566e-02,0.000000000000000000e+00,-3.014082091860247753e-02
4.000000000000000222e-01,1.503700457995594025e+09,-1.819567397677700248e-03,-8.248998926197241566e-02,0.000000000000000000e+00,-3.151565407296868376e-02
4.166666666666666852e-01,1.503700458012382030e+09,-1.764225576610288504e-03,-8.099017127539109850e-02,0.000000000000000000e+00,-3.286549026089186781e-02
4.333333333333333481e-01,1.503700458029032946e+09,-1.678162759473531343e-03,-8.099017127539109850e-02,0.000000000000000000e+00,-3.421532644881505186e-02
4.500000000000000111e-01,1.503700458046098948e+09,-1.561140515049872684e-03,-8.248998926197241566e-02,0.000000000000000000e+00,-3.559015960318125810e-02
4.666666666666666741e-01,1.503700458062865019e+09,-1.413561125051614057e-03,-8.248998926197241566e-02,0.000000000000000000e+00,-3.696499275754746433e-02
4.833333333333333370e-01,1.503700458080176115e+09,-1.236467546864621070e-03,-8.248998926197241566e-02,0.000000000000000000e+00,-3.833982591191367056e-02
5.000000000000000000e-01,1.503700458095933914e+09,-1.031523481118459861e-03,-8.099017127539109850e-02,0.000000000000000000e+00,-3.968966209983685461e-02
5.166666666666666075e-01,1.503700458112761021e+09,-8.009737422133024996e-04,-8.248998926197241566e-02,0.000000000000000000e+00,-4.106449525420306085e-02
5.333333333333333259e-01,1.503700458129435062e+09,-5.475858327473990964e-04,-8.248998926197241566e-02,0.000000000000000000e+00,-4.243932840856926708e-02
5.500000000000000444e-01,1.503700458145838976e+09,-2.745743119843295152e-04,-7.949035328880978135e-02,0.000000000000000000e+00,-4.376416763004942895e-02
5.666666666666666519e-01,1.503700458162828922e+09,1.448980055016158534e-05,-7.649071731564716092e-02,0.000000000000000000e+00,-4.503901291864354645e-02
