# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503700816996872902e+09,0.000000000000000000e+00,4.199490362427686641e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503700816997390985e+09,5.533874176911749648e-06,1.025390625000000000e-02,0.000000000000000000e+00,1.708984374999999621e-04
3.333333333333333287e-02,1.503700817003988981e+09,2.246585738844798167e-05,4.199490362427686641e-02,0.000000000000000000e+00,8.708134979046143606e-04
5.000000000000000278e-02,1.503700817020951033e+09,5.127754235841473405e-05,4.349472161085818356e-02,0.000000000000000000e+00,1.595725524752250862e-03
6.666666666666666574e-02,1.503700817036624908e+09,9.238118567068819714e-05,3.899526765111423210e-02,0.000000000000000000e+00,2.245646652270821136e-03
8.333333333333332871e-02,1.503700817054352999e+09,1.460559333900881445e-04,4.049508563769554925e-02,0.000000000000000000e+00,2.920564746232413595e-03
1.000000000000000056e-01,1.503700817070118904e+09,2.123860144856160579e-04,4.349472161085818356e-02,0.000000000000000000e+00,3.645476773080049988e-03
1.166666666666666685e-01,1.503700817086321115e+09,2.912036602790000106e-04,4.199490362427686641e-02,0.000000000000000000e+00,4.345391833484664630e-03
1.333333333333333315e-01,1.503700817102983952e+09,3.820393804546372827e-04,3.299599570478897043e-02,0.000000000000000000e+00,4.895325095231147471e-03
1.499999999999999944e-01,1.503700817120008945e+09,4.840819961801292475e-04,2.699672375846369834e-02,0.000000000000000000e+00,5.345270491205542443e-03
1.666666666666666574e-01,1.503700817136672020e+09,5.961505058324608137e-04,2.999635973162633612e-02,0.000000000000000000e+00,5.845209820065980916e-03
1.833333333333333204e-01,1.503700817154027939e+09,7.166794494368970009e-04,2.249726979871975036e-02,0.000000000000000000e+00,6.220164316711310204e-03
2.000000000000000111e-01,1.503700817170808077e+09,8.437189580923983067e-04,2.699672375846369834e-02,0.000000000000000000e+00,6.670109712685705176e-03
2.166666666666666741e-01,1.503700817188507080e+09,9.749501409648655753e-04,2.849654174504501897e-02,0.000000000000000000e+00,7.145052075103122333e-03
2.333333333333333370e-01,1.503700817204092979e+09,1.107715893606488287e-03,2.399708778530106751e-02,0.000000000000000000e+00,7.545003538191473805e-03
2.500000000000000000e-01,1.503700817221497059e+09,1.239066627642610883e-03,2.699672375846369834e-02,0.000000000000000000e+00,7.994948934165867910e-03
2.666666666666666630e-01,1.503700817237615108e+09,1.365819844308707254e-03,2.699672375846369834e-02,0.000000000000000000e+00,8.444894330140263750e-03
2.833333333333333259e-01,1.503700817255619049e+09,1.484631924057535930e-03,2.699672375846369834e-02,0.000000000000000000e+00,8.894839726114659589e-03
2.999999999999999889e-01,1.503700817271296024e+09,1.592080001974978832e-03,2.099745181213843320e-02,0.000000000000000000e+00,9.244797256316966694e-03
3.166666666666666519e-01,1.503700817288152933e+09,1.684751363147112815e-03,2.099745181213843320e-02,0.000000000000000000e+00,9.594754786519273798e-03
3.333333333333333148e-01,1.503700817304188967e+09,1.759337440447660906e-03,2.549690577188238466e-02,0.000000000000000000e+00,1.001970321605064745e-02
3.499999999999999778e-01,1.503700817320981979e+09,1.812729243806999449e-03,2.399708778530106751e-02,0.000000000000000000e+00,1.041965467913899893e-02
3.666666666666666408e-01,1.503700817336779118e+09,1.842110905989324029e-03,2.549690577188238466e-02,0.000000000000000000e+00,1.084460310867037258e-02
