# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503701129953115940e+09,-0.000000000000000000e+00,-5.999271946325267224e-02,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503701129953632116e+09,-1.798929827055640890e-06,-1.428222656250000000e-02,0.000000000000000000e+00,-2.380371093749999675e-04
3.333333333333333287e-02,1.503701129963222980e+09,-7.143096105243524524e-06,-6.149253744983398939e-02,-1.413869948528467420e-06,-1.262936298038041822e-03
5.000000000000000278e-02,1.503701129980082989e+09,-1.610466661814614789e-05,-5.999271946325267224e-02,-5.480904621995249357e-06,-2.262906304169286405e-03
6.666666666666666574e-02,1.503701129996695995e+09,-2.895384448307132715e-05,-5.999271946325267224e-02,-1.197178372019448439e-05,-3.262984491618834207e-03
8.333333333333332871e-02,1.503701130012572050e+09,-4.614755680175652706e-05,-5.849290147667134815e-02,-2.069039208931063465e-05,-4.238211022764845105e-03
1.000000000000000056e-01,1.503701130029155970e+09,-6.831024298560356336e-05,-5.849290147667134815e-02,-3.145911940556328203e-05,-5.213617032699460578e-03
1.166666666666666685e-01,1.503701130046118975e+09,-9.620762854014538220e-05,-5.699308349009003793e-02,-4.410249646159308714e-05,-6.164236799141987848e-03
1.333333333333333315e-01,1.503701130062972069e+09,-1.307146554978873428e-04,-5.699308349009003793e-02,-5.843004229691513073e-05,-7.115095358015103774e-03
1.499999999999999944e-01,1.503701130081115007e+09,-1.727789801094829173e-04,-5.399344751692739669e-02,-7.421922989269736943e-05,-8.016223137128771284e-03
1.666666666666666574e-01,1.503701130097162962e+09,-2.233816324214081377e-04,-5.399344751692739669e-02,-9.119947392158423295e-05,-8.917633920309586681e-03
1.833333333333333204e-01,1.503701130114160061e+09,-2.834965535923031810e-04,-5.549326550350872078e-02,-1.090380022054298579e-04,-9.844338978738155846e-03
2.000000000000000111e-01,1.503701130130198956e+09,-3.540507801474801052e-04,-5.399344751692739669e-02,-1.273283945496202273e-04,-1.074635191059610667e-02
2.166666666666666741e-01,1.503701130146585941e+09,-4.358870272687663831e-04,-5.399344751692739669e-02,-1.455824612706091144e-04,-1.164866907689940737e-02
2.333333333333333370e-01,1.503701130163239956e+09,-5.297303357130522588e-04,-5.549326550350872078e-02,-1.632259930194410863e-04,-1.257627726850821075e-02
2.500000000000000000e-01,1.503701130180526018e+09,-6.361602917354371124e-04,-5.099381154376476932e-02,-1.795987485318640664e-04,-1.342916744004648763e-02
2.666666666666666630e-01,1.503701130197350025e+09,-7.555901117132752349e-04,-5.249362953034608648e-02,-1.939588637388215840e-04,-1.430729391328123580e-02
2.833333333333333259e-01,1.503701130213464022e+09,-8.882536106725638213e-04,-3.749544966453291495e-02,-2.054916710143152943e-04,-1.493564293554035596e-02
2.999999999999999889e-01,1.503701130229815006e+09,-1.034200756394932025e-03,-2.699672375846369834e-02,-2.133227184913829547e-04,-1.538914371015627329e-02
3.166666666666666519e-01,1.503701130246797085e+09,-1.193302159824387266e-03,-2.249726979871975036e-02,-2.165345838736542565e-04,-1.576770711653283086e-02
