# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503701178709405899e+09,0.000000000000000000e+00,-3.299599570478897043e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503701178709952116e+09,1.798929827055640890e-06,-8.056640625000000000e-03,0.000000000000000000e+00,-1.342773437499999837e-04
3.333333333333333287e-02,1.503701178720642090e+09,7.143096105243524524e-06,-3.299599570478897043e-02,1.413869948528467420e-06,-6.841870409973406682e-04
5.000000000000000278e-02,1.503701178738724947e+09,1.610466661814614789e-05,-3.449581369137028758e-02,5.480904621995249357e-06,-1.259025920776478923e-03
6.666666666666666574e-02,1.503701178755327940e+09,2.895384448307132715e-05,-3.299599570478897043e-02,1.197178372019448439e-05,-1.808759652794291774e-03
8.333333333333332871e-02,1.503701178771514893e+09,4.614755680175652706e-05,-3.449581369137028758e-02,2.069039208931063465e-05,-2.383345041115641529e-03
1.000000000000000056e-01,1.503701178788434029e+09,6.831024298560356336e-05,-3.299599570478897043e-02,3.145911940556328203e-05,-2.932753984205364959e-03
1.166666666666666685e-01,1.503701178804430008e+09,9.620762854014538220e-05,-3.299599570478897043e-02,4.410249646159308714e-05,-3.481952204344154408e-03
1.333333333333333315e-01,1.503701178821100950e+09,1.307146554978873428e-04,-2.999635973162633612e-02,5.843004229691513073e-05,-3.980917699166311267e-03
1.499999999999999944e-01,1.503701178838156939e+09,1.727789801094829173e-04,-1.799781583897579890e-02,7.421922989269736943e-05,-4.279644309317696439e-03
1.666666666666666574e-01,1.503701178854887009e+09,2.233816324214081377e-04,-1.049872590606921660e-02,9.119947392158423295e-05,-4.453103083186823671e-03
1.833333333333333204e-01,1.503701178872773886e+09,2.834965535923031810e-04,4.499453959743949724e-03,1.090380022054298579e-04,-4.376294883821000951e-03
2.000000000000000111e-01,1.503701178889447927e+09,3.540507801474801052e-04,7.499089932906584030e-03,1.273283945496202273e-04,-4.249187911696730886e-03
2.166666666666666741e-01,1.503701178906653881e+09,4.358870272687663831e-04,8.998907919487899448e-03,1.455824612706091144e-04,-4.096779738684088769e-03
2.333333333333333370e-01,1.503701178923547029e+09,5.297303357130522588e-04,7.499089932906584030e-03,1.632259930194410863e-04,-3.969074473251988332e-03
2.500000000000000000e-01,1.503701178940525055e+09,6.361602917354371124e-04,7.499089932906584030e-03,1.795987485318640664e-04,-3.841096328561347407e-03
2.666666666666666630e-01,1.503701178957253933e+09,7.555901117132752349e-04,5.999271946325266877e-03,1.939588637388215840e-04,-3.737875815060279130e-03
2.833333333333333259e-01,1.503701178973659039e+09,8.882536106725638213e-04,7.499089932906584030e-03,2.054916710143152943e-04,-3.609466121661597440e-03
2.999999999999999889e-01,1.503701178990353107e+09,1.034200756394932025e-03,7.499089932906584030e-03,2.133227184913829547e-04,-3.480925910804964600e-03
