# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503701227071887016e+09,-0.000000000000000000e+00,4.949399355718345217e-02,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503701227072649002e+09,-2.147917641751685147e-06,1.135253906250000000e-02,0.000000000000000000e+00,1.892089843750000054e-04
3.333333333333333287e-02,1.503701227081279993e+09,-8.764447890478153669e-06,4.799417557060213502e-02,-2.036121991559252359e-06,9.890779751851761989e-04
5.000000000000000278e-02,1.503701227098495960e+09,-2.010613480534787772e-05,4.499453959743950071e-02,-8.870962340705919414e-06,1.738839119103489277e-03
6.666666666666666574e-02,1.503701227115127087e+09,-3.641188470135284743e-05,4.349472161085818356e-02,-2.149838682797131008e-05,2.463392839503992810e-03
8.333333333333332871e-02,1.503701227131743908e+09,-5.788539582759026761e-05,4.499453959743950071e-02,-4.077125756175501819e-05,3.212622311835288541e-03
1.000000000000000056e-01,1.503701227147955894e+09,-8.467853633946515466e-05,3.599563167795159779e-02,-6.738982318432458051e-05,3.811426342748076151e-03
1.166666666666666685e-01,1.503701227164042950e+09,-1.168766158252789247e-04,3.149617771820764633e-02,-1.018961169972662468e-04,4.334664369434916044e-03
1.333333333333333315e-01,1.503701227180669069e+09,-1.544864480217000185e-04,3.299599570478897043e-02,-1.446742750637536659e-04,4.882186393263670057e-03
1.499999999999999944e-01,1.503701227198190928e+09,-1.974280167416706932e-04,2.999635973162633612e-02,-1.959564292923599938e-04,5.378859781635903295e-03
1.666666666666666574e-01,1.503701227214093924e+09,-2.455304358554707901e-04,2.549690577188238466e-02,-2.558335955227125928e-04,5.799544317908564284e-03
1.833333333333333204e-01,1.503701227230066061e+09,-2.985327411237056528e-04,2.549690577188238466e-02,-3.242707734298126373e-04,6.219088234549440854e-03
2.000000000000000111e-01,1.503701227246098995e+09,-3.560898716819140670e-04,2.249726979871975036e-02,-4.011253119695700289e-04,6.587357309328610751e-03
2.166666666666666741e-01,1.503701227262932062e+09,-4.177839979613533336e-04,2.549690577188238466e-02,-4.861674777229892824e-04,7.004202947564600740e-03
2.333333333333333370e-01,1.503701227279136896e+09,-4.831411375935639038e-04,2.399708778530106751e-02,-5.791020985136316728e-04,7.394502709011058043e-03
2.500000000000000000e-01,1.503701227294842958e+09,-5.516527788195227855e-04,2.549690577188238466e-02,-6.795901435750629615e-04,7.808124636149513763e-03
2.666666666666666630e-01,1.503701227310591936e+09,-6.228020099383184969e-04,2.249726979871975036e-02,-7.872691445820033255e-04,8.169957980385143120e-03
2.833333333333333259e-01,1.503701227327143908e+09,-6.960934413600717045e-04,1.799781583897579890e-02,-9.017714570123564486e-04,8.454892053417867662e-03
2.999999999999999889e-01,1.503701227343857050e+09,-7.710860117291568538e-04,2.399708778530106751e-02,-1.022739504360376103e-03,8.837797858100212081e-03
3.166666666666666519e-01,1.503701227362248898e+09,-8.474275988308622738e-04,2.249726979871975036e-02,-1.149837332414372412e-03,9.193588399205301562e-03
3.333333333333333148e-01,1.503701227378169060e+09,-9.248902164255929856e-04,2.249726979871975036e-02,-1.282758019077282667e-03,9.547163595532676128e-03
3.499999999999999778e-01,1.503701227395243883e+09,-1.003404475733901766e-03,2.399708778530106751e-02,-1.421226727474051528e-03,9.923427946496459623e-03
3.666666666666666408e-01,1.503701227410830021e+09,-1.083091929899599381e-03,2.399708778530106751e-02,-1.564999445648408444e-03,1.029729608549067102e-02
3.833333333333333037e-01,1.503701227428510904e+09,-1.164293904993369579e-03,2.849654174504501897e-02,-1.713857713572878791e-03,1.074367415268187402e-02
4.000000000000000222e-01,1.503701227444080114e+09,-1.247595454176688660e-03,2.549690577188238466e-02,-1.867599885772813339e-03,1.113749591745036641e-02
4.166666666666666852e-01,1.503701227461106062e+09,-1.333843153197764074e-03,2.399708778530106751e-02,-2.026029704078251802e-03,1.150368021880407952e-02
4.333333333333333481e-01,1.503701227477801085e+09,-1.424155584535151267e-03,2.999635973162633612e-02,-2.188943148996645802e-03,1.196713716184790756e-02
4.500000000000000111e-01,1.503701227494812965e+09,-1.519925531754505541e-03,2.699672375846369834e-02,-2.356114690170706041e-03,1.237781397965279084e-02
4.666666666666666741e-01,1.503701227510637045e+09,-1.622813120971943043e-03,2.699672375846369834e-02,-2.527284158082283242e-03,1.278563797299248073e-02
4.833333333333333370e-01,1.503701227528155088e+09,-1.734729397244964529e-03,2.549690577188238466e-02,-2.702145504188221969e-03,1.316555064412071666e-02
5.000000000000000000e-01,1.503701227544853926e+09,-1.857810103447041401e-03,2.399708778530106751e-02,-2.880338700798625376e-03,1.351749646219575773e-02
5.166666666666666075e-01,1.503701227562459946e+09,-1.994379729801744761e-03,2.849654174504501897e-02,-3.061445953394117871e-03,1.394141472538994002e-02
5.333333333333333259e-01,1.503701227578128099e+09,-2.146906214923141425e-03,2.549690577188238466e-02,-3.244993257417012455e-03,1.431227993396436311e-02
5.500000000000000444e-01,1.503701227595215082e+09,-2.317946994440602763e-03,2.699672375846369834e-02,-3.430458132126551398e-03,1.470505102773664828e-02
5.666666666666666519e-01,1.503701227611279964e+09,-2.510087401210238465e-03,2.699672375846369834e-02,-3.617284111669306738e-03,1.509470835518322146e-02
5.833333333333333703e-01,1.503701227628609896e+09,-2.725872711783801448e-03,2.999635973162633612e-02,-3.804902276250889549e-03,1.553123264610614500e-02
5.999999999999999778e-01,1.503701227644498110e+09,-2.967735397496824943e-03,2.699672375846369834e-02,-3.992759774512622678e-03,1.591463204583866420e-02
6.166666666666666963e-01,1.503701227660999060e+09,-3.237919366061613874e-03,2.549690577188238466e-02,-4.180354934043660833e-03,1.626990789313597502e-02
6.333333333333333037e-01,1.503701227677687883e+09,-3.538403162546335627e-03,2.549690577188238466e-02,-4.367278193938909682e-03,1.662206835276836686e-02
6.500000000000000222e-01,1.503701227695300102e+09,-3.870824229836991592e-03,2.399708778530106751e-02,-4.553257735942629544e-03,1.694613218692433976e-02
6.666666666666666297e-01,1.503701227712009907e+09,-4.236406402220371445e-03,1.949763382555711605e-02,-4.738208353935717369e-03,1.719212261145136242e-02
6.833333333333333481e-01,1.503701227729518890e+09,-4.635892817275798217e-03,1.199854389265053375e-02,-4.922281800165190756e-03,1.731006031299278311e-02
6.999999999999999556e-01,1.503701227746222019e+09,-5.069486378252292987e-03,1.499817986581316719e-03,-5.105916594851566716e-03,1.724995866952161103e-02
7.166666666666666741e-01,1.503701227763118982e+09,-5.536799780841432546e-03,-1.049872590606921660e-02,-5.289885096604191907e-03,1.698681515281038820e-02
7.333333333333332815e-01,1.503701227778801918e+09,-6.036816935986195204e-03,-2.099745181213843320e-02,-5.475335515649479290e-03,1.654560203068058954e-02
7.500000000000000000e-01,1.503701227796427011e+09,-6.567867377306361304e-03,-3.899526765111423210e-02,-5.663826519235313876e-03,1.580128379450809750e-02
7.666666666666666075e-01,1.503701227812941074e+09,-7.127614943003563255e-03,-4.799417557060213502e-02,-5.857352135084136283e-03,1.490375833274665968e-02
7.833333333333333259e-01,1.503701227831186056e+09,-7.713061674685069320e-03,-5.549326550350872078e-02,-6.058354807817643677e-03,1.387789799422455353e-02
8.000000000000000444e-01,1.503701227847150087e+09,-8.320567488026257494e-03,-6.449217342299662370e-02,-6.269724705038887472e-03,1.269853302542396124e-02
8.166666666666666519e-01,1.503701227863492012e+09,-8.945885752639210278e-03,-7.049144536932187843e-02,-6.494783701041788489e-03,1.141542920758456710e-02
8.333333333333333703e-01,1.503701227879836082e+09,-9.584214482183786576e-03,-7.049144536932187843e-02,-6.737252880344835222e-03,1.012828423675678907e-02
8.499999999999999778e-01,1.503701227897109032e+09,-1.023026239279348562e-02,-7.199126335590319559e-02,-7.001202890535109837e-03,8.811743132649483765e-03
8.666666666666666963e-01,1.503701227912771940e+09,-1.087832865099769633e-02,-6.899162738274057516e-02,-7.290987021289636362e-03,7.540366225915647036e-03
8.833333333333333037e-01,1.503701227930257082e+09,-1.152239471440864339e-02,-7.049144536932187843e-02,-7.611157478166899644e-03,6.238656178457500923e-03
9.000000000000000222e-01,1.503701227947037935e+09,-1.215622628224069350e-02,-7.199126335590319559e-02,-7.966365937743039027e-03,4.906029023563397012e-03
9.166666666666666297e-01,1.503701227963774920e+09,-1.277348303042312970e-02,-7.049144536932187843e-02,-8.361250094991447626e-03,3.591817432491508505e-03
9.333333333333333481e-01,1.503701227980501890e+09,-1.336783351892000329e-02,-7.049144536932187843e-02,-8.800308523339142597e-03,2.270288200947158299e-03
9.499999999999999556e-01,1.503701227996908903e+09,-1.393307243686997023e-02,-7.199126335590319559e-02,-9.287766740895365275e-03,9.156376993338490380e-04
9.666666666666666741e-01,1.503701228014569044e+09,-1.446323720269759340e-02,-7.049144536932187843e-02,-9.827437891412245732e-03,-4.230103550117195969e-04
9.833333333333332815e-01,1.503701228031954050e+09,-1.495272086792841064e-02,-7.199126335590319559e-02,-1.042258188496758900e-02,-1.796574442359565645e-03
1.000000000000000000e+00,1.503701228050175905e+09,-1.539637828944405949e-02,-7.049144536932187843e-02,-1.107576718213668793e-02,-3.156027984883875460e-03
1.016666666666666607e+00,1.503701228067188025e+09,-1.578962263740874353e-02,-7.199126335590319559e-02,-1.178873962984385709e-02,-4.552361367979660192e-03
1.033333333333333215e+00,1.503701228083758116e+09,-1.612850949472105500e-02,-7.499089932906582989e-02,-1.256230285342018783e-02,-6.011581404354426894e-03
1.050000000000000044e+00,1.503701228101587057e+09,-1.640980607574245645e-02,-7.199126335590319559e-02,-1.339621466745600196e-02,-7.434706038077079811e-03
1.066666666666666652e+00,1.503701228117897987e+09,-1.663104344189852632e-02,-7.199126335590319559e-02,-1.428910378166091746e-02,-8.872712157036482389e-03
1.083333333333333259e+00,1.503701228135509968e+09,-1.679055001182331794e-02,-7.049144536932187843e-02,-1.523841074536454177e-02,-1.030154309228125536e-02
1.100000000000000089e+00,1.503701228152040005e+09,-1.688746514407012123e-02,-7.499089932906582989e-02,-1.624035659836986500e-02,-1.182206402440518292e-02
1.116666666666666696e+00,1.503701228168731928e+09,-1.692173209908233791e-02,-7.199126335590319559e-02,-1.728994208420411155e-02,-1.331008411507363792e-02
1.133333333333333304e+00,1.503701228184400082e+09,-1.689407025041901600e-02,-7.049144536932187843e-02,-1.838097954667100228e-02,-1.479129119700685335e-02
1.149999999999999911e+00,1.503701228200933933e+09,-1.680592699809493537e-02,-7.349108134248452662e-02,-1.950615878874241080e-02,-1.634124519919396765e-02
1.166666666666666741e+00,1.503701228218403101e+09,-1.665941042326709448e-02,-7.049144536932187843e-02,-2.065714724510621381e-02,-1.786038840943443562e-02
1.183333333333333348e+00,1.503701228234306097e+09,-1.645720429675929380e-02,-6.599199140957794085e-02,-2.182472383060851326e-02,-1.932400033010420876e-02
1.199999999999999956e+00,1.503701228249917984e+09,-1.620246759733963079e-02,-7.049144536932187843e-02,-2.299894480388233950e-02,-2.088217349965761083e-02
1.216666666666666563e+00,1.503701228267164946e+09,-1.589872119289491639e-02,-6.899162738274057516e-02,-2.416933895838568880e-02,-2.243485627200971638e-02
1.233333333333333393e+00,1.503701228283003092e+09,-1.554972477315924757e-02,-6.599199140957794085e-02,-2.532512845302545279e-02,-2.395680826971977387e-02
1.250000000000000000e+00,1.503701228299556017e+09,-1.515934748223349976e-02,-6.899162738274057516e-02,-2.645547065316306706e-02,-2.554759323698483492e-02
1.266666666666666607e+00,1.503701228315155029e+09,-1.473143597029277947e-02,-6.599199140957794085e-02,-2.754971550124589094e-02,-2.710662168549856504e-02
1.283333333333333215e+00,1.503701228332032919e+09,-1.426968375627704969e-02,-6.599199140957794085e-02,-2.859767220430045609e-02,-2.868311607906320546e-02
1.300000000000000044e+00,1.503701228348155975e+09,-1.377750585913464255e-02,-6.599199140957794085e-02,-2.958987844034459413e-02,-3.027614724322857942e-02
