# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503701277487941027e+09,0.000000000000000000e+00,-8.998907919487899448e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503701277488611937e+09,2.147917641751685147e-06,-1.464843750000000000e-03,0.000000000000000000e+00,-2.441406249999999797e-05
3.333333333333333287e-02,1.503701277496433973e+09,8.764447890478153669e-06,-7.499089932906584030e-03,2.036121991559252359e-06,-1.493649593485837294e-04
5.000000000000000278e-02,1.503701277512656927e+09,2.010613480534787772e-05,-4.499453959743949724e-03,8.870962340705919414e-06,-2.242080093053044573e-04
6.666666666666666574e-02,1.503701277528446913e+09,3.641188470135284743e-05,-4.499453959743949724e-03,2.149838682797131008e-05,-2.988406021872374446e-04
8.333333333333332871e-02,1.503701277545057058e+09,5.788539582759026761e-05,-5.999271946325266877e-03,4.077125756175501819e-05,-3.981489469999626297e-04
1.000000000000000056e-01,1.503701277561450005e+09,8.467853633946515466e-05,-5.999271946325266877e-03,6.738982318432458051e-05,-4.970136490523116048e-04
1.166666666666666685e-01,1.503701277577804089e+09,1.168766158252789247e-04,-8.998907919487899448e-03,1.018961169972662468e-04,-6.452971790938222089e-04
1.333333333333333315e-01,1.503701277594491005e+09,1.544864480217000185e-04,-5.999271946325266877e-03,1.446742750637536659e-04,-7.428738069481808162e-04
1.499999999999999944e-01,1.503701277612323999e+09,1.974280167416706932e-04,-7.499089932906584030e-03,1.959564292923599938e-04,-8.645926986750845488e-04
1.666666666666666574e-01,1.503701277627950907e+09,2.455304358554707901e-04,-4.499453959743949724e-03,2.558335955227125928e-04,-9.353197047454384332e-04
1.833333333333333204e-01,1.503701277645440102e+09,2.985327411237056528e-04,-5.999271946325266877e-03,3.242707734298126373e-04,-1.029903057627029432e-03
2.000000000000000111e-01,1.503701277662215948e+09,3.560898716819140670e-04,-4.499453959743949724e-03,4.011253119695700289e-04,-1.098208535089935725e-03
2.166666666666666741e-01,1.503701277678822041e+09,4.177839979613533336e-04,-7.499089932906584030e-03,4.861674777229892824e-04,-1.215090576009662327e-03
2.333333333333333370e-01,1.503701277696518898e+09,4.831411375935639038e-04,-8.998907919487899448e-03,5.791020985136316728e-04,-1.355420673025900177e-03
2.500000000000000000e-01,1.503701277713140965e+09,5.516527788195227855e-04,-4.499453959743949724e-03,6.795901435750629615e-04,-1.419085069962048359e-03
2.666666666666666630e-01,1.503701277729885101e+09,6.228020099383184969e-04,-5.999271946325266877e-03,7.872691445820033255e-04,-1.505951783324436079e-03
2.833333333333333259e-01,1.503701277746716022e+09,6.960934413600717045e-04,-5.999271946325266877e-03,9.017714570123564486e-04,-1.590910124812984668e-03
2.999999999999999889e-01,1.503701277763410091e+09,7.710860117291568538e-04,-5.999271946325266877e-03,1.022739504360376103e-03,-1.673852332179066133e-03
3.166666666666666519e-01,1.503701277779330969e+09,8.474275988308622738e-04,-5.999271946325266877e-03,1.149837332414372412e-03,-1.754676242410914411e-03
3.333333333333333148e-01,1.503701277795159101e+09,9.248902164255929856e-04,-4.499453959743949724e-03,1.282758019077282667e-03,-1.808287841422025590e-03
3.499999999999999778e-01,1.503701277812037945e+09,1.003404475733901766e-03,-7.499089932906584030e-03,1.421226727474051528e-03,-1.909585561512567881e-03
3.666666666666666408e-01,1.503701277828767061e+09,1.083091929899599381e-03,-7.499089932906584030e-03,1.564999445648408444e-03,-2.008487069633537424e-03
3.833333333333333037e-01,1.503701277846064091e+09,1.164293904993369579e-03,-5.999271946325266877e-03,1.713857713572878791e-03,-2.079910640179410703e-03
4.000000000000000222e-01,1.503701277862607956e+09,1.247595454176688660e-03,-5.999271946325266877e-03,1.867599885772813339e-03,-2.148771841188618168e-03
4.166666666666666852e-01,1.503701277878959894e+09,1.333843153197764074e-03,-8.998907919487899448e-03,2.026029704078251802e-03,-2.264986478112112483e-03
4.333333333333333481e-01,1.503701277895632982e+09,1.424155584535151267e-03,-5.999271946325266877e-03,2.188943148996645802e-03,-2.328491958067589480e-03
4.500000000000000111e-01,1.503701277912672043e+09,1.519925531754505541e-03,-7.499089932906584030e-03,2.356114690170706041e-03,-2.414208212113187410e-03
4.666666666666666741e-01,1.503701277929374933e+09,1.622813120971943043e-03,-7.499089932906584030e-03,2.527284158082283242e-03,-2.497071641693592373e-03
4.833333333333333370e-01,1.503701277947206020e+09,1.734729397244964529e-03,-5.999271946325266877e-03,2.702145504188221969e-03,-2.552023749062542948e-03
5.000000000000000000e-01,1.503701277963135958e+09,1.857810103447041401e-03,-5.999271946325266877e-03,2.880338700798625376e-03,-2.604005969821320422e-03
5.166666666666666075e-01,1.503701277979657888e+09,1.994379729801744761e-03,-5.999271946325266877e-03,3.061445953394117871e-03,-2.652969736370172985e-03
5.333333333333333259e-01,1.503701277995316029e+09,2.146906214923141425e-03,-8.998907919487899448e-03,3.244993257417012455e-03,-2.748868314071354225e-03
5.500000000000000444e-01,1.503701278012401104e+09,2.317946994440602763e-03,-5.999271946325266877e-03,3.430458132126551398e-03,-2.791681877641332722e-03
5.666666666666666519e-01,1.503701278028393030e+09,2.510087401210238465e-03,-5.999271946325266877e-03,3.617284111669306738e-03,-2.831381674885598797e-03
5.833333333333333703e-01,1.503701278045921087e+09,2.725872711783801448e-03,-5.999271946325266877e-03,3.804902276250889549e-03,-2.867954502720171731e-03
5.999999999999999778e-01,1.503701278062313080e+09,2.967735397496824943e-03,-7.499089932906584030e-03,3.992759774512622678e-03,-2.926393338693404275e-03
6.166666666666666963e-01,1.503701278079826117e+09,3.237919366061613874e-03,-5.999271946325266877e-03,4.180354934043660833e-03,-2.956708622231431043e-03
6.333333333333333037e-01,1.503701278095511913e+09,3.538403162546335627e-03,-7.499089932906584030e-03,4.367278193938909682e-03,-3.008905484547558847e-03
6.500000000000000222e-01,1.503701278112180948e+09,3.870824229836991592e-03,-5.999271946325266877e-03,4.553257735942629544e-03,-3.033005721387269440e-03
6.666666666666666297e-01,1.503701278128837109e+09,4.236406402220371445e-03,-5.999271946325266877e-03,4.738208353935717369e-03,-3.054023447927095049e-03
6.833333333333333481e-01,1.503701278146255970e+09,4.635892817275798217e-03,-4.499453959743949724e-03,4.922281800165190756e-03,-3.046976317253407857e-03
6.999999999999999556e-01,1.503701278162930012e+09,5.069486378252292987e-03,-4.499453959743949724e-03,5.105916594851566716e-03,-3.036868606668281009e-03
7.166666666666666741e-01,1.503701278179989100e+09,5.536799780841432546e-03,-2.999635973162633439e-03,5.289885096604191907e-03,-2.998697787944255237e-03
7.333333333333332815e-01,1.503701278195302963e+09,6.036816935986195204e-03,-4.499453959743949724e-03,5.475335515649479290e-03,-2.982433095345829802e-03
7.500000000000000000e-01,1.503701278212663889e+09,6.567867377306361304e-03,-5.999271946325266877e-03,5.663826519235313876e-03,-2.988023852463995468e-03
7.666666666666666075e-01,1.503701278229379892e+09,7.127614943003563255e-03,-4.499453959743949724e-03,5.857352135084136283e-03,-2.965392216208325837e-03
7.833333333333333259e-01,1.503701278246922970e+09,7.713061674685069320e-03,-4.499453959743949724e-03,6.058354807817643677e-03,-2.939410535407097503e-03
8.000000000000000444e-01,1.503701278263541937e+09,8.320567488026257494e-03,-4.499453959743949724e-03,6.269724705038887472e-03,-2.909906022985515265e-03
8.166666666666666519e-01,1.503701278280684948e+09,8.945885752639210278e-03,-1.499817986581316719e-03,6.494783701041788489e-03,-2.826656594411174235e-03
8.333333333333333703e-01,1.503701278297457933e+09,9.584214482183786576e-03,-1.499817986581316719e-03,6.737252880344835222e-03,-2.739366012848448891e-03
8.499999999999999778e-01,1.503701278314107895e+09,1.023026239279348562e-02,-2.999635973162633439e-03,7.001202890535109837e-03,-2.672673230892241066e-03
8.666666666666666963e-01,1.503701278330816031e+09,1.087832865099769633e-02,-1.499817986581316719e-03,7.290987021289636362e-03,-2.576153746980435703e-03
8.833333333333333037e-01,1.503701278347342968e+09,1.152239471440864339e-02,0.000000000000000000e+00,7.611157478166899644e-03,-2.449301122344320521e-03
9.000000000000000222e-01,1.503701278363344908e+09,1.215622628224069350e-02,-1.499817986581316719e-03,7.966365937743039027e-03,-2.341525323158291910e-03
9.166666666666666297e-01,1.503701278379483938e+09,1.277348303042312970e-02,0.000000000000000000e+00,8.361250094991447626e-03,-2.202171154908434333e-03
9.333333333333333481e-01,1.503701278395322084e+09,1.336783351892000329e-02,1.499817986581316719e-03,8.800308523339142597e-03,-2.030502379743093309e-03
9.499999999999999556e-01,1.503701278412849903e+09,1.393307243686997023e-02,0.000000000000000000e+00,9.287766740895365275e-03,-1.875706267394837163e-03
9.666666666666666741e-01,1.503701278430674076e+09,1.446323720269759340e-02,0.000000000000000000e+00,9.827437891412245732e-03,-1.711915635871299676e-03
9.833333333333332815e-01,1.503701278448131084e+09,1.495272086792841064e-02,0.000000000000000000e+00,1.042258188496758900e-02,-1.538205937788506526e-03
1.000000000000000000e+00,1.503701278465276003e+09,1.539637828944405949e-02,0.000000000000000000e+00,1.107576718213668793e-02,-1.353609818086228510e-03
1.016666666666666607e+00,1.503701278482547998e+09,1.578962263740874353e-02,-1.499817986581316719e-03,1.178873962984385709e-02,-1.182127790698519511e-03
1.033333333333333215e+00,1.503701278498709917e+09,1.612850949472105500e-02,0.000000000000000000e+00,1.256230285342018783e-02,-9.727560764748497497e-04
1.050000000000000044e+00,1.503701278516793013e+09,1.640980607574245645e-02,1.499817986581316719e-03,1.339621466745600196e-02,-7.244888655742277644e-04
1.066666666666666652e+00,1.503701278533380032e+09,1.663104344189852632e-02,1.499817986581316719e-03,1.428910378166091746e-02,-4.613401694368572019e-04
1.083333333333333259e+00,1.503701278550817966e+09,1.679055001182331794e-02,1.499817986581316719e-03,1.523841074536454177e-02,-1.823696905710929191e-04
1.100000000000000089e+00,1.503701278566967010e+09,1.688746514407012123e-02,1.499817986581316719e-03,1.624035659836986500e-02,1.132998858447600951e-04
1.116666666666666696e+00,1.503701278583762884e+09,1.692173209908233791e-02,0.000000000000000000e+00,1.728994208420411155e-02,4.014655872481618748e-04
1.133333333333333304e+00,1.503701278600553989e+09,1.689407025041901600e-02,0.000000000000000000e+00,1.838097954667100228e-02,7.078152463593452353e-04
1.149999999999999911e+00,1.503701278617166996e+09,1.680592699809493537e-02,2.999635973162633439e-03,1.950615878874241080e-02,1.082911825724429357e-03
1.166666666666666741e+00,1.503701278633013964e+09,1.665941042326709448e-02,1.499817986581316719e-03,2.065714724510621381e-02,1.452194579585888148e-03
1.183333333333333348e+00,1.503701278650424957e+09,1.645720429675929380e-02,0.000000000000000000e+00,2.182472383060851326e-02,1.815939976762696688e-03
1.199999999999999956e+00,1.503701278666985035e+09,1.620246759733963079e-02,-4.499453959743949724e-03,2.299894480388233950e-02,2.124264824165003444e-03
1.216666666666666563e+00,1.503701278684628963e+09,1.589872119289491639e-02,-2.999635973162633439e-03,2.416933895838568880e-02,2.477093207252054584e-03
1.233333333333333393e+00,1.503701278700683117e+09,1.554972477315924757e-02,1.499817986581316719e-03,2.532512845302545279e-02,2.924175647912167272e-03
1.250000000000000000e+00,1.503701278717875004e+09,1.515934748223349976e-02,1.949763382555711605e-02,2.645547065316306706e-02,3.690060722557503628e-03
1.266666666666666607e+00,1.503701278733856916e+09,1.473143597029277947e-02,3.149617771820764633e-02,2.754971550124589094e-02,4.674158942881729596e-03
1.283333333333333215e+00,1.503701278750684023e+09,1.426968375627704969e-02,4.499453959743950071e-02,2.859767220430045609e-02,5.900695806244062036e-03
1.300000000000000044e+00,1.503701278767584085e+09,1.377750585913464255e-02,4.649435758402081786e-02,2.958987844034459413e-02,7.168766406650151947e-03
1.316666666666666652e+00,1.503701278783898115e+09,1.325792260926238891e-02,4.799417557060213502e-02,3.051786487136461459e-02,8.477300414016264093e-03
1.333333333333333259e+00,1.503701278801542044e+09,1.271345639207369614e-02,4.349472161085818356e-02,3.137440752658524068e-02,9.725119232973655076e-03
1.350000000000000089e+00,1.503701278817393064e+09,1.214604480318910197e-02,4.199490362427686641e-02,3.215376060110447520e-02,1.096093030339667651e-02
1.366666666666666696e+00,1.503701278832997084e+09,1.155697331383802665e-02,3.599563167795159779e-02,3.285186241074742469e-02,1.210838853820832631e-02
1.383333333333333304e+00,1.503701278849827051e+09,1.094683006311767542e-02,1.949763382555711605e-02,3.346650765732550603e-02,1.299112422958970288e-02
1.399999999999999911e+00,1.503701278867085934e+09,1.031548482125838745e-02,-1.199854389265053375e-02,3.399747978610721116e-02,1.335777316114731411e-02
1.416666666666666741e+00,1.503701278884543896e+09,9.662093518329382957e-03,-3.449581369137028758e-02,3.444663804945391483e-02,1.335695356711537503e-02
1.433333333333333348e+00,1.503701278900460005e+09,8.985129021777690447e-03,-4.349472161085818356e-02,3.481795491106251528e-02,1.321234078878544792e-02
1.449999999999999956e+00,1.503701278917046070e+09,8.282438091917561709e-03,-4.349472161085818356e-02,3.511750061173610216e-02,1.307272043880007908e-02
1.466666666666666563e+00,1.503701278932713032e+09,7.551323666818506204e-03,-4.349472161085818356e-02,3.535337304202146314e-02,1.293703129598613305e-02
1.483333333333333393e+00,1.503701278950309992e+09,6.788650848081969474e-03,-4.499453959743950071e-02,3.553557249630621973e-02,1.277938184430057848e-02
1.500000000000000000e+00,1.503701278966065884e+09,5.990974198561331045e-03,-4.499453959743950071e-02,3.567582237970706727e-02,1.262406989067170471e-02
1.516666666666666607e+00,1.503701278982852936e+09,5.154683244115347909e-03,-4.349472161085818356e-02,3.578733846269996355e-02,1.249561350486906759e-02
1.533333333333333215e+00,1.503701278999535084e+09,4.276162415469538132e-03,-4.349472161085818356e-02,3.588455078615110372e-02,1.236877732445728316e-02
