# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503701374376027107e+09,-0.000000000000000000e+00,4.499453959743949724e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503701374376877069e+09,-1.798929827055640890e-06,1.098632812500000000e-03,0.000000000000000000e+00,1.831054687499999932e-05
3.333333333333333287e-02,1.503701374377907038e+09,-7.143096105243524524e-06,4.499453959743949724e-03,1.413869948528467420e-06,9.332501070320797841e-05
5.000000000000000278e-02,1.503701374395817041e+09,-1.610466661814614789e-05,5.999271946325266877e-03,5.480904621995249357e-06,1.934042248856623588e-04
6.666666666666666574e-02,1.503701374409710884e+09,-2.895384448307132715e-05,4.499453959743949724e-03,1.197178372019448439e-05,2.685946539433980594e-04
8.333333333333332871e-02,1.503701374427877903e+09,-4.614755680175652706e-05,5.999271946325266877e-03,2.069039208931063465e-05,3.689273595836409800e-04
1.000000000000000056e-01,1.503701374443520069e+09,-6.831024298560356336e-05,2.999635973162633439e-03,3.145911940556328203e-05,4.194456111264442699e-04
1.166666666666666685e-01,1.503701374460391998e+09,-9.620762854014538220e-05,4.499453959743949724e-03,4.410249646159308714e-05,4.951715520632032907e-04
1.333333333333333315e-01,1.503701374476615906e+09,-1.307146554978873428e-04,2.999635973162633439e-03,5.843004229691513073e-05,5.461393189875290554e-04
1.499999999999999944e-01,1.503701374494457006e+09,-1.727789801094829173e-04,2.999635973162633439e-03,7.421922989269736943e-05,5.973702390384512048e-04
1.666666666666666574e-01,1.503701374509206057e+09,-2.233816324214081377e-04,-1.499817986581316719e-03,9.119947392158423295e-05,5.738932638274556663e-04
1.833333333333333204e-01,1.503701374526736021e+09,-2.834965535923031810e-04,1.499817986581316719e-03,1.090380022054298579e-04,6.007075303072347775e-04
2.000000000000000111e-01,1.503701374542764902e+09,-3.540507801474801052e-04,1.499817986581316719e-03,1.273283945496202273e-04,6.278266366594170830e-04
2.166666666666666741e-01,1.503701374560888052e+09,-4.358870272687663831e-04,0.000000000000000000e+00,1.455824612706091144e-04,6.302530110139271816e-04
2.333333333333333370e-01,1.503701374576812029e+09,-5.297303357130522588e-04,2.999635973162633439e-03,1.632259930194410863e-04,6.829673771169617177e-04
2.500000000000000000e-01,1.503701374592668056e+09,-6.361602917354371124e-04,5.999271946325266877e-03,1.795987485318640664e-04,7.859485553645805672e-04
2.666666666666666630e-01,1.503701374608289957e+09,-7.555901117132752349e-04,5.999271946325266877e-03,1.939588637388215840e-04,8.891690688656487358e-04
2.833333333333333259e-01,1.503701374625437975e+09,-8.882536106725638213e-04,5.999271946325266877e-03,2.054916710143152943e-04,9.925817958213083506e-04
2.999999999999999889e-01,1.503701374641249895e+09,-1.034200756394932025e-03,4.499453959743949724e-03,2.133227184913829547e-04,1.071128073791897256e-03
3.166666666666666519e-01,1.503701374659034967e+09,-1.193302159824387266e-03,5.999271946325266877e-03,2.165345838736542565e-04,1.174724849295212536e-03
3.333333333333333148e-01,1.503701374673170090e+09,-1.365262481094094800e-03,4.499453959743949724e-03,2.141868925491650553e-04,1.253285530166764472e-03
3.499999999999999778e-01,1.503701374691087961e+09,-1.549642352597834774e-03,4.499453959743949724e-03,2.053387833626603616e-04,1.331698742551874672e-03
3.666666666666666408e-01,1.503701374706625938e+09,-1.745888050533747236e-03,5.999271946325266877e-03,1.890729239062381717e-04,1.434837823722399756e-03
3.833333333333333037e-01,1.503701374721457005e+09,-1.953367798579231079e-03,2.999635973162633439e-03,1.645200666847985288e-04,1.487573757719856974e-03
4.000000000000000222e-01,1.503701374737072945e+09,-2.171413275559406532e-03,2.999635973162633439e-03,1.308830630781853213e-04,1.539749074990537196e-03
4.166666666666666852e-01,1.503701374753317118e+09,-2.399364635797831668e-03,4.499453959743949724e-03,8.745921757750530596e-05,1.616197627945894708e-03
4.333333333333333481e-01,1.503701374769665956e+09,-2.636617147369856289e-03,4.499453959743949724e-03,3.365987293033690574e-05,1.691749525157132828e-03
