# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.504289417267878056e+09,0.000000000000000000e+00,3.449581369137028758e-02,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.504289417268384933e+09,1.798929827055640890e-06,9.521484375000000000e-03,0.000000000000000000e+00,1.586914062499999783e-04
3.333333333333333287e-02,1.504289417278036118e+09,7.143096105243524524e-06,3.299599570478897043e-02,-1.413869948528467420e-06,7.086011034973406899e-04
5.000000000000000278e-02,1.504289417295555115e+09,1.610466661814614789e-05,2.849654174504501897e-02,-5.480904621995249357e-06,1.183452117504390968e-03
6.666666666666666574e-02,1.504289417311466932e+09,2.895384448307132715e-05,3.149617771820764633e-02,-1.197178372019448439e-05,1.708188883079181635e-03
8.333333333333332871e-02,1.504289417328171968e+09,4.614755680175652706e-05,3.149617771820764633e-02,-2.069039208931063465e-05,2.232780338514487022e-03
1.000000000000000056e-01,1.504289417345093012e+09,6.831024298560356336e-05,3.149617771820764633e-02,-3.145911940556328203e-05,2.757192315161188269e-03
1.166666666666666685e-01,1.504289417362231016e+09,9.620762854014538220e-05,3.149617771820764633e-02,-4.410249646159308714e-05,3.281393568856955968e-03
1.333333333333333315e-01,1.504289417379945040e+09,1.307146554978873428e-04,2.699672375846369834e-02,-5.843004229691513073e-05,3.730365130793068893e-03
1.499999999999999944e-01,1.504289417396965027e+09,1.727789801094829173e-04,2.399708778530106751e-02,-7.421922989269736943e-05,4.129079606716541499e-03
1.666666666666666574e-01,1.504289417412795067e+09,2.233816324214081377e-04,2.549690577188238466e-02,-9.119947392158423295e-05,4.552508045015887968e-03
1.833333333333333204e-01,1.504289417429152966e+09,2.834965535923031810e-04,2.249726979871975036e-02,-1.090380022054298579e-04,4.925645241624460220e-03
2.000000000000000111e-01,1.504289417445171118e+09,3.540507801474801052e-04,2.399708778530106751e-02,-1.273283945496202273e-04,5.323474564803650812e-03
2.166666666666666741e-01,1.504289417463242054e+09,4.358870272687663831e-04,2.549690577188238466e-02,-1.455824612706091144e-04,5.745996619980513719e-03
2.333333333333333370e-01,1.504289417480051041e+09,5.297303357130522588e-04,2.549690577188238466e-02,-1.632259930194410863e-04,6.168224616294896122e-03
2.500000000000000000e-01,1.504289417497786999e+09,6.361602917354371124e-04,2.249726979871975036e-02,-1.795987485318640664e-04,6.540185800464694103e-03
2.666666666666666630e-01,1.504289417514501095e+09,7.555901117132752349e-04,2.549690577188238466e-02,-1.939588637388215840e-04,6.961901582267086483e-03
2.833333333333333259e-01,1.504289417531075001e+09,8.882536106725638213e-04,2.399708778530106751e-02,-2.054916710143152943e-04,7.358428184171865449e-03
2.999999999999999889e-01,1.504289417547992945e+09,1.034200756394932025e-03,2.399708778530106751e-02,-2.133227184913829547e-04,7.754824268618693700e-03
3.166666666666666519e-01,1.504289417564932108e+09,1.193302159824387266e-03,2.549690577188238466e-02,-2.165345838736542565e-04,8.176163788418839076e-03
3.333333333333333148e-01,1.504289417581615925e+09,1.365262481094094800e-03,2.399708778530106751e-02,-2.141868925491650553e-04,8.572545469964703430e-03
3.499999999999999778e-01,1.504289417598553896e+09,1.549642352597834774e-03,2.249726979871975036e-02,-2.053387833626603616e-04,8.944077653553988635e-03
3.666666666666666408e-01,1.504289417614388943e+09,1.745888050533747236e-03,2.399708778530106751e-02,-1.890729239062381717e-04,9.340877901243903325e-03
3.833333333333333037e-01,1.504289417630645037e+09,1.953367798579231079e-03,2.249726979871975036e-02,-1.645200666847985288e-04,9.713090396777819546e-03
4.000000000000000222e-01,1.504289417647495031e+09,2.171413275559406532e-03,2.399708778530106751e-02,-1.308830630781853213e-04,1.011086047548153365e-02
4.166666666666666852e-01,1.504289417664534092e+09,2.399364635797831668e-03,2.549690577188238466e-02,-8.745921757750530596e-05,1.053435125138661548e-02
4.333333333333333481e-01,1.504289417680202007e+09,2.636617147369856289e-03,2.549690577188238466e-02,-3.365987293033690574e-05,1.095873868303581626e-02
4.500000000000000111e-01,1.504289417698143959e+09,2.882667418804716816e-03,2.549690577188238466e-02,3.097383122698587287e-05,1.138420334308763888e-02
4.666666666666666741e-01,1.504289417714863062e+09,3.137157125635596337e-03,2.249726979871975036e-02,1.067599882549475742e-04,1.176093717287055029e-02
4.833333333333333370e-01,1.504289417731709003e+09,3.399912168671761614e-03,2.399708778530106751e-02,1.938705678647713586e-04,1.216411981208998135e-02
5.000000000000000000e-01,1.504289417748634100e+09,3.670975297224232138e-03,2.399708778530106751e-02,2.923323225330992062e-04,1.256894348055388397e-02
5.166666666666666075e-01,1.504289417765995026e+09,3.950630411085220665e-03,2.399708778530106751e-02,4.020343976670092464e-04,1.297559551693668566e-02
5.333333333333333259e-01,1.504289417781663895e+09,4.239417010242936372e-03,2.399708778530106751e-02,5.227428498253062399e-04,1.338425936085545914e-02
