# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.504289806838131905e+09,0.000000000000000000e+00,-3.299599570478897043e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.504289806838546038e+09,0.000000000000000000e+00,-8.422851562500000000e-03,0.000000000000000000e+00,-1.403808593749999892e-04
3.333333333333333287e-02,1.504289806848120928e+09,0.000000000000000000e+00,-3.449581369137028758e-02,5.533874176911749648e-06,-7.152188563282228448e-04
5.000000000000000278e-02,1.504289806865668058e+09,0.000000000000000000e+00,-3.299599570478897043e-02,2.246585738844798167e-05,-1.264777687118231585e-03
6.666666666666666574e-02,1.504289806881377935e+09,0.000000000000000000e+00,-3.449581369137028758e-02,5.127754235841473405e-05,-1.838853289601762595e-03
8.333333333333332871e-02,1.504289806899188042e+09,0.000000000000000000e+00,-3.749544966453291495e-02,9.238118567068819714e-05,-2.462237764249466596e-03
1.000000000000000056e-01,1.504289806916717052e+09,0.000000000000000000e+00,-3.599563167795159779e-02,1.460559333900881445e-04,-3.059730693325491725e-03
1.166666666666666685e-01,1.504289806932945967e+09,0.000000000000000000e+00,-3.449581369137028758e-02,2.123860144856160579e-04,-3.631121154606902976e-03
1.333333333333333315e-01,1.504289806949495077e+09,0.000000000000000000e+00,-3.449581369137028758e-02,2.912036602790000106e-04,-4.201197988458424751e-03
1.499999999999999944e-01,1.504289806966326952e+09,0.000000000000000000e+00,-3.599563167795159779e-02,3.820393804546372827e-04,-4.794757860083374498e-03
1.666666666666666574e-01,1.504289806982939959e+09,0.000000000000000000e+00,-3.449581369137028758e-02,4.840819961801292475e-04,-5.361620055003210421e-03
1.833333333333333204e-01,1.504289807000612020e+09,0.000000000000000000e+00,-3.449581369137028758e-02,5.961505058324608137e-04,-5.926614441428840717e-03
2.000000000000000111e-01,1.504289807015579939e+09,0.000000000000000000e+00,-3.749544966453291495e-02,7.166794494368970009e-04,-6.539593945013774494e-03
2.166666666666666741e-01,1.504289807031804085e+09,0.000000000000000000e+00,-3.449581369137028758e-02,8.437189580923983067e-04,-7.100462190568405767e-03
2.333333333333333370e-01,1.504289807048218012e+09,0.000000000000000000e+00,-3.599563167795159779e-02,9.749501409648655753e-04,-7.684140216184851165e-03
2.500000000000000000e-01,1.504289807065973997e+09,0.000000000000000000e+00,-3.599563167795159779e-02,1.107715893606488287e-03,-8.265605479257269808e-03
2.666666666666666630e-01,1.504289807081821918e+09,0.000000000000000000e+00,-3.299599570478897043e-02,1.239066627642610883e-03,-8.794887630543042623e-03
2.833333333333333259e-01,1.504289807098417044e+09,0.000000000000000000e+00,-3.449581369137028758e-02,1.365819844308707254e-03,-9.347054194660735921e-03
2.999999999999999889e-01,1.504289807114284039e+09,0.000000000000000000e+00,-3.449581369137028758e-02,1.484631924057535930e-03,-9.897240557449281037e-03
3.166666666666666519e-01,1.504289807130963087e+09,0.000000000000000000e+00,-3.299599570478897043e-02,1.592080001974978832e-03,-1.042063915249618125e-02
3.333333333333333148e-01,1.504289807147623062e+09,0.000000000000000000e+00,-3.449581369137028758e-02,1.684751363147112815e-03,-1.096749019129990114e-02
3.499999999999999778e-01,1.504289807164616108e+09,0.000000000000000000e+00,-3.749544966453291495e-02,1.759337440447660906e-03,-1.156309206170132164e-02
3.666666666666666408e-01,1.504289807180867910e+09,0.000000000000000000e+00,-3.449581369137028758e-02,1.812729243806999449e-03,-1.210781013582737722e-02
3.833333333333333037e-01,1.504289807197869062e+09,0.000000000000000000e+00,-3.449581369137028758e-02,1.842110905989324029e-03,-1.265203851558372589e-02
4.000000000000000222e-01,1.504289807213617086e+09,0.000000000000000000e+00,-3.449581369137028758e-02,1.845048002676580919e-03,-1.319621794372862096e-02
4.166666666666666852e-01,1.504289807230448961e+09,0.000000000000000000e+00,-3.449581369137028758e-02,1.819567397677700248e-03,-1.374082204862349735e-02
4.333333333333333481e-01,1.504289807246721029e+09,0.000000000000000000e+00,-3.299599570478897043e-02,1.764225576610288504e-03,-1.426135155075980779e-02
4.500000000000000111e-01,1.504289807262422085e+09,0.000000000000000000e+00,-3.449581369137028758e-02,1.678162759473531343e-03,-1.480831239962475399e-02
4.666666666666666741e-01,1.504289807279315948e+09,0.000000000000000000e+00,-3.449581369137028758e-02,1.561140515049872684e-03,-1.535722361923009399e-02
4.833333333333333370e-01,1.504289807296849966e+09,0.000000000000000000e+00,-3.449581369137028758e-02,1.413561125051614057e-03,-1.590859449533540623e-02
5.000000000000000000e-01,1.504289807312711954e+09,0.000000000000000000e+00,-4.349472161085818356e-02,1.236467546864621070e-03,-1.661289872973529744e-02
5.166666666666666075e-01,1.504289807329236984e+09,0.000000000000000000e+00,-3.599563167795159779e-02,1.031523481118459861e-03,-1.719563386634918173e-02
5.333333333333333259e-01,1.504289807345925093e+09,0.000000000000000000e+00,-3.299599570478897043e-02,8.009737422133024996e-04,-1.773221756572544369e-02
5.500000000000000444e-01,1.504289807363042116e+09,0.000000000000000000e+00,-3.299599570478897043e-02,5.475858327473990964e-04,-1.827302439692613661e-02
5.666666666666666519e-01,1.504289807379874945e+09,0.000000000000000000e+00,-3.599563167795159779e-02,2.745743119843295152e-04,-1.886837535302559113e-02
5.833333333333333703e-01,1.504289807395889997e+09,0.000000000000000000e+00,-3.599563167795159779e-02,-1.448980055016158534e-05,-1.946854404433395400e-02
5.999999999999999778e-01,1.504289807411537886e+09,0.000000000000000000e+00,-3.599563167795159779e-02,-3.157817564270085997e-04,-2.007373426824026266e-02
6.166666666666666963e-01,1.504289807427938938e+09,0.000000000000000000e+00,-3.449581369137028758e-02,-6.253346103176369913e-04,-2.065908673993506126e-02
6.333333333333333037e-01,1.504289807444863081e+09,0.000000000000000000e+00,-3.599563167795159779e-02,-9.391558182922498266e-04,-2.127466653153912632e-02
6.500000000000000222e-01,1.504289807461152077e+09,0.000000000000000000e+00,-3.599563167795159779e-02,-1.253344889196387297e-03,-2.189548280765826055e-02
6.666666666666666297e-01,1.504289807478790045e+09,0.000000000000000000e+00,-3.449581369137028758e-02,-1.564207931263541509e-03,-2.249648316803548945e-02
6.833333333333333481e-01,1.504289807496180058e+09,0.000000000000000000e+00,-3.299599570478897043e-02,-1.868364934512109585e-03,-2.307755584535717275e-02
6.999999999999999556e-01,1.504289807513711929e+09,0.000000000000000000e+00,-3.599563167795159779e-02,-2.162845774974126584e-03,-2.371353046957260305e-02
7.166666666666666741e-01,1.504289807529877901e+09,0.000000000000000000e+00,-3.449581369137028758e-02,-2.445171218560044952e-03,-2.432921355140477485e-02
7.333333333333332815e-01,1.504289807546737909e+09,0.000000000000000000e+00,-3.449581369137028758e-02,-2.713415634493829710e-03,-2.494936737350251024e-02
7.500000000000000000e-01,1.504289807563965082e+09,0.000000000000000000e+00,-3.599563167795159779e-02,-2.966248689908270592e-03,-2.559873204630017454e-02
7.666666666666666075e-01,1.504289807579946995e+09,0.000000000000000000e+00,-3.299599570478897043e-02,-3.202953972796256012e-03,-2.620204787425992748e-02
7.833333333333333259e-01,1.504289807596215963e+09,0.000000000000000000e+00,-3.899526765111423210e-02,-3.423423260171674660e-03,-2.690902605611469184e-02
8.000000000000000444e-01,1.504289807613863945e+09,0.000000000000000000e+00,-3.449581369137028758e-02,-3.628125988331018428e-03,-2.754442505077638048e-02
