# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.504290201785140038e+09,-0.000000000000000000e+00,-1.319839828191558817e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.504290201785574913e+09,-5.714304437118248311e-07,-3.259277343750000000e-02,0.000000000000000000e+00,-5.432128906249999133e-04
3.333333333333333287e-02,1.504290201794044018e+09,-2.302512093967138948e-06,-1.319839828191558817e-01,0.000000000000000000e+00,-2.742945937610931275e-03
5.000000000000000278e-02,1.504290201811918974e+09,-5.186605858555814017e-06,-1.319839828191558817e-01,0.000000000000000000e+00,-4.942678984596863070e-03
6.666666666666666574e-02,1.504290201828519106e+09,-9.177102081233194959e-06,-1.319839828191558817e-01,0.000000000000000000e+00,-7.142412031582794432e-03
8.333333333333332871e-02,1.504290201845340014e+09,-1.419612682244029663e-05,-1.319839828191558817e-01,0.000000000000000000e+00,-9.342145078568725794e-03
1.000000000000000056e-01,1.504290201861239910e+09,-2.014969283169138080e-05,-1.304841648325745507e-01,0.000000000000000000e+00,-1.151688115911163497e-02
1.166666666666666685e-01,1.504290201878746986e+09,-2.694859470604463341e-05,-1.304841648325745507e-01,0.000000000000000000e+00,-1.369161723965454415e-02
1.333333333333333315e-01,1.504290201895350933e+09,-3.453398915671436481e-05,-1.319839828191558817e-01,0.000000000000000000e+00,-1.589135028664047378e-02
1.499999999999999944e-01,1.504290201911571980e+09,-4.290628993505441840e-05,-1.319839828191558817e-01,0.000000000000000000e+00,-1.809108333362640514e-02
1.666666666666666574e-01,1.504290201927112103e+09,-5.215575692449811430e-05,-1.304841648325745507e-01,0.000000000000000000e+00,-2.026581941416931432e-02
1.833333333333333204e-01,1.504290201944602013e+09,-6.249298190959403591e-05,-1.304841648325745507e-01,0.000000000000000000e+00,-2.244055549471222349e-02
2.000000000000000111e-01,1.504290201961194038e+09,-7.427737844587753479e-05,-1.319839828191558817e-01,0.000000000000000000e+00,-2.464028854169815486e-02
2.166666666666666741e-01,1.504290201978741884e+09,-8.804177571000245024e-05,-1.304841648325745507e-01,0.000000000000000000e+00,-2.681502462224106403e-02
2.333333333333333370e-01,1.504290201995368958e+09,-1.045112983761726627e-04,-1.334838008057371850e-01,0.000000000000000000e+00,-2.903975463567001758e-02
2.500000000000000000e-01,1.504290202010231018e+09,-1.246148850246647159e-04,-1.304841648325745507e-01,0.000000000000000000e+00,-3.121449071621292676e-02
2.666666666666666630e-01,1.504290202026886940e+09,-1.494880513502020879e-04,-1.304841648325745507e-01,0.000000000000000000e+00,-3.338922679675583594e-02
2.833333333333333259e-01,1.504290202044764996e+09,-1.804658330804128827e-04,-1.319839828191558817e-01,0.000000000000000000e+00,-3.558895984374176730e-02
2.999999999999999889e-01,1.504290202061276913e+09,-2.190652354552083945e-04,-1.319839828191558817e-01,0.000000000000000000e+00,-3.778869289072769866e-02
3.166666666666666519e-01,1.504290202079106092e+09,-2.669569570013582017e-04,-1.334838008057371850e-01,0.000000000000000000e+00,-4.001342290415665220e-02
3.333333333333333148e-01,1.504290202096380949e+09,-3.259266285284376664e-04,-1.334838008057371850e-01,0.000000000000000000e+00,-4.223815291758560575e-02
3.499999999999999778e-01,1.504290202112828970e+09,-3.978262954429972651e-04,-1.304841648325745507e-01,0.000000000000000000e+00,-4.441288899812851493e-02
