# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.504290533985650063e+09,-0.000000000000000000e+00,4.049508563769554925e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.504290533986119986e+09,-3.946847468807326460e-06,9.521484375000000000e-03,0.000000000000000000e+00,1.586914062499999783e-04
3.333333333333333287e-02,1.504290533996777058e+09,-1.590754399572168073e-05,4.199490362427686641e-02,0.000000000000000000e+00,8.586064666546144039e-04
5.000000000000000278e-02,1.504290534013755083e+09,-3.621080142349402222e-05,4.049508563769554925e-02,0.000000000000000000e+00,1.533524560616206754e-03
6.666666666666666574e-02,1.504290534030119896e+09,-6.536572918442416780e-05,4.049508563769554925e-02,0.000000000000000000e+00,2.208442654577799213e-03
8.333333333333332871e-02,1.504290534046549082e+09,-1.040329526293467811e-04,4.049508563769554925e-02,0.000000000000000000e+00,2.883360748539391671e-03
1.000000000000000056e-01,1.504290534062237978e+09,-1.529887793250687316e-04,4.049508563769554925e-02,0.000000000000000000e+00,3.558278842500984130e-03
1.166666666666666685e-01,1.504290534079236031e+09,-2.130842443654243205e-04,4.199490362427686641e-02,0.000000000000000000e+00,4.258193902905598772e-03
1.333333333333333315e-01,1.504290534094882965e+09,-2.852011035195873884e-04,4.199490362427686641e-02,0.000000000000000000e+00,4.958108963310212981e-03
1.499999999999999944e-01,1.504290534112586975e+09,-3.702069968511535834e-04,4.049508563769554925e-02,0.000000000000000000e+00,5.633027057271805874e-03
1.666666666666666574e-01,1.504290534129304886e+09,-4.689120682768788736e-04,3.749544966453291495e-02,0.000000000000000000e+00,6.257951218347354398e-03
1.833333333333333204e-01,1.504290534145577908e+09,-5.820292947160088338e-04,3.899526765111423210e-02,0.000000000000000000e+00,6.907872345865925107e-03
2.000000000000000111e-01,1.504290534162208080e+09,-7.101406518293942264e-04,4.049508563769554925e-02,0.000000000000000000e+00,7.582790439827517132e-03
2.166666666666666741e-01,1.504290534179658890e+09,-8.536710252301197167e-04,4.199490362427686641e-02,0.000000000000000000e+00,8.282705500232131340e-03
2.333333333333333370e-01,1.504290534196305037e+09,-1.012871473306615946e-03,4.349472161085818356e-02,0.000000000000000000e+00,9.007617527079767733e-03
