# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.504290581954395056e+09,-0.000000000000000000e+00,7.199126335590319559e-02,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.504290581954912901e+09,-1.798929827055640890e-06,1.831054687500000000e-02,0.000000000000000000e+00,3.051757812500000000e-04
3.333333333333333287e-02,1.504290581963421106e+09,-7.143096105243524524e-06,6.899162738274057516e-02,-1.413869948528467420e-06,1.455012673129867269e-03
5.000000000000000278e-02,1.504290581980298042e+09,-1.610466661814614789e-05,7.049144536932187843e-02,-5.480904621995249357e-06,2.629778747541531864e-03
6.666666666666666574e-02,1.504290581995982885e+09,-2.895384448307132715e-05,7.199126335590319559e-02,-1.197178372019448439e-05,3.829433607077914990e-03
8.333333333333332871e-02,1.504290582011998892e+09,-4.614755680175652706e-05,7.199126335590319559e-02,-2.069039208931063465e-05,5.028943156474813270e-03
1.000000000000000056e-01,1.504290582028744936e+09,-6.831024298560356336e-05,7.199126335590319559e-02,-3.145911940556328203e-05,6.228273227083106975e-03
1.166666666666666685e-01,1.504290582044925928e+09,-9.620762854014538220e-05,6.899162738274057516e-02,-4.410249646159308714e-05,7.377398641854423199e-03
1.333333333333333315e-01,1.504290582061059952e+09,-1.307146554978873428e-04,7.049144536932187843e-02,-5.843004229691513073e-05,8.551282230638172083e-03
1.499999999999999944e-01,1.504290582079196930e+09,-1.727789801094829173e-04,7.349108134248452662e-02,-7.421922989269736943e-05,9.774896599181369383e-03
1.666666666666666574e-01,1.504290582096844912e+09,-2.233816324214081377e-04,7.049144536932187843e-02,-9.119947392158423295e-05,1.094823403077137443e-02
1.833333333333333204e-01,1.504290582114001036e+09,-2.834965535923031810e-04,7.049144536932187843e-02,-1.090380022054298579e-04,1.212127415355664789e-02
2.000000000000000111e-01,1.504290582129772902e+09,-3.540507801474801052e-04,7.199126335590319559e-02,-1.273283945496202273e-04,1.331900640291254143e-02
2.166666666666666741e-01,1.504290582145915985e+09,-4.358870272687663831e-04,7.049144536932187843e-02,-1.455824612706091144e-04,1.449143745138006291e-02
2.333333333333333370e-01,1.504290582162322998e+09,-5.297303357130522588e-04,7.199126335590319559e-02,-1.632259930194410863e-04,1.568857140742812434e-02
2.500000000000000000e-01,1.504290582178222895e+09,-6.361602917354371124e-04,7.199126335590319559e-02,-1.795987485318640664e-04,1.688543248421764745e-02
2.666666666666666630e-01,1.504290582193918943e+09,-7.555901117132752349e-04,7.199126335590319559e-02,-1.939588637388215840e-04,1.808205422575372145e-02
2.833333333333333259e-01,1.504290582210892916e+09,-8.882536106725638213e-04,7.199126335590319559e-02,-2.054916710143152943e-04,1.927848375383520163e-02
2.999999999999999889e-01,1.504290582226794958e+09,-1.034200756394932025e-03,7.199126335590319559e-02,-2.133227184913829547e-04,2.047478276445873283e-02
3.166666666666666519e-01,1.504290582243761063e+09,-1.193302159824387266e-03,7.049144536932187843e-02,-2.165345838736542565e-04,2.164603127754953504e-02
3.333333333333333148e-01,1.504290582260056019e+09,-1.365262481094094800e-03,6.899162738274057516e-02,-2.141868925491650553e-04,2.279232195238605971e-02
3.499999999999999778e-01,1.504290582278044939e+09,-1.549642352597834774e-03,7.199126335590319559e-02,-2.053387833626603616e-04,2.398875402859506831e-02
3.666666666666666408e-01,1.504290582293651104e+09,-1.745888050533747236e-03,7.199126335590319559e-02,-1.890729239062381717e-04,2.518545720246168421e-02
3.833333333333333037e-01,1.504290582310664892e+09,-1.953367798579231079e-03,7.199126335590319559e-02,-1.645200666847985288e-04,2.638256959061532556e-02
4.000000000000000222e-01,1.504290582326487064e+09,-2.171413275559406532e-03,7.049144536932187843e-02,-1.308830630781853213e-04,2.755524562905271868e-02
4.166666666666666852e-01,1.504290582342706919e+09,-2.399364635797831668e-03,7.049144536932187843e-02,-8.745921757750530596e-05,2.872864539824845909e-02
