# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.504290818803750038e+09,0.000000000000000000e+00,-3.599563167795159779e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.504290818804272890e+09,2.147917641751685147e-06,-9.155273437500000000e-03,0.000000000000000000e+00,-1.525878906250000000e-04
3.333333333333333287e-02,1.504290818810596943e+09,8.764447890478153669e-06,-3.599563167795159779e-02,2.036121991559252359e-06,-7.524811498910005930e-04
5.000000000000000278e-02,1.504290818827771902e+09,2.010613480534787772e-05,-3.599563167795159779e-02,8.870962340705919414e-06,-1.352260495151182086e-03
6.666666666666666574e-02,1.504290818843597889e+09,3.641188470135284743e-05,-3.299599570478897043e-02,2.149838682797131008e-05,-1.901835450450532067e-03
8.333333333333332871e-02,1.504290818860366106e+09,5.788539582759026761e-05,-3.599563167795159779e-02,4.077125756175501819e-05,-2.501083124123695996e-03
1.000000000000000056e-01,1.504290818876172066e+09,8.467853633946515466e-05,-3.899526765111423210e-02,6.738982318432458051e-05,-3.149881087922527974e-03
1.166666666666666685e-01,1.504290818892729998e+09,1.168766158252789247e-04,-3.749544966453291495e-02,1.018961169972662468e-04,-3.773106980381455734e-03
1.333333333333333315e-01,1.504290818908498049e+09,1.544864480217000185e-04,-3.599563167795159779e-02,1.446742750637536659e-04,-4.370622937096253248e-03
1.499999999999999944e-01,1.504290818926465988e+09,1.974280167416706932e-04,-3.899526765111423210e-02,1.959564292923599938e-04,-5.017278124126617854e-03
1.666666666666666574e-01,1.504290818942188978e+09,2.455304358554707901e-04,-3.749544966453291495e-02,2.558335955227125928e-04,-5.637938391943454579e-03
1.833333333333333204e-01,1.504290818959281921e+09,2.985327411237056528e-04,-3.899526765111423210e-02,3.242707734298126373e-04,-6.282455006571528201e-03
2.000000000000000111e-01,1.504290818975703955e+09,3.560898716819140670e-04,-3.599563167795159779e-02,4.011253119695700289e-04,-6.875696779337895151e-03
2.166666666666666741e-01,1.504290818992716074e+09,4.177839979613533336e-04,-3.599563167795159779e-02,4.861674777229892824e-04,-7.467521182675038692e-03
2.333333333333333370e-01,1.504290819009182930e+09,4.831411375935639038e-04,-3.749544966453291495e-02,5.791020985136316728e-04,-8.082793642108693916e-03
2.500000000000000000e-01,1.504290819026313066e+09,5.516527788195227855e-04,-3.899526765111423210e-02,6.795901435750629615e-04,-8.721388267234345820e-03
2.666666666666666630e-01,1.504290819043142080e+09,6.228020099383184969e-04,-3.599563167795159779e-02,7.872691445820033255e-04,-9.308194309457172230e-03
2.833333333333333259e-01,1.504290819061207056e+09,6.960934413600717045e-04,-3.749544966453291495e-02,9.017714570123564486e-04,-9.918088946249181692e-03
2.999999999999999889e-01,1.504290819078452110e+09,7.710860117291568538e-04,-3.749544966453291495e-02,1.022739504360376103e-03,-1.052596744891872403e-02
3.166666666666666519e-01,1.504290819094744921e+09,8.474275988308622738e-04,-3.899526765111423210e-02,1.149837332414372412e-03,-1.115672462089705580e-02
3.333333333333333148e-01,1.504290819111407042e+09,9.248902164255929856e-04,-3.749544966453291495e-02,1.282758019077282667e-03,-1.176026948165465047e-02
3.499999999999999778e-01,1.504290819128432035e+09,1.003404475733901766e-03,-3.749544966453291495e-02,1.421226727474051528e-03,-1.236150653060563188e-02
3.666666666666666408e-01,1.504290819145071030e+09,1.083091929899599381e-03,-3.599563167795159779e-02,1.564999445648408444e-03,-1.293535040114401902e-02
