# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.504290531975925922e+09,0.000000000000000000e+00,1.461181640625000000e-01,0.000000000000000000e+00,5.369348391961112910e-01
1.666666666666666644e-02,1.504290531976171017e+09,0.000000000000000000e+00,5.369348391961112910e-01,0.000000000000000000e+00,5.369348391961112910e-01
3.333333333333333287e-02,1.504290531976389885e+09,0.000000000000000000e+00,1.464843750000000000e-01,0.000000000000000000e+00,1.464843750000000000e-01
5.000000000000000278e-02,1.504290531992137909e+09,0.000000000000000000e+00,1.497802734375000000e-01,0.000000000000000000e+00,1.497802734375000000e-01
6.666666666666666574e-02,1.504290532009179115e+09,0.000000000000000000e+00,1.556396484375000000e-01,0.000000000000000000e+00,1.556396484375000000e-01
8.333333333333332871e-02,1.504290532026427031e+09,0.000000000000000000e+00,1.600341796875000000e-01,0.000000000000000000e+00,1.600341796875000000e-01
1.000000000000000056e-01,1.504290532042289019e+09,0.000000000000000000e+00,1.636962890625000000e-01,0.000000000000000000e+00,1.636962890625000000e-01
1.166666666666666685e-01,1.504290532059572935e+09,0.000000000000000000e+00,1.666259765625000000e-01,0.000000000000000000e+00,1.666259765625000000e-01
1.333333333333333315e-01,1.504290532075278044e+09,0.000000000000000000e+00,1.695556640625000000e-01,0.000000000000000000e+00,1.695556640625000000e-01
1.499999999999999944e-01,1.504290532091677904e+09,0.000000000000000000e+00,1.691894531250000000e-01,0.000000000000000000e+00,1.691894531250000000e-01
1.666666666666666574e-01,1.504290532107079983e+09,0.000000000000000000e+00,1.699218750000000000e-01,0.000000000000000000e+00,1.699218750000000000e-01
1.833333333333333204e-01,1.504290532124342918e+09,0.000000000000000000e+00,1.699218750000000000e-01,0.000000000000000000e+00,1.699218750000000000e-01
2.000000000000000111e-01,1.504290532140808105e+09,0.000000000000000000e+00,1.699218750000000000e-01,0.000000000000000000e+00,1.699218750000000000e-01
2.166666666666666741e-01,1.504290532159104109e+09,0.000000000000000000e+00,1.695556640625000000e-01,0.000000000000000000e+00,1.695556640625000000e-01
2.333333333333333370e-01,1.504290532176044941e+09,0.000000000000000000e+00,1.695556640625000000e-01,0.000000000000000000e+00,1.695556640625000000e-01
2.500000000000000000e-01,1.504290532193265915e+09,0.000000000000000000e+00,1.699218750000000000e-01,0.000000000000000000e+00,1.699218750000000000e-01
