# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503951267567766905e+09,0.000000000000000000e+00,1.049872590606921660e-02,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503951267570859909e+09,1.798929827055640890e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.333333333333333287e-02,1.503951267576247931e+09,7.143096105243524524e-06,5.999271946325266877e-03,-1.413869948528467420e-06,9.996430127294563071e-05
5.000000000000000278e-02,1.503951267593035936e+09,1.610466661814614789e-05,2.999635973162633439e-03,-5.480904621995249357e-06,1.498668857486229033e-04
6.666666666666666574e-02,1.503951267609643936e+09,2.895384448307132715e-05,1.499817986581316719e-03,-1.197178372019448439e-05,1.746643224629749352e-04
8.333333333333332871e-02,1.503951267627201080e+09,4.614755680175652706e-05,4.499453959743949724e-03,-2.069039208931063465e-05,2.493103819238855668e-04
1.000000000000000056e-01,1.503951267643102884e+09,6.831024298560356336e-05,4.499453959743949724e-03,-3.145911940556328203e-05,3.237769625961920035e-04
1.166666666666666685e-01,1.503951267659629107e+09,9.620762854014538220e-05,4.499453959743949724e-03,-4.410249646159308714e-05,3.980328203175646220e-04
1.333333333333333315e-01,1.503951267676470041e+09,1.307146554978873428e-04,-1.499817986581316719e-03,-5.843004229691513073e-05,3.720620198362607702e-04
1.499999999999999944e-01,1.503951267693325043e+09,1.727789801094829173e-04,2.999635973162633439e-03,-7.421922989269736943e-05,4.208189655574263804e-04
1.666666666666666574e-01,1.503951267709110975e+09,2.233816324214081377e-04,2.999635973162633439e-03,-9.119947392158423295e-05,4.692929072114438859e-04
1.833333333333333204e-01,1.503951267725980043e+09,2.834965535923031810e-04,1.499817986581316719e-03,-1.090380022054298579e-04,4.924725736177086545e-04
2.000000000000000111e-01,1.503951267742338896e+09,3.540507801474801052e-04,2.999635973162633439e-03,-1.273283945496202273e-04,5.403443665945922500e-04
2.166666666666666741e-01,1.503951267760248899e+09,4.358870272687663831e-04,4.499453959743949724e-03,-1.455824612706091144e-04,6.129088915691479440e-04
2.333333333333333370e-01,1.503951267776911020e+09,5.297303357130522588e-04,2.999635973162633439e-03,-1.632259930194410863e-04,6.601823912382011675e-04
2.500000000000000000e-01,1.503951267792769909e+09,6.361602917354371124e-04,-1.499817986581316719e-03,-1.795987485318640664e-04,6.321921123196481106e-04
2.666666666666666630e-01,1.503951267810471058e+09,7.555901117132752349e-04,0.000000000000000000e+00,-1.939588637388215840e-04,6.289594645906677016e-04
2.833333333333333259e-01,1.503951267828370094e+09,8.882536106725638213e-04,1.499817986581316719e-03,-2.054916710143152943e-04,6.505315698501177050e-04
2.999999999999999889e-01,1.503951267845088005e+09,1.034200756394932025e-03,2.999635973162633439e-03,-2.133227184913829547e-04,6.969701240946385261e-04
3.166666666666666519e-01,1.503951267861939907e+09,1.193302159824387266e-03,2.999635973162633439e-03,-2.165345838736542565e-04,7.433551472494548309e-04
3.333333333333333148e-01,1.503951267878114939e+09,1.365262481094094800e-03,4.499453959743949724e-03,-2.141868925491650553e-04,8.147762650360345889e-04
3.499999999999999778e-01,1.503951267895329952e+09,1.549642352597834774e-03,1.499817986581316719e-03,-2.053387833626603616e-04,8.363509184230121483e-04
3.666666666666666408e-01,1.503951267911292076e+09,1.745888050533747236e-03,4.499453959743949724e-03,-1.890729239062381717e-04,9.081906023536406164e-04
3.833333333333333037e-01,1.503951267928239107e+09,1.953367798579231079e-03,1.499817986581316719e-03,-1.645200666847985288e-04,9.304455676852492994e-04
4.000000000000000222e-01,1.503951267944926977e+09,2.171413275559406532e-03,1.499817986581316719e-03,-1.308830630781853213e-04,9.532611497436348702e-04
4.166666666666666852e-01,1.503951267961812019e+09,2.399364635797831668e-03,4.499453959743949724e-03,-8.745921757750530596e-05,1.026794395446408836e-03
4.333333333333333481e-01,1.503951267978414059e+09,2.636617147369856289e-03,5.999271946325266877e-03,-3.365987293033690574e-05,1.126221263336324267e-03
4.500000000000000111e-01,1.503951267996268034e+09,2.882667418804716816e-03,5.999271946325266877e-03,3.097383122698587287e-05,1.226725359628861754e-03
4.666666666666666741e-01,1.503951268011987925e+09,3.137157125635596337e-03,7.499089932906584030e-03,1.067599882549475742e-04,1.353489524981553926e-03
4.833333333333333370e-01,1.503951268029266119e+09,3.399912168671761614e-03,8.998907919487899448e-03,1.938705678647713586e-04,1.506702499770765091e-03
5.000000000000000000e-01,1.503951268045630932e+09,3.670975297224232138e-03,5.999271946325266877e-03,2.923323225330992062e-04,1.611562570918404543e-03
5.166666666666666075e-01,1.503951268062660933e+09,3.950630411085220665e-03,2.999635973162633439e-03,4.020343976670092464e-04,1.668257077098898693e-03
5.333333333333333259e-01,1.503951268080369949e+09,4.239417010242936372e-03,-1.499817986581316719e-03,5.227428498253062399e-04,1.651972491486298523e-03
5.500000000000000444e-01,1.503951268097758055e+09,4.538133583686351606e-03,2.999635973162633439e-03,6.541220206403078590e-04,1.712868458049680853e-03
5.666666666666666519e-01,1.503951268114850044e+09,4.847829108185540935e-03,2.999635973162633439e-03,7.957624452834771798e-04,1.776125098357115998e-03
5.833333333333333703e-01,1.503951268131309032e+09,5.169782252275831672e-03,4.499453959743949724e-03,9.472147022102742368e-04,1.866902909389686312e-03
5.999999999999999778e-01,1.503951268148135900e+09,5.505468335561657794e-03,2.999635973162633439e-03,1.108028344766271356e-03,1.935363981355167975e-03
6.166666666666666963e-01,1.503951268165977955e+09,5.856514563162844647e-03,1.499817986581316719e-03,1.277794804439103069e-03,1.981657527872175174e-03
6.333333333333333037e-01,1.503951268181919098e+09,6.224644522992122363e-03,2.999635973162633439e-03,1.456192929342587728e-03,2.055921342913928640e-03
6.500000000000000222e-01,1.503951268198278904e+09,6.611613382549182995e-03,4.499453959743949724e-03,1.643035628704314459e-03,2.158296169388066593e-03
6.666666666666666297e-01,1.503951268214934111e+09,7.019135635237815606e-03,4.499453959743949724e-03,1.838315942725805060e-03,2.263925667762562658e-03
6.833333333333333481e-01,1.503951268231600046e+09,7.448807607868692879e-03,4.499453959743949724e-03,2.042250754190880549e-03,2.372954079661476669e-03
6.999999999999999556e-01,1.503951268248485088e+09,7.902027236408499383e-03,7.499089932906584030e-03,2.255320309322456866e-03,2.535527583698627286e-03
7.166666666666666741e-01,1.503951268264023066e+09,8.379913833522279962e-03,2.999635973162633439e-03,2.478301724829994664e-03,2.626826545331837921e-03
7.333333333333332815e-01,1.503951268280291080e+09,8.883230698803886924e-03,2.999635973162633439e-03,2.712294728359604477e-03,2.722025390357208675e-03
7.500000000000000000e-01,1.503951268297785044e+09,9.412313453414918735e-03,5.999271946325266877e-03,2.958738011342416842e-03,2.871325556318336542e-03
7.666666666666666075e-01,1.503951268313958883e+09,9.967006910941903983e-03,2.999635973162633439e-03,3.219414765314491337e-03,2.974976401959622107e-03
7.833333333333333259e-01,1.503951268330353022e+09,1.054661312481581202e-02,4.499453959743949724e-03,3.496446222001106142e-03,3.108241404988706501e-03
8.000000000000000444e-01,1.503951268346060991e+09,1.114985298230790171e-02,5.999271946325266877e-03,3.792272318767395470e-03,3.271433809406917598e-03
8.166666666666666519e-01,1.503951268363584042e+09,1.177484335212272519e-02,5.999271946325266877e-03,4.109618957571251237e-03,3.439915324471859524e-03
8.333333333333333703e-01,1.503951268380225897e+09,1.241909134653617665e-02,5.999271946325266877e-03,4.451451708786296514e-03,3.614094052057052232e-03
8.499999999999999778e-01,1.503951268397696972e+09,1.307950674260833362e-02,-2.999635973162633439e-03,4.820916221201173441e-03,3.644448722857694493e-03
8.666666666666666963e-01,1.503951268415484905e+09,1.375243303576303630e-02,1.499817986581316719e-03,5.221266024943145220e-03,3.756466789716435446e-03
8.833333333333333037e-01,1.503951268432089090e+09,1.443369699083479549e-02,5.999271946325266877e-03,5.655778842898949617e-03,3.950717636203505967e-03
9.000000000000000222e-01,1.503951268447973967e+09,1.511867593019894374e-02,0.000000000000000000e+00,6.127662945701860438e-03,4.052845351965203742e-03
