# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503951367322684050e+09,0.000000000000000000e+00,2.999635973162633612e-02,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503951367323163033e+09,0.000000000000000000e+00,5.126953125000000000e-03,0.000000000000000000e+00,8.544921874999998103e-05
3.333333333333333287e-02,1.503951367328244925e+09,0.000000000000000000e+00,2.399708778530106751e-02,-3.817254851680025241e-07,4.853943197469316176e-04
5.000000000000000278e-02,1.503951367345024109e+09,0.000000000000000000e+00,2.549690577188238466e-02,-1.300879160145474001e-06,9.103210679589689245e-04
6.666666666666666574e-02,1.503951367359868050e+09,0.000000000000000000e+00,2.549690577188238466e-02,-2.492678168490824970e-06,1.335227952854200519e-03
8.333333333333332871e-02,1.503951367377568960e+09,0.000000000000000000e+00,2.249726979871975036e-02,-3.823260550326531765e-06,1.710118728490357502e-03
1.000000000000000056e-01,1.503951367394191980e+09,0.000000000000000000e+00,2.849654174504501897e-02,-5.328717903556420757e-06,2.184972278942715149e-03
1.166666666666666685e-01,1.503951367411063910e+09,0.000000000000000000e+00,2.249726979871975036e-02,-7.251277399833045257e-06,2.559805920964713846e-03
1.333333333333333315e-01,1.503951367427736998e+09,0.000000000000000000e+00,2.549690577188238466e-02,-1.007052534532055656e-05,2.984586508406998368e-03
1.499999999999999944e-01,1.503951367445375919e+09,0.000000000000000000e+00,2.099745181213843320e-02,-1.452765292379677706e-05,3.334301911060575524e-03
1.666666666666666574e-01,1.503951367460937023e+09,0.000000000000000000e+00,1.949763382555711605e-02,-2.164088504001222748e-05,3.658901793402527265e-03
1.833333333333333204e-01,1.503951367478076935e+09,0.000000000000000000e+00,1.949763382555711605e-02,-3.271052087503867475e-05,3.983317181813895644e-03
2.000000000000000111e-01,1.503951367494930029e+09,0.000000000000000000e+00,2.399708778530106751e-02,-4.931236195258694631e-05,4.382446772203036668e-03
2.166666666666666741e-01,1.503951367511117935e+09,0.000000000000000000e+00,2.249726979871975036e-02,-7.327871900694729536e-05,4.756179956864916430e-03
2.333333333333333370e-01,1.503951367526876926e+09,0.000000000000000000e+00,2.099745181213843320e-02,-1.066666586335454062e-04,5.104359709423330997e-03
2.500000000000000000e-01,1.503951367544312000e+09,0.000000000000000000e+00,2.249726979871975036e-02,-1.517136580324148691e-04,5.476785645101452799e-03
2.666666666666666630e-01,1.503951367561070919e+09,0.000000000000000000e+00,2.249726979871975036e-02,-2.107813626672053490e-04,5.848227119035661649e-03
2.833333333333333259e-01,1.503951367576941967e+09,0.000000000000000000e+00,2.099745181213843320e-02,-2.862886676406794974e-04,6.193413171443957164e-03
2.999999999999999889e-01,1.503951367593633890e+09,0.000000000000000000e+00,1.949763382555711605e-02,-3.806358487452030700e-04,6.512029804390822088e-03
3.166666666666666519e-01,1.503951367610569000e+09,0.000000000000000000e+00,2.249726979871975036e-02,-4.961219333511698729e-04,6.878715602146964758e-03
3.333333333333333148e-01,1.503951367626306057e+09,0.000000000000000000e+00,2.399708778530106751e-02,-6.348579053024532926e-04,7.268086100146941946e-03
3.499999999999999778e-01,1.503951367643963099e+09,0.000000000000000000e+00,2.099745181213843320e-02,-7.986786641540012579e-04,7.604732319280015952e-03
3.666666666666666408e-01,1.503951367659828901e+09,0.000000000000000000e+00,1.949763382555711605e-02,-9.890568920481997237e-04,7.913208601505164821e-03
3.833333333333333037e-01,1.503951367677829981e+09,0.000000000000000000e+00,2.699672375846369834e-02,-1.207022108805681131e-03,8.343036962332798373e-03
4.000000000000000222e-01,1.503951367692950964e+09,0.000000000000000000e+00,2.099745181213843320e-02,-1.453088208332495518e-03,8.668776355729563426e-03
4.166666666666666852e-01,1.503951367709912062e+09,0.000000000000000000e+00,2.249726979871975036e-02,-1.727192661970529180e-03,9.014944308008717919e-03
4.333333333333333481e-01,1.503951367726520061e+09,0.000000000000000000e+00,2.099745181213843320e-02,-2.028650345806020869e-03,9.331090999114258558e-03
4.500000000000000111e-01,1.503951367743930101e+09,0.000000000000000000e+00,3.299599570478897043e-02,-2.356124602335528048e-03,9.841755517488483263e-03
4.666666666666666741e-01,1.503951367760593891e+09,0.000000000000000000e+00,2.099745181213843320e-02,-2.707617689683810766e-03,1.014658608619605981e-02
